#  kx              |phi(kx)|^2
    0   7.7493391550044420E-07
    1   7.7917805561566770E-07
    2   8.4578159035982451E-07
    3   7.2916511118188795E-07
    4   1.3687898042144857E-06
    5   1.1265014699488114E-06
    6   1.0112499400065091E-06
    7   1.2807960473666927E-06
    8   1.4645602542957167E-06
    9   1.1481843459680135E-06
   10   1.0731285559403189E-06
   11   1.6354286320356632E-06
   12   1.1304630081015138E-06
   13   1.3439805200268004E-06
   14   8.3000830236611553E-07
   15   1.3118341141393267E-06
   16   8.2042094806748045E-07
   17   8.4106176897612151E-07
   18   6.2611936386582508E-07
   19   1.0491459145428809E-06
   20   1.2184635761062555E-06
   21   6.7058454093329501E-07
   22   1.2162372879439040E-06
   23   9.7843322158978940E-07
   24   9.3246635513675643E-07
   25   1.0403317710182929E-06
   26   9.1265792881303201E-07
   27   1.0451892920877438E-06
   28   9.4038854285932485E-07
   29   6.5078225864852950E-07
   30   5.2628041803020081E-07
   31   9.0728657056352294E-07
   32   6.2739973852873842E-07
   33   4.9165447018009699E-07
   34   5.7892588715658597E-07
   35   7.5938278993077266E-07
   36   5.2082989044070114E-07
   37   5.0166834382436448E-07
   38   6.9076197166347585E-07
   39   6.2733608473552936E-07
   40   6.6972861786589580E-07
   41   3.0300588102839868E-07
   42   5.6145547622066564E-07
   43   4.1115869663348696E-07
   44   3.9916882460589909E-07
   45   1.0173946158804912E-07
   46   3.6644857301936080E-07
   47   4.4971270949560147E-07
   48   1.1571955400688751E-07
   49   1.5474343290561767E-07
   50   2.9915658346436282E-07
   51   2.7293889981488300E-07
   52   1.5650027683000626E-07
   53   1.9157633525888473E-07
   54   3.0392688741612313E-07
   55   2.3546213999747955E-07
   56   6.1035281473027644E-08
   57   1.0652242122045360E-07
   58   2.0604437319666699E-07
   59   1.8037318298016265E-07
   60   8.6123813413671285E-08
   61   7.9011436688231513E-08
   62   1.8892909176876747E-07
   63   8.8373547591353133E-08
   64   1.3291779836933319E-07
