#  kx              |phi(kx)|^2
    0   3.5334177444581392E-07
    1   2.2814147780814142E-06
    2   2.5724879167324206E-06
    3   6.6980096313616852E-07
    4   1.7721333016893170E-06
    5   2.7101022767761235E-06
    6   1.4199048156292508E-06
    7   3.4363150026583750E-06
    8   3.7664709161329653E-06
    9   1.1691294651502185E-06
   10   3.1857814842308281E-06
   11   1.3415114388252769E-06
   12   8.1677248009298725E-07
   13   2.7604578666183607E-06
   14   2.0132203459482412E-06
   15   5.1464607419518823E-07
   16   2.3898118597198098E-06
   17   2.4777182677109989E-06
   18   5.6132037363946575E-07
   19   1.9073061949148548E-06
   20   2.7573533207343540E-06
   21   1.0428164884171162E-06
   22   9.5925006102089490E-07
   23   3.4587577598587470E-06
   24   1.1369597767402605E-06
   25   3.5238013217679066E-06
   26   9.0480463127504925E-07
   27   1.0705284850687948E-06
   28   2.8274093614316588E-06
   29   1.8134467687159094E-06
   30   5.9821669219388503E-07
   31   2.5220831725790884E-06
   32   2.3389480777370067E-06
   33   4.9742091136238689E-07
   34   2.0853838288939909E-06
   35   2.7120418666330979E-06
   36   7.6628088952508546E-07
   37   1.4566448393792561E-06
   38   3.0602120418036711E-06
   39   1.2231842197373202E-06
   40   3.6997467645193033E-06
   41   3.5868261939900461E-06
   42   1.3058431948516953E-06
   43   2.9019642646884712E-06
   44   1.5965806706271445E-06
   45   7.1880792679595110E-07
   46   2.6487258751812304E-06
   47   2.1720617246320140E-06
   48   4.7573504586200936E-07
   49   2.2932238051585872E-06
   50   2.5627682076597940E-06
   51   6.3368788493650753E-07
   52   1.7392799218269124E-06
   53   2.8733278061699097E-06
   54   1.1100778296248025E-06
   55   8.6570531465235908E-07
   56   3.5417214278597383E-06
   57   1.1680346004361142E-06
   58   3.3424345574878917E-06
   59   1.0397761796301848E-06
   60   1.0256752940025302E-06
   61   2.6556262082795863E-06
   62   2.0371025841333077E-06
   63   5.0978342145216405E-07
   64   2.4423675408774089E-06
