#  kx   kyz         |phi(kx, kyz)|^2
    0     0   6.2088952348757691E-11
    1     0   7.3235491503097330E-10
    2     0   1.0558184667608298E-09
    3     0   5.3527310917475225E-10
    4     0   7.4199808051145730E-10
    5     0   7.2128709603520959E-10
    6     0   8.7559035120515860E-10
    7     0   9.4148640287286497E-10
    8     0   7.3495092662542936E-10
    9     0   8.2642600677311096E-10
   10     0   6.8263313503837121E-10
   11     0   8.0339952837388080E-10
   12     0   4.6192495184287250E-10
   13     0   8.8979001826524403E-10
   14     0   8.2579178180789967E-10
   15     0   5.6921343870726297E-10
   16     0   6.8677503380430679E-10
   17     0   8.6198765074605944E-10
   18     0   6.7724127729291335E-10
   19     0   5.6877947668527856E-10
   20     0   5.8515117077020486E-10
   21     0   6.7471616729803720E-10
   22     0   5.5346757468536283E-10
   23     0   6.5819264419980747E-10
   24     0   5.2947743175430661E-10
   25     0   6.3494956444369001E-10
   26     0   4.8944553657191982E-10
   27     0   3.6131574547160417E-10
   28     0   4.7185710302438208E-10
   29     0   6.8208726920320567E-10
   30     0   3.0379936789499782E-10
   31     0   4.3371119016137670E-10
   32     0   3.7470288702168467E-10
   33     0   5.3893154725037637E-10
   34     0   3.6546635369960572E-10
   35     0   4.1354570665422498E-10
   36     0   3.7915951524870614E-10
   37     0   3.4387613627071595E-10
   38     0   3.8137645126957220E-10
   39     0   2.0945246717396220E-10
   40     0   3.8327635223139308E-10
   41     0   2.6165069119865718E-10
   42     0   2.2165541243657518E-10
   43     0   2.2405151989543110E-10
   44     0   3.9063545983150444E-10
   45     0   1.1365452723442516E-10
   46     0   1.3407373907356758E-10
   47     0   1.1878426534325315E-10
   48     0   1.9077295613041203E-10
   49     0   1.0930060393503079E-10
   50     0   9.6074570590882472E-11
   51     0   6.1170223629712709E-11
   52     0   7.6753989526896669E-11
   53     0   1.4383331301340462E-10
   54     0   2.8355701192441902E-11
   55     0   8.4713714231568588E-11
   56     0   7.6941208668612074E-11
   57     0   3.4527692528436096E-11
   58     0   5.4074243718262220E-11
   59     0   6.6171815260638895E-11
   60     0   1.6733044582792204E-11
   61     0   8.4317314910129858E-11
   62     0   2.7477975946226135E-11
   63     0   3.0432302003062393E-11
   64     0   3.4703999097349369E-11

    0     1   1.4314519757651540E-10
    1     1   1.4728396693977017E-09
    2     1   2.0529317309496554E-09
    3     1   1.0858002810255943E-09
    4     1   1.5246127394113962E-09
    5     1   1.4511473983607815E-09
    6     1   1.7621736723928023E-09
    7     1   1.8790636553220845E-09
    8     1   1.4761885669600232E-09
    9     1   1.6665434118997830E-09
   10     1   1.3735877137452322E-09
   11     1   1.6186818741488105E-09
   12     1   9.4247261587517872E-10
   13     1   1.7623883864514138E-09
   14     1   1.6532580748823021E-09
   15     1   1.1568796294359115E-09
   16     1   1.3800691068827894E-09
   17     1   1.6969513710260267E-09
   18     1   1.3517632504889743E-09
   19     1   1.1626326258320400E-09
   20     1   1.1716727648151036E-09
   21     1   1.3488134483077157E-09
   22     1   1.1172298214509938E-09
   23     1   1.3323738932589555E-09
   24     1   1.0577136103292531E-09
   25     1   1.2798647948116749E-09
   26     1   9.7537618221739881E-10
   27     1   7.3617329082152428E-10
   28     1   9.5016503228995215E-10
   29     1   1.3472942554911536E-09
   30     1   6.1259519846759059E-10
   31     1   8.8652082865350106E-10
   32     1   7.4759232365377660E-10
   33     1   1.0648412033189749E-09
   34     1   7.3803955469010831E-10
   35     1   8.2721462565432510E-10
   36     1   7.6227361954789719E-10
   37     1   6.8890437961739788E-10
   38     1   7.6770995822343158E-10
   39     1   4.2208094725958883E-10
   40     1   7.7713394960838892E-10
   41     1   5.2323790007740849E-10
   42     1   4.5332374498811205E-10
   43     1   4.5989391988161493E-10
   44     1   7.6466266135727247E-10
   45     1   2.3027417896726501E-10
   46     1   2.7405484340010311E-10
   47     1   2.3509331940875835E-10
   48     1   3.7567711817123796E-10
   49     1   2.1982838653200585E-10
   50     1   1.9464944193426964E-10
   51     1   1.2466800526194186E-10
   52     1   1.5346879382646338E-10
   53     1   2.9051289427939131E-10
   54     1   6.2544306703378948E-11
   55     1   1.7339108695155213E-10
   56     1   1.5160232516527300E-10
   57     1   7.0968127568736586E-11
   58     1   1.1346510330465836E-10
   59     1   1.3081147858024091E-10
   60     1   3.4840992120359468E-11
   61     1   1.6768282281408639E-10
   62     1   5.5991306841738936E-11
   63     1   6.2358651024278069E-11
   64     1   6.9862169924166334E-11

    0     2   2.0189207700385685E-10
    1     2   9.0045721968121455E-10
    2     2   1.2953503753429013E-09
    3     2   7.2733265666638238E-10
    4     2   1.0109227301568051E-09
    5     2   9.1880968904034736E-10
    6     2   1.1347404177037321E-09
    7     2   1.1102877880424570E-09
    8     2   9.0919683285557819E-10
    9     2   1.1477843720656211E-09
   10     2   7.5174664452271457E-10
   11     2   1.0216601747287507E-09
   12     2   6.4969997058993447E-10
   13     2   1.1665494957878612E-09
   14     2   9.5983098098778642E-10
   15     2   8.3001591970032727E-10
   16     2   9.8499033789530282E-10
   17     2   1.0694699621759305E-09
   18     2   9.1522790149153093E-10
   19     2   8.2069306546577464E-10
   20     2   8.1316450196684690E-10
   21     2   8.3872819004608757E-10
   22     2   7.1725386307562865E-10
   23     2   8.9283788549993998E-10
   24     2   7.2793175979186737E-10
   25     2   6.8227339403373392E-10
   26     2   6.0033019524596771E-10
   27     2   5.2652950315528881E-10
   28     2   6.1093853799837447E-10
   29     2   7.3626216872575996E-10
   30     2   4.0418774406475270E-10
   31     2   7.1009661557165850E-10
   32     2   4.1601633079744369E-10
   33     2   6.9274162081161401E-10
   34     2   5.2856644359190404E-10
   35     2   6.2694815736176706E-10
   36     2   4.8455452287151554E-10
   37     2   4.8475799047764286E-10
   38     2   5.2267846594442787E-10
   39     2   2.6198907694195373E-10
   40     2   4.5097592447797725E-10
   41     2   3.1240060064085912E-10
   42     2   3.5870603483458183E-10
   43     2   2.6466381432038741E-10
   44     2   4.5883236545789704E-10
   45     2   1.3892941980903476E-10
   46     2   2.1865480118976248E-10
   47     2   1.1662524077073948E-10
   48     2   2.4007510915038702E-10
   49     2   1.4607550031788325E-10
   50     2   1.3353763754831294E-10
   51     2   7.1010454160561663E-11
   52     2   9.4541790868243852E-11
   53     2   1.8867586078552183E-10
   54     2   3.5908139063812551E-11
   55     2   1.2655823446680322E-10
   56     2   9.6483717956664124E-11
   57     2   5.1777018695928335E-11
   58     2   8.3798244742346331E-11
   59     2   9.9837359487287596E-11
   60     2   2.7701585144929940E-11
   61     2   9.9682988571641067E-11
   62     2   3.1994238523694923E-11
   63     2   4.8608888488608891E-11
   64     2   2.6233185324321165E-11

    0     3   4.7430661941165262E-10
    1     3   1.7069085705877556E-09
    2     3   1.3513009457727348E-09
    3     3   1.2762163213876312E-09
    4     3   2.2023158430314449E-09
    5     3   1.4817935799665053E-09
    6     3   1.8277903029198339E-09
    7     3   1.9344816227846828E-09
    8     3   1.6423560209959103E-09
    9     3   1.7293406521349552E-09
   10     3   1.7839610460931385E-09
   11     3   1.7449237442365791E-09
   12     3   1.1921001837439241E-09
   13     3   1.4143600524086458E-09
   14     3   1.8843331489494575E-09
   15     3   1.2091403421002218E-09
   16     3   1.3084101101745106E-09
   17     3   1.1793956484127700E-09
   18     3   1.2931333325072922E-09
   19     3   1.3915002608372728E-09
   20     3   8.4804360296330414E-10
   21     3   1.2650142865040010E-09
   22     3   1.1696447932956811E-09
   23     3   1.4864394007411252E-09
   24     3   9.3288080707085158E-10
   25     3   1.8746275356958157E-09
   26     3   8.4029744044649840E-10
   27     3   8.9531486034102984E-10
   28     3   1.0935675093119907E-09
   29     3   1.3405617907510079E-09
   30     3   6.4076031978271438E-10
   31     3   1.0721363283470931E-09
   32     3   8.2752908272430112E-10
   33     3   7.6874793034322230E-10
   34     3   6.8668610397482239E-10
   35     3   6.2039145529738180E-10
   36     3   8.4697318470779746E-10
   37     3   5.7039980795669307E-10
   38     3   7.3612690432588873E-10
   39     3   4.7752706345528556E-10
   40     3   1.1310534943747411E-09
   41     3   5.1116950987453985E-10
   42     3   6.2855853204575984E-10
   43     3   8.0563313946922505E-10
   44     3   5.5005074154696957E-10
   45     3   3.4989534179373829E-10
   46     3   3.7382116897075917E-10
   47     3   3.3450039327295517E-10
   48     3   2.4520472208846584E-10
   49     3   2.8664737675471672E-10
   50     3   2.2972166572956576E-10
   51     3   1.8811526793005547E-10
   52     3   1.9350294144477488E-10
   53     3   3.1414463794132660E-10
   54     3   2.3492556623804745E-10
   55     3   2.5737237912681632E-10
   56     3   1.0908612456687563E-10
   57     3   1.6555338454259460E-10
   58     3   2.7703050802781067E-10
   59     3   1.6632922800377784E-10
   60     3   1.5190035621545259E-10
   61     3   1.7812108292013753E-10
   62     3   1.1901731682862771E-10
   63     3   5.8864829496485287E-11
   64     3   1.7731530672591949E-10

    0     4   1.9412397635091074E-10
    1     4   3.1609488229086905E-09
    2     4   4.2858741398779835E-09
    3     4   2.0639831254487706E-09
    4     4   2.7563149733990092E-09
    5     4   2.9029595994504427E-09
    6     4   3.6791105701403700E-09
    7     4   3.7347900719219448E-09
    8     4   2.7926345325277310E-09
    9     4   2.8266944303308966E-09
   10     4   3.1901001828320765E-09
   11     4   3.8015351546761891E-09
   12     4   1.6770245999374125E-09
   13     4   3.1539447605052854E-09
   14     4   3.8421556927754241E-09
   15     4   2.3897053704716831E-09
   16     4   2.5029284377889411E-09
   17     4   3.2181375999964364E-09
