#  kx   kyz         |phi(kx, kyz)|^2
    0     0   2.7480471856838961E-12
    1     0   1.7574451212411820E-11
    2     0   1.9416532540856729E-11
    3     0   6.5247074389827149E-12
    4     0   1.4183633342952711E-11
    5     0   1.9524737055903853E-11
    6     0   1.2483264913930702E-11
    7     0   2.2491785925436762E-11
    8     0   2.5150988818745005E-11
    9     0   1.0708032651531676E-11
   10     0   2.2244060921114784E-11
   11     0   1.1228617949516036E-11
   12     0   7.6458778743968417E-12
   13     0   2.0624099005360625E-11
   14     0   1.5671937017944701E-11
   15     0   5.3179107833903966E-12
   16     0   1.8503905853370246E-11
   17     0   1.8666502658245715E-11
   18     0   5.7747788827520692E-12
   19     0   1.5377789565167137E-11
   20     0   1.9555571285724702E-11
   21     0   1.0598984954053309E-11
   22     0   7.9229900567569112E-12
   23     0   2.5283144644723324E-11
   24     0   9.6761178647562532E-12
   25     0   2.5432501056938547E-11
   26     0   7.8569839691117509E-12
   27     0   1.0583270090931410E-11
   28     0   2.0132864246238852E-11
   29     0   1.4598793167549157E-11
   30     0   6.0547762687975474E-12
   31     0   1.9038305613778981E-11
   32     0   1.8060562033822560E-11
   33     0   5.2370000933867383E-12
   34     0   1.6179600661516525E-11
   35     0   2.0326804423677654E-11
   36     0   7.2880503029673461E-12
   37     0   1.1981076190421288E-11
   38     0   2.1605238673938810E-11
   39     0   1.1088874139318925E-11
   40     0   2.4524659899217650E-11
   41     0   2.3693945881098333E-11
   42     0   1.1636489085923264E-11
   43     0   2.0721895436308566E-11
   44     0   1.2950923422358624E-11
   45     0   6.8606977754680719E-12
   46     0   2.0025127929490368E-11
   47     0   1.6713042848577753E-11
   48     0   5.0716790114882324E-12
   49     0   1.7801116494966057E-11
   50     0   1.9215866402616690E-11
   51     0   6.3788030622040923E-12
   52     0   1.4041827874775122E-11
   53     0   2.0407126836694103E-11
   54     0   1.0780827033353302E-11
   55     0   7.7595296153274232E-12
   56     0   2.5251071968686046E-11
   57     0   9.9318465783575814E-12
   58     0   2.4652862125064850E-11
   59     0   8.2728385880047208E-12
   60     0   1.0598562575302002E-11
   61     0   1.8827559734842884E-11
   62     0   1.6411011956158456E-11
   63     0   5.2172855286829661E-12
   64     0   1.8653208701389074E-11

    0     1   1.0487335212718007E-11
    1     1   6.6964468535460003E-11
    2     1   7.3746642474743347E-11
    3     1   2.5747143468269717E-11
    4     1   5.4369671757131688E-11
    5     1   7.3628907491111687E-11
    6     1   4.8524633641917000E-11
    7     1   8.3575861594966347E-11
    8     1   9.3758635440540705E-11
    9     1   4.1863927409852170E-11
   10     1   8.3475471022811672E-11
   11     1   4.3334939469128688E-11
   12     1   2.9986720160073438E-11
   13     1   7.8215241534761553E-11
   14     1   5.9808751841125838E-11
   15     1   2.1141792149468168E-11
   16     1   7.0570596004030479E-11
   17     1   7.0859471283014857E-11
   18     1   2.2955502469306661E-11
   19     1   5.9019317127650635E-11
   20     1   7.3532568794733923E-11
   21     1   4.2104695061546753E-11
   22     1   3.1259140578926300E-11
   23     1   9.5573623579906875E-11
   24     1   3.7419211523058020E-11
   25     1   9.5951509737809422E-11
   26     1   3.1231558892060452E-11
   27     1   4.1869407957402610E-11
   28     1   7.5760907832447018E-11
   29     1   5.6014458076430187E-11
   30     1   2.4015514952483909E-11
   31     1   7.2299524671187010E-11
   32     1   6.8846744513860463E-11
   33     1   2.0872269537463032E-11
   34     1   6.1716044713310437E-11
   35     1   7.7122759593904497E-11
   36     1   2.8653721504620442E-11
   37     1   4.6116800717108386E-11
   38     1   8.1220376117607921E-11
   39     1   4.3291655026689220E-11
   40     1   9.1309077382846533E-11
   41     1   8.8177435490679467E-11
   42     1   4.5316014338696286E-11
   43     1   7.8034890891529571E-11
   44     1   4.9746645911886652E-11
   45     1   2.6986715811158204E-11
   46     1   7.6084205819577583E-11
   47     1   6.3664928321623866E-11
   48     1   2.0246758186260030E-11
   49     1   6.7918023881988785E-11
   50     1   7.2894711380425681E-11
   51     1   2.5286871198085556E-11
   52     1   5.3900867465602530E-11
   53     1   7.6770109075663531E-11
   54     1   4.2540785747374392E-11
   55     1   3.0962055756057600E-11
   56     1   9.5101652846698246E-11
   57     1   3.8402540145597782E-11
   58     1   9.3311117326374687E-11
   59     1   3.2433678754553891E-11
   60     1   4.2201015741741487E-11
   61     1   7.0785203900044302E-11
   62     1   6.2972592934857983E-11
   63     1   2.0718863497226648E-11
   64     1   7.0971384277791483E-11

    0     2   1.4144696618786928E-12
    1     2   8.9828807949383153E-12
    2     2   9.7879421381403662E-12
    3     2   3.9016121962451017E-12
    4     2   7.4453846932311639E-12
    5     2   9.5303223783030722E-12
    6     2   6.9791809269117827E-12
    7     2   1.0254278659973956E-11
    8     2   1.1635022362373792E-11
    9     2   6.1414069878837069E-12
   10     2   1.0612753735418949E-11
   11     2   6.0760412936076678E-12
   12     2   4.4497856377068760E-12
   13     2   1.0324467943433763E-11
   14     2   8.0668960716211676E-12
   15     2   3.2838847991871564E-12
   16     2   9.4968083993322977E-12
   17     2   9.3866566142648476E-12
   18     2   3.5613042663347275E-12
   19     2   8.1131582852218375E-12
   20     2   9.4285316295590784E-12
   21     2   6.4959134405713583E-12
   22     2   4.8707334412225403E-12
   23     2   1.2442054314237448E-11
   24     2   5.3010374793256303E-12
   25     2   1.2406221221593011E-11
   26     2   4.9704494012151236E-12
   27     2   6.3769289910557382E-12
   28     2   9.7376090552063228E-12
   29     2   7.6943232749617673E-12
   30     2   3.6992505527561879E-12
   31     2   9.5906174463702284E-12
   32     2   9.2498148815361883E-12
   33     2   3.2674557454594593E-12
   34     2   8.3099890382659552E-12
   35     2   1.0197475431628392E-11
   36     2   4.2873893176825163E-12
   37     2   6.4075119300886652E-12
   38     2   1.0392814193066797E-11
   39     2   6.3201337490705658E-12
   40     2   1.1278946302763754E-11
   41     2   1.0876641597091887E-11
   42     2   6.5595692720819747E-12
   43     2   1.0047454691712716E-11
   44     2   6.8621455553032355E-12
   45     2   4.0462261548974020E-12
   46     2   1.0108573900690166E-11
   47     2   8.5330253226687556E-12
   48     2   3.1865519673884063E-12
   49     2   9.1522840079496634E-12
   50     2   9.6343922912877564E-12
   51     2   3.8872043920712145E-12
   52     2   7.4157163974821407E-12
   53     2   9.8568584372550689E-12
   54     2   6.4267133389562237E-12
