# kyz             |phi(kyz)|^2
    0   2.6703629066181043E-08
    1   5.3617578233638039E-08
    2   3.4727733734677166E-08
    3   5.7059273572423548E-08
    4   1.0686106715454804E-07
    5   5.1088423463957704E-08
    6   8.4455011440426743E-08
    7   6.3891888313098600E-08
    8   5.5496001906790420E-08
    9   8.8653529223013988E-08
   10   5.1410873752465000E-08
   11   1.0092129829427319E-07
   12   6.2192471158739341E-08
   13   6.0568247559354009E-08
   14   1.3505044068748510E-07
   15   1.3884494113690553E-06
   16   1.1683012909654354E-08
   17   1.3415875954319216E-08
   18   2.1858807626479725E-07
   19   1.0152353921785596E-07
   20   4.6954637535507126E-08
   21   6.8023735501152052E-08
   22   7.0049323918878733E-08
   23   4.4974034787114591E-08
   24   7.8166477692234523E-08
   25   4.3438121468411368E-08
   26   7.0711911678682157E-08
   27   6.2402480813670106E-08
   28   4.6257677306569999E-08
   29   9.5718422983640865E-08
   30   6.6685131825526731E-08
   31   1.5952477160724968E-08
   32   1.0329005147814379E-08
   33   4.0381531922688002E-06
   34   1.5662405488191403E-07
   35   7.8731183776491085E-08
   36   7.9428105757720177E-08
   37   1.1649730109287728E-07
   38   7.5313352717933427E-08
   39   1.1360225868509901E-07
   40   8.3416359712002187E-08
   41   9.7234036503774573E-08
   42   1.2172123512418592E-07
   43   9.8181803954065538E-08
   44   1.6010138245269215E-07
   45   8.8466249668283488E-08
   46   1.3238220675048427E-07
   47   2.4882432782608831E-07
   48   3.2777655117478631E-05
   49   2.7113918622547350E-08
   50   4.1578422237013661E-08
   51   5.6415961505553849E-08
   52   1.0801553133405780E-07
   53   7.2989440725853317E-08
   54   9.0446069409555941E-08
   55   8.4594101175406844E-08
   56   6.8304386835820294E-08
   57   8.9736381790874752E-08
   58   6.1360818999148965E-08
   59   8.0440819865817204E-08
   60   6.5725146967507742E-08
   61   5.5774254486880502E-08
   62   9.2497647365054659E-08
   63   1.8122491256554061E-07
   64   2.0995095929924105E-08
