#   k               |phi(k)|^2
    0   1.6166242313439550E-07
    1   7.0688224537546629E-01
    2   3.7452565291526418E-01
    3   1.7079078706780382E-01
    4   6.4288059379450618E-02
    5   2.8164403759104756E-02
    6   1.0674033662592364E-02
    7   6.8356279446052321E-03
    8   6.0590889573101155E-03
    9   3.0488962722150913E-03
   10   1.5963505188705601E-03
   11   8.7729309734722698E-04
   12   7.7106501657324487E-04
   13   7.0480149307303663E-04
   14   6.4635386216623891E-04
   15   3.2829703882481697E-04
   16   2.6071449257633486E-04
   17   3.8998440604660499E-04
   18   2.6356202308702536E-04
   19   2.2527680169418776E-04
   20   1.7611880291530045E-04
   21   1.8184255731499898E-04
   22   1.1308142300038969E-04
   23   1.6849106235299440E-04
   24   9.1999798167880054E-05
   25   1.0022194834672842E-04
   26   8.4102776066300730E-05
   27   6.3946975630487871E-05
   28   4.7213414278640849E-05
   29   5.9224117831708943E-05
   30   3.9311303665864362E-05
   31   4.3075690254468366E-05
   32   3.3415568378900190E-05
   33   3.0946537358685589E-05
   34   2.5037251356757766E-05
   35   1.7827494944318424E-05
   36   2.2519254833217390E-05
   37   1.8612254072003400E-05
   38   2.6910445370890570E-05
   39   1.8701427788849940E-05
   40   1.9910488896271093E-05
   41   1.8480538322409926E-05
   42   1.6726205795232660E-05
   43   1.7977598283059268E-05
   44   1.4648651226804097E-05
   45   1.5518239867903720E-05
   46   1.4539286413875914E-05
   47   1.3209256161937299E-05
   48   1.1058281037471381E-05
   49   9.6224112063550861E-06
   50   9.0916537590862680E-06
   51   9.0734810148516946E-06
   52   8.7114162833178991E-06
   53   8.7112360195449539E-06
   54   7.4774178077042517E-06
   55   8.7834792713893198E-06
   56   8.0623378978738674E-06
   57   8.0886107785697591E-06
   58   7.2742265015801202E-06
   59   7.3591936559920485E-06
   60   7.6316922902549500E-06
   61   7.0326630715255831E-06
   62   7.6424730458634303E-06
   63   7.4274351954143669E-06
   64   6.3969338007699067E-06
