#   k               |phi(k)|^2
    0   2.7480471856838961E-12
    1   9.5026254960589830E-11
    2   1.1334846761055744E-10
    3   4.3351442789131670E-09
    4   2.1023660400182135E-09
    5   4.4749122232308816E-09
    6   2.9893243672864770E-09
    7   4.0231471326556865E-09
    8   5.2088914315969203E-09
    9   3.6811694343895106E-09
   10   4.9791170245956261E-09
   11   4.7355494599364671E-09
   12   5.3159496197563527E-09
   13   7.1880295104649546E-09
   14   9.3006959027486574E-09
   15   2.5209669812905508E-07
   16   1.1404218052787142E-07
   17   1.1886268709701180E-07
   18   1.6547022676512053E-07
   19   1.2584117457735639E-07
   20   7.7003131344923519E-08
   21   9.5680190851026994E-08
   22   8.7873468907696692E-08
   23   3.2535234155231614E-08
   24   7.9098844644396080E-08
   25   1.0799299480845584E-07
   26   5.6018353131154041E-08
   27   9.2901080658354709E-08
   28   4.5354331639826493E-08
   29   1.0361503418565479E-07
   30   1.2857356413400385E-07
   31   1.0281155782006992E-07
   32   7.6207145039018876E-08
   33   1.5570370516936585E-06
   34   5.8872253457174880E-07
   35   5.6561162752314213E-07
   36   3.1792059658472095E-07
   37   3.5247665419402796E-07
   38   4.7361218949172440E-07
   39   3.0733489163057378E-07
   40   4.6757367959546453E-07
   41   3.4580947038888636E-07
   42   3.1939046624163134E-07
   43   4.9421162015111182E-07
   44   1.4895512337111660E-07
   45   5.0323512788645868E-07
   46   1.5046277091307542E-07
   47   2.5680069432655301E-07
   48   1.7871538416600697E-05
   49   7.2432353018589460E-06
   50   6.6676798210930721E-06
   51   2.6028437419741743E-06
   52   4.4449789693930335E-06
   53   4.1816978663753777E-06
   54   4.1595606102091104E-06
   55   3.6923276104905377E-06
   56   2.3382514139422614E-06
   57   4.5197905012304604E-06
   58   2.3462933768072055E-06
   59   2.8670606116297228E-06
   60   2.0356538903606244E-06
   61   3.9324457241313613E-06
   62   3.5980188350960217E-06
   63   4.7357574867273080E-06
   64   2.7555796359107835E-06
