# kyz             |phi(kyz)|^2
    0   4.3873152785806074E-31
    1   1.1285063980188306E+00
    2   2.9303807954651018E-01
    3   1.9773027964829182E-01
    4   3.5765019404399002E-02
    5   4.9691922964081661E-02
    6   2.9412816048951278E-02
    7   3.0422218196309379E-02
    8   2.8103228029671658E-02
    9   1.7961112524957849E-02
   10   8.7756553282062524E-03
   11   8.8317885449852706E-03
   12   8.0306778794878610E-03
   13   7.6261730070051126E-03
   14   9.0682383053195398E-03
   15   1.9176717207187487E-03
   16   4.3352814574856447E-03
   17   4.2049709906063319E-03
   18   4.3031646287040870E-03
   19   4.1077711289025653E-03
   20   4.1882853067688767E-03
   21   3.0128848127930243E-03
   22   4.0762230002264997E-03
   23   2.3143573367911088E-03
   24   6.8463784189424332E-04
   25   3.2288404412797182E-03
   26   1.7678510808509145E-03
   27   1.2182219686976386E-03
   28   1.1995056079003124E-03
   29   1.9460147666828667E-03
   30   4.0550634432038837E-04
   31   1.1794446738079673E-03
   32   8.2852589353719583E-04
   33   6.8259802568992401E-04
   34   7.4650596001681893E-04
   35   4.1663099038323904E-04
   36   4.1535765006969018E-04
   37   8.5281376175344278E-04
   38   1.2773362212826114E-03
   39   8.7637657678240656E-04
   40   9.3649960192136619E-04
   41   1.1771353168026322E-03
   42   8.8013394808593925E-04
   43   7.7347134463477132E-04
   44   5.9104059082886102E-04
   45   9.3470329455481245E-04
   46   5.8987689539882163E-04
   47   6.0682362259583008E-04
   48   2.9829385419685353E-04
   49   2.3464210618153147E-04
   50   3.5218450564717887E-04
   51   2.4179253280418091E-04
   52   5.4345396422290188E-04
   53   3.0878171383564299E-04
   54   5.2058214326449826E-04
   55   5.3027149905209969E-04
   56   3.6877191457116175E-04
   57   3.0943047162967918E-04
   58   2.8253053343943636E-04
   59   5.0729745437134782E-04
   60   3.6261013223762360E-04
   61   3.6224596822007857E-04
   62   4.8829022790859993E-04
   63   3.7265706009726487E-04
   64   5.8645514322446638E-31
