#  kx   kyz         |phi(kx, kyz)|^2
    0     0   3.2014692729007092E-07
    1     0   1.9442486996148092E-06
    2     0   1.0160201660636885E-05
    3     0   2.9152096279501692E-07
    4     0   3.1350713149624515E-06
    5     0   3.0522926068712970E-07
    6     0   4.5869287085038927E-06
    7     0   3.0047719752967035E-06
    8     0   7.9131038023037339E-08
    9     0   8.8458822384901818E-06
   10     0   1.2271869075165695E-06
   11     0   5.9103961754587342E-07
   12     0   2.4351013145017070E-06
   13     0   1.0241504232320304E-06
   14     0   1.1647006928025886E-07
   15     0   1.6137610216151751E-07
   16     0   1.4468740970021581E-07
   17     0   5.2307585194764848E-07
   18     0   1.5979761438048174E-07
   19     0   2.3742351491687326E-07
   20     0   7.0521194827901708E-09
   21     0   2.1926855616242882E-07
   22     0   1.3286307012558484E-07
   23     0   1.1750807805218029E-07
   24     0   2.0771944951286585E-07
   25     0   4.7425360953591841E-08
   26     0   1.0953424101068379E-07
   27     0   9.2603795568470874E-08
   28     0   5.7832480703186257E-08
   29     0   1.3674864600885850E-07
   30     0   3.2162763639317574E-08
   31     0   1.6111807194949915E-07
   32     0   7.5364986567698742E-08
   33     0   7.4414251756689516E-08
   34     0   8.9343686615626317E-09
   35     0   4.1485297249445341E-09
   36     0   1.1205641410539592E-08
   37     0   2.3806266125040481E-09
   38     0   5.8107010095097126E-08
   39     0   4.9095517803090526E-08
   40     0   7.2079052647609254E-08
   41     0   4.4326356816423960E-08
   42     0   5.8800420889595379E-08
   43     0   1.9201374300985410E-08
   44     0   4.9084410359062226E-08
   45     0   2.7579280191506491E-08
   46     0   7.5396817991708075E-08
   47     0   4.8545726875866732E-08
   48     0   9.9117186595216464E-10
   49     0   1.6261575283234272E-08
   50     0   9.0271949533598559E-08
   51     0   3.3458631320992824E-08
   52     0   4.6641088324309290E-08
   53     0   3.6020236706886009E-08
   54     0   8.6968824935767232E-09
   55     0   2.9654910576361882E-08
   56     0   7.5971898891353404E-08
   57     0   6.3529162753750682E-08
   58     0   1.5480561161685784E-07
   59     0   4.8684016952757622E-09
   60     0   7.1645270718426298E-08
   61     0   4.3646736860447589E-08
   62     0   3.1422093048194059E-08
   63     0   3.0728147875619283E-08
   64     0   6.4110690556930897E-08

    0     1   2.7827004048209031E-01
    1     1   2.9608293916735545E-01
    2     1   3.6935167897002706E-02
    3     1   1.4193617171859961E-02
    4     1   2.2593638333588293E-03
    5     1   8.7980380619203486E-04
    6     1   3.1119535201798909E-04
    7     1   1.1030089800116130E-04
    8     1   4.4240067904951190E-05
    9     1   6.9725421560183070E-05
   10     1   2.9095616537054338E-06
   11     1   3.5157889440255863E-06
   12     1   4.8562614025896823E-06
   13     1   3.5348127590723034E-06
   14     1   9.3078143211081121E-07
   15     1   3.8892562915846986E-07
   16     1   1.5018642298095620E-06
   17     1   1.3074649723024092E-06
   18     1   1.0815585547225589E-06
   19     1   1.5326452124396727E-07
   20     1   2.5067450860534560E-07
   21     1   1.0290214273454848E-06
   22     1   1.0408629146878354E-06
   23     1   3.0429839154167157E-08
   24     1   1.4448131514681949E-07
   25     1   5.8901921870632768E-07
   26     1   3.5444097779044849E-07
   27     1   7.1888398084740482E-07
   28     1   7.2429997204561071E-07
   29     1   1.8752851640045896E-08
   30     1   5.4154405912269174E-07
   31     1   8.4956353594702376E-07
   32     1   5.8147503535866622E-08
   33     1   5.7233312446339732E-07
   34     1   2.1660624094171956E-07
   35     1   1.6488032461164298E-07
   36     1   4.2181509905817598E-07
   37     1   3.2472912363879892E-07
   38     1   5.2238168891656771E-07
   39     1   6.4479471579793441E-07
   40     1   8.4464609804558209E-08
   41     1   1.8531505299242792E-07
   42     1   6.8679328981520657E-07
   43     1   1.1445701941526742E-07
   44     1   6.1772536397195265E-07
   45     1   5.0596700463673537E-07
   46     1   3.7600351708461198E-08
   47     1   4.9368110859284959E-08
   48     1   2.7852066869591853E-07
   49     1   9.9017571575590042E-08
   50     1   7.4519349230169575E-07
   51     1   1.0085414504745091E-07
   52     1   3.4246040975146578E-07
   53     1   3.3817393300577448E-07
   54     1   1.8742535095614556E-07
   55     1   1.7085619142003986E-07
   56     1   7.3140990928814107E-07
   57     1   4.1173488053141869E-07
   58     1   3.2265672603693073E-07
   59     1   3.7463094315530634E-07
   60     1   3.9443520258079190E-07
   61     1   5.9703795958478997E-07
   62     1   4.1511572624096423E-07
   63     1   5.4436089935646076E-07
   64     1   3.9457911025517228E-08

    0     2   7.0075203933826595E-03
    1     2   9.5591709572599201E-02
    2     2   5.3897575476226367E-02
    3     2   1.0779166456057684E-02
    4     2   7.4870116692655831E-03
    5     2   4.7621362366721326E-03
    6     2   3.7037327313841798E-04
    7     2   4.4911953195551224E-04
    8     2   3.3580049015974149E-04
    9     2   1.1435264381193060E-04
   10     2   1.4025288739395659E-05
   11     2   2.5704275406476006E-05
   12     2   7.5350148986370741E-06
   13     2   6.6221511423977479E-06
   14     2   5.4412701305548199E-07
   15     2   3.4163723755326881E-07
   16     2   2.0284755116007515E-07
   17     2   1.7717740439531921E-06
   18     2   2.3314512475380682E-07
   19     2   6.0171850448458172E-07
   20     2   5.8111585020935526E-08
   21     2   3.6895280246420008E-07
   22     2   1.7992396695408468E-07
   23     2   2.5706366963219815E-07
   24     2   5.0861431734283218E-07
   25     2   1.9499752567522778E-07
   26     2   1.7464725441107373E-07
   27     2   2.0568054794921675E-07
   28     2   1.8873311921338831E-07
   29     2   2.6997814178740455E-07
   30     2   1.4437502066056512E-07
   31     2   4.4924989961318693E-07
   32     2   1.3224355662679605E-07
   33     2   1.1486623334086556E-07
   34     2   4.3514163833099498E-08
   35     2   4.8891754375676999E-08
   36     2   5.1531326385162099E-08
   37     2   2.8272453610669276E-08
   38     2   1.2147173746550063E-07
   39     2   1.5061041838063941E-07
   40     2   1.2043380123405008E-07
   41     2   1.0160226540126678E-07
   42     2   1.5328101647375303E-07
   43     2   6.4539892540000815E-08
   44     2   1.0374568558109776E-07
   45     2   1.2840772032136397E-07
   46     2   1.3669977241409701E-07
   47     2   9.8174000768923158E-08
   48     2   2.8681360868182152E-08
   49     2   7.3885069345496575E-08
   50     2   2.0647049609444107E-07
   51     2   7.4014938438469310E-08
   52     2   9.1250139834721986E-08
   53     2   1.2790993706502497E-07
   54     2   1.3954939512030067E-08
   55     2   4.0510413362303149E-08
   56     2   1.8827504766479380E-07
   57     2   1.7103077401155635E-07
   58     2   2.5687978495866995E-07
   59     2   2.1455688309370317E-08
   60     2   1.8588872937864337E-07
   61     2   1.3565357809945679E-07
   62     2   8.6040976480234397E-08
   63     2   9.4807939051539799E-08
   64     2   1.1809422798788905E-07

    0     3   1.9868243820464503E-02
    1     3   8.8101998032652187E-02
    2     3   4.4712320097038308E-02
    3     3   3.4235138045441565E-02
    4     3   7.4073788234939189E-03
    5     3   2.6065652247513464E-03
    6     3   3.6196290845635429E-03
    7     3   4.3823348522958877E-04
    8     3   7.1767857251742943E-04
    9     3   3.5120673703255419E-04
   10     3   9.2873317063654320E-05
   11     3   5.9412405512179452E-05
   12     3   3.3478068289952815E-05
   13     3   2.3304660433207531E-05
   14     3   1.1177044770363755E-05
   15     3   5.7333150989093967E-06
