#   k               |phi(k)|^2
    0   3.2014692729007092E-07
    1   5.7435492389814535E-01
    2   1.9344213354087159E-01
    3   1.7765563709903542E-01
    4   9.7385612927764514E-02
    5   7.5526570973779725E-02
    6   6.1665578447462489E-02
    7   3.9063431544920722E-02
    8   4.9246107786241257E-02
    9   3.7827745459517156E-02
   10   2.9175844831026372E-02
   11   1.7459657931343003E-02
   12   1.8084569428615745E-02
   13   1.4343411559260529E-02
   14   1.7194655702879688E-02
   15   8.7810674201586354E-03
   16   9.4134458386582014E-03
   17   1.1622697905508721E-02
   18   9.8513232016366366E-03
   19   7.3458287627762150E-03
   20   7.0816725011905541E-03
   21   7.1101265115901509E-03
   22   5.8446956904669566E-03
   23   6.3334705732675974E-03
   24   3.8741700958660925E-03
   25   4.7204849470596517E-03
   26   5.1487453722464747E-03
   27   3.0272580473031893E-03
   28   3.1042343672488312E-03
   29   3.5499877255103637E-03
   30   2.6784135061034609E-03
   31   2.3599075412110621E-03
   32   2.7450049857706440E-03
   33   2.2134356672177499E-03
   34   1.9400599216665678E-03
   35   1.6230636014995328E-03
   36   2.0645889132108446E-03
   37   1.5272190085618726E-03
   38   1.9426457046003130E-03
   39   1.9474874555020282E-03
   40   1.4683243900188688E-03
   41   1.5265053589683894E-03
   42   9.6501759391668870E-04
   43   1.1409551953006939E-03
   44   9.0988472167234929E-04
   45   9.8676386593446637E-04
   46   1.1223956733670663E-03
   47   1.0432329679545313E-03
   48   9.0667978703043840E-04
   49   7.2067157007095364E-04
   50   9.6251577166405887E-04
   51   7.7985947498089667E-04
   52   8.4291176126466904E-04
   53   7.0111819467749161E-04
   54   5.5050709070252003E-04
   55   6.8206593963586644E-04
   56   4.8194183971556574E-04
   57   5.5740163566450238E-04
   58   5.5874339075322979E-04
   59   5.3477213723457785E-04
   60   5.4875424922898807E-04
   61   4.6225158131508169E-04
   62   5.1959127252782585E-04
   63   4.9273674035838638E-04
   64   3.3003992685709662E-04
