#   k               |phi(k)|^2
    0   3.4720001813712638E-33
    1   5.7054555932322470E-01
    2   2.0958637660150020E-01
    3   2.2244344797391027E-01
    4   6.8455141354212767E-02
    5   6.7485178769024851E-02
    6   6.2934488451979784E-02
    7   4.8400706293435042E-02
    8   5.1373638882206613E-02
    9   3.1763706351236105E-02
   10   2.6773088238773671E-02
   11   2.1869727258255856E-02
   12   1.9033555187502500E-02
   13   1.7851274329944770E-02
   14   1.6124231280435327E-02
   15   6.9239419961712803E-03
   16   9.2415784432719993E-03
   17   1.1074977166279254E-02
   18   1.1718594343613536E-02
   19   8.8480038005486761E-03
   20   8.1065059614332385E-03
   21   6.6532610448194656E-03
   22   7.9394358737659709E-03
   23   7.5136134680366048E-03
   24   4.2081979064586767E-03
   25   6.4212703659771841E-03
   26   4.5494260849444131E-03
   27   4.3240475039358819E-03
   28   3.8164764306124108E-03
   29   4.1577394620281247E-03
   30   2.4920576338440053E-03
   31   3.2254850618691016E-03
   32   3.3950726392059658E-03
   33   3.5416990970042897E-03
   34   2.4743198014853360E-03
   35   2.2101744967738556E-03
   36   2.6197159751875465E-03
   37   2.5703391848625389E-03
   38   3.1469935783581347E-03
   39   2.5479255558290854E-03
   40   2.6147141883470027E-03
   41   2.4282509702218506E-03
   42   2.3268137190648763E-03
   43   2.2759350186914843E-03
   44   2.3753097937858946E-03
   45   2.0551905018764676E-03
   46   2.0675968997591124E-03
   47   1.5274258789532435E-03
   48   1.6368453327477443E-03
   49   1.3655126836416625E-03
   50   1.9724282438598555E-03
   51   1.3177871022274062E-03
   52   1.5152887312737402E-03
   53   1.4803185877962151E-03
   54   1.4478025297534854E-03
   55   1.4446167034436398E-03
   56   1.3670032651804487E-03
   57   1.3594547930600297E-03
   58   1.2003203826856902E-03
   59   1.2047365213635895E-03
   60   1.1933816264827130E-03
   61   1.0406933789388463E-03
   62   1.3396194437344225E-03
   63   1.0871528204128679E-03
   64   3.1491569916180763E-04
