#  kx              |phi(kx)|^2
    0   3.5858822843454585E-01
    1   5.5210092344527872E-01
    2   2.3377385695638700E-01
    3   1.2498980897644782E-01
    4   6.3042149358059948E-02
    5   3.9708533012964356E-02
    6   3.5145246199486606E-02
    7   2.0616253067099188E-02
    8   1.7903656441525775E-02
    9   1.5194589149259349E-02
   10   9.9253355183064364E-03
   11   9.7216342125928043E-03
   12   8.9503851389097604E-03
   13   7.4994468227648865E-03
   14   5.4630530938700904E-03
   15   5.1840080105107411E-03
   16   3.3197069494025322E-03
   17   4.0421502349060950E-03
   18   2.6187262080113092E-03
   19   2.6831231090586761E-03
   20   2.1147665521444822E-03
   21   2.3171812849722569E-03
   22   1.8323776765126491E-03
   23   1.5963155916107604E-03
   24   1.6703957971934689E-03
   25   1.1588555156876268E-03
   26   1.2951407222932319E-03
   27   8.7648087650834638E-04
   28   1.0044310853570210E-03
   29   6.8098071675132797E-04
   30   7.0798368789526725E-04
   31   5.8832534826686598E-04
   32   5.9297432491496951E-04
   33   4.7761611938253081E-04
   34   4.0592950887664836E-04
   35   3.7101229910114022E-04
   36   3.5566879271027823E-04
   37   3.0708510834153937E-04
   38   3.1590772720935202E-04
   39   2.5036899215522939E-04
   40   2.9994492615687592E-04
   41   2.2228444605762270E-04
   42   2.6461496015638483E-04
   43   2.1772697147057299E-04
   44   2.0227153036968422E-04
   45   1.8871937911387883E-04
   46   1.9056583485398069E-04
   47   1.4859043475294663E-04
   48   1.6344242325828495E-04
   49   1.4413735109202095E-04
   50   1.3720732349768239E-04
   51   9.1138552135916679E-05
   52   9.8851298851357933E-05
   53   8.2893549466454277E-05
   54   8.5707341597344593E-05
   55   8.2737527715406832E-05
   56   7.9269971289894979E-05
   57   7.2047949389153783E-05
   58   8.1049011310383405E-05
   59   6.6131995724014235E-05
   60   7.2353933597825828E-05
   61   7.4562435252832225E-05
   62   6.5664755209424511E-05
   63   7.0456623779988428E-05
   64   7.1280889533691927E-05
