#  kx              |phi(kx)|^2
    0   4.5011574750384020E-01
    1   6.7598437527742128E-01
    2   2.3651968628707201E-01
    3   8.0628216080181545E-02
    4   5.0247170466138039E-02
    5   3.2139288825356202E-02
    6   1.8875214947756888E-02
    7   1.5218044412650403E-02
    8   1.0789900468718923E-02
    9   7.5847291651115019E-03
   10   5.8230549451918660E-03
   11   4.5692339360874634E-03
   12   3.9802264087988350E-03
   13   2.8173907099060783E-03
   14   2.3426367501045513E-03
   15   1.8503461066324103E-03
   16   1.4740348714442394E-03
   17   1.1343833713218909E-03
   18   9.6752811221215195E-04
   19   9.1134112377269270E-04
   20   8.6084529280478774E-04
   21   6.2973120369014235E-04
   22   5.4864787878611547E-04
   23   4.7570420183005573E-04
   24   3.8379326953768883E-04
   25   2.8916790460253953E-04
   26   2.4942009458369952E-04
   27   2.4097016640072742E-04
   28   1.9245038466307924E-04
   29   1.5844661276749733E-04
   30   1.4154322785510639E-04
   31   1.1010766461646334E-04
   32   9.6393199004992969E-05
   33   8.4416620816708126E-05
   34   7.7797930084381935E-05
   35   6.1333166228130277E-05
   36   6.1688305719924185E-05
   37   4.7138897393366988E-05
   38   3.3427769705319199E-05
   39   3.3859412675705114E-05
   40   2.9711040564870338E-05
   41   3.0203647047052885E-05
   42   1.8820437896829955E-05
   43   1.8170288864682066E-05
   44   1.9007269502375524E-05
   45   1.7100718637391266E-05
   46   1.2011282387295832E-05
   47   1.0481215295995241E-05
   48   8.3061027568897719E-06
   49   8.4382251516392958E-06
   50   6.9899547582273305E-06
   51   6.5840824008417118E-06
   52   6.0191716003246120E-06
   53   4.7550113804937486E-06
   54   3.9760036193091664E-06
   55   3.7323365884698318E-06
   56   3.0401335334193591E-06
   57   2.7373237911823628E-06
   58   2.6451095538125622E-06
   59   2.2186422462712627E-06
   60   1.7443601110571567E-06
   61   1.7550419295773075E-06
   62   1.3423394471820957E-06
   63   1.1650967546617724E-06
   64   4.5334689946681196E-31
