#  kx   kyz         |phi(kx, kyz)|^2
    0     0   4.5842248134147350E-05
    1     0   1.7759512180869038E-06
    2     0   1.9350922645814326E-05
    3     0   3.0643676950004151E-06
    4     0   2.7976103375176488E-06
    5     0   5.8539052040319922E-06
    6     0   6.7731580181941084E-06
    7     0   1.2671535937096775E-06
    8     0   9.2954497199504203E-07
    9     0   2.4247827248154381E-07
   10     0   1.8122320172212861E-06
   11     0   7.9550546558819508E-08
   12     0   3.1153170336131823E-07
   13     0   4.1976271649127779E-07
   14     0   1.4513214468414803E-06
   15     0   1.9673590752071877E-07
   16     0   4.0441656225071888E-07
   17     0   2.1867978012151383E-08
   18     0   3.7789046315818382E-07
   19     0   1.1740574395359506E-07
   20     0   1.9354985849519200E-07
   21     0   1.7511661317908962E-07
   22     0   2.2586414660180552E-07
   23     0   5.5677626221775828E-08
   24     0   1.5813038917112015E-07
   25     0   1.5351338462072571E-08
   26     0   2.3709620774414450E-08
   27     0   4.8279472417484246E-08
   28     0   1.1056947211193574E-08
   29     0   4.9919150394357080E-08
   30     0   4.7791768091206159E-08
   31     0   3.7094074075430936E-08
   32     0   4.4220909591508541E-08
   33     0   5.1527555829447349E-09
   34     0   1.3820239872359288E-08
   35     0   5.9276001266462074E-09
   36     0   2.9090413192603469E-09
   37     0   3.7732056816697152E-08
   38     0   2.4737282240656639E-10
   39     0   1.8951623107532456E-08
   40     0   1.7389141166508833E-08
   41     0   5.1320310269688574E-09
   42     0   6.7601567934639093E-08
   43     0   2.3701150680999187E-08
   44     0   3.5979035339512016E-08
   45     0   6.0985976140307795E-09
   46     0   2.6136343140329156E-08
   47     0   6.3249270083182857E-09
   48     0   1.1979665455478536E-07
   49     0   3.2159749346318798E-08
   50     0   7.1430040559945947E-09
   51     0   2.7242689613253718E-08
   52     0   1.4930448015980245E-08
   53     0   2.8713521867880980E-08
   54     0   1.5116467693419493E-08
   55     0   1.5071725089211713E-08
   56     0   1.1991476437109299E-07
   57     0   5.2004353532671238E-08
   58     0   2.9744428915153516E-08
   59     0   2.7533712347735838E-08
   60     0   7.0968846620954471E-09
   61     0   2.2690585995111553E-09
   62     0   8.8914303231753060E-09
   63     0   3.2552038867453024E-08
   64     0   1.0514114734266388E-08

    0     1   8.8985644645323033E-05
    1     1   3.6031861970370648E-06
    2     1   3.9763767999709128E-05
    3     1   6.3492558474126066E-06
    4     1   7.3044707863574375E-06
    5     1   1.1658187175507287E-05
    6     1   1.2884521832034544E-05
    7     1   2.6250104104354102E-06
    8     1   1.7848881716900327E-06
    9     1   5.4632298917456833E-07
   10     1   3.8239557875841986E-06
   11     1   1.4027925802039559E-07
   12     1   6.8211693346443580E-07
   13     1   8.4739794498689681E-07
   14     1   2.9162786599245654E-06
   15     1   3.9358551880322209E-07
   16     1   8.1321485359124000E-07
   17     1   4.6067435144478451E-08
   18     1   7.6829497843180322E-07
   19     1   2.3260184760379821E-07
   20     1   3.9411942404684109E-07
   21     1   3.5043629282976639E-07
   22     1   4.6984097193712523E-07
   23     1   1.1043354340922346E-07
   24     1   3.2007286084201441E-07
   25     1   3.1814107555183339E-08
   26     1   4.8313132994649673E-08
   27     1   9.4409142744664285E-08
   28     1   2.3076085264297072E-08
   29     1   1.0134655887525512E-07
   30     1   9.2221139433545228E-08
   31     1   7.5740480367011047E-08
   32     1   8.8467430093086504E-08
   33     1   1.0621583405547868E-08
   34     1   2.8394511536729154E-08
   35     1   1.2145506870374108E-08
   36     1   6.2136609087967181E-09
   37     1   7.3747706635813012E-08
   38     1   6.3061691990651925E-10
   39     1   3.8478167387987854E-08
   40     1   3.4740007823672048E-08
   41     1   1.0223356821611724E-08
   42     1   1.3659529309855540E-07
   43     1   4.7586508539488880E-08
   44     1   7.0797397163686794E-08
   45     1   1.2459359162840550E-08
   46     1   4.9682653025063745E-08
   47     1   1.4164105544064544E-08
   48     1   2.3639608580315716E-07
   49     1   6.2636965409029033E-08
   50     1   1.6283792680757748E-08
   51     1   5.5459531612944448E-08
   52     1   2.9237323724361728E-08
   53     1   5.5517308355761606E-08
   54     1   3.4759240879594288E-08
   55     1   3.0581845788770761E-08
   56     1   2.3259144131459016E-07
   57     1   1.0580631995794021E-07
   58     1   5.6012340033820955E-08
   59     1   5.4600238065675900E-08
   60     1   1.7065468207565789E-08
   61     1   4.0088436260069269E-09
   62     1   2.0806709204473799E-08
   63     1   6.4919045702775697E-08
   64     1   1.9851340784047736E-08

    0     2   8.1297273179841369E-05
    1     2   3.7498929747478098E-06
    2     2   4.2693742671267975E-05
    3     2   7.0104657439093534E-06
    4     2   1.2094228760848775E-05
    5     2   1.1500992020998423E-05
    6     2   1.1101914111974413E-05
    7     2   2.9112497973019243E-06
    8     2   1.6010011896071117E-06
    9     2   7.1729373693029590E-07
   10     2   4.3629522871919070E-06
   11     2   9.2874443404953833E-08
   12     2   8.6232027131583427E-07
   13     2   8.6982938942032454E-07
   14     2   2.9617890788309780E-06
   15     2   3.9359925940648290E-07
   16     2   8.2623784087580885E-07
   17     2   5.3051421240341147E-08
   18     2   8.0254025422181088E-07
   19     2   2.2634428343415502E-07
   20     2   4.1520874469223473E-07
   21     2   3.5082502605120275E-07
   22     2   5.2336473975037625E-07
   23     2   1.0799366629655778E-07
   24     2   3.3197016156486650E-07
   25     2   3.4894645860077055E-08
   26     2   5.1255226693863758E-08
   27     2   8.8240203345221641E-08
   28     2   2.5953270476904412E-08
   29     2   1.0592498188617492E-07
   30     2   8.2644502999603595E-08
   31     2   8.0084921910022258E-08
   32     2   8.8524136146540150E-08
   33     2   1.1619999945487834E-08
   34     2   3.0355912601770397E-08
   35     2   1.2909419178577302E-08
   36     2   7.4150875609520784E-09
   37     2   6.9016209003348908E-08
   38     2   1.0744979600160212E-09
   39     2   3.9984611000969206E-08
   40     2   3.4719874111141882E-08
   41     2   1.0164131328416607E-08
   42     2   1.4029605393730412E-07
   43     2   4.8077171409901537E-08
   44     2   6.7308105914765388E-08
   45     2   1.3351491233582927E-08
   46     2   4.2523134285362388E-08
   47     2   1.8381579641391182E-08
   48     2   2.2711139035693612E-07
   49     2   5.8059403433787400E-08
   50     2   2.1963567324103163E-08
   51     2   5.7822381881199734E-08
   52     2   2.7395007697023102E-08
   53     2   5.0312391859793230E-08
   54     2   4.7099901754930975E-08
   55     2   3.2179926596401064E-08
   56     2   2.1199894705661236E-07
   57     2   1.1032419104552962E-07
   58     2   4.6920486143658325E-08
   59     2   5.3226660295787811E-08
   60     2   2.4672739146789501E-08
   61     2   2.9390924820490533E-09
   62     2   2.9152300590332153E-08
   63     2   6.4262505308881088E-08
   64     2   1.6822126553409612E-08

    0     3   6.9759317639510364E-05
    1     3   3.9720734565484199E-06
    2     3   4.6785686415521530E-05
    3     3   8.1096411210447926E-06
    4     3   1.9024653018450074E-05
    5     3   1.1212358696768093E-05
    6     3   8.7495099690647395E-06
    7     3   3.4333662765370474E-06
    8     3   1.4165310173892515E-06
    9     3   9.6119784231642590E-07
   10     3   5.0807642372164697E-06
   11     3   4.1823524277362128E-08
   12     3   1.1704127057057854E-06
   13     3   9.0395774428174716E-07
   14     3   3.0500083585147687E-06
   15     3   3.9256876177199221E-07
   16     3   8.4858117679362723E-07
   17     3   6.4600397003412994E-08
   18     3   8.4947076987593777E-07
   19     3   2.1712948527213196E-07
   20     3   4.5003094481238887E-07
   21     3   3.5079588918365216E-07
   22     3   6.0985311127223558E-07
   23     3   1.0493528370149043E-07
   24     3   3.5327696124949418E-07
   25     3   3.9275655999221904E-08
   26     3   5.7021181162440120E-08
   27     3   7.8840327692513218E-08
   28     3   3.0732691894822386E-08
   29     3   1.1368444378569338E-07
   30     3   6.8293355520777659E-08
