#  kx   kyz         |phi(kx, kyz)|^2
    0     0   1.9341761144805574E-33
    1     0   6.5861167061561063E-34
    2     0   9.6854657443472153E-34
    3     0   2.7257498588345657E-32
    4     0   8.7177623751655305E-33
    5     0   1.6545145581786010E-32
    6     0   3.1854927099878912E-33
    7     0   1.3257921297485730E-33
    8     0   3.1893441069544671E-33
    9     0   7.1212814185272221E-34
   10     0   6.7865716630673481E-33
   11     0   4.0165056708528822E-33
   12     0   6.8500741343535221E-34
   13     0   1.4200488034394439E-33
   14     0   3.2562535832495336E-33
   15     0   7.7571023336464646E-33
   16     0   1.4976820843799798E-33
   17     0   4.7151126176598557E-34
   18     0   1.5684187439772619E-33
   19     0   1.2331876825670320E-34
   20     0   1.0001044568462204E-33
   21     0   1.9033250574184161E-33
   22     0   4.2855337252341028E-34
   23     0   6.6089060373192771E-36
   24     0   2.6725532928336578E-33
   25     0   1.1097606649873038E-32
   26     0   4.4405196934752288E-33
   27     0   3.7461138174348655E-34
   28     0   1.3841331736095876E-33
   29     0   1.2217411178445562E-33
   30     0   1.3919837421120003E-33
   31     0   2.1367846631867191E-34
   32     0   3.9381345853159382E-33
   33     0   1.8639963691635753E-34
   34     0   1.1180380493982905E-33
   35     0   2.6606452441551280E-33
   36     0   5.9668629226258875E-34
   37     0   1.4514237480558634E-33
   38     0   3.1588861658548902E-35
   39     0   8.2060876323596151E-34
   40     0   1.0570706630881569E-33
   41     0   1.2871360828463456E-33
   42     0   3.7674702916563562E-33
   43     0   4.1250754688474216E-34
   44     0   1.1049898609416139E-33
   45     0   1.1554235410139578E-33
   46     0   1.1088433944079862E-33
   47     0   6.8288631424150514E-34
   48     0   3.2794638994572497E-33
   49     0   1.4721056892322141E-33
   50     0   5.8391536472872803E-34
   51     0   3.8983889235174710E-33
   52     0   1.4794664651562681E-34
   53     0   1.8237892234090545E-33
   54     0   2.6216170011841765E-34
   55     0   1.5512721980944535E-33
   56     0   5.3203723275226886E-34
   57     0   1.2711965703277617E-33
   58     0   2.8498840444938277E-33
   59     0   6.9097332483663644E-33
   60     0   1.3186408420806115E-33
   61     0   8.5974152917384708E-34
   62     0   9.4004540008630759E-34
   63     0   3.0882973809752977E-34
   64     0   1.3534791408448462E-33

    0     1   1.8300588675220143E-31
    1     1   4.7095520208560420E-32
    2     1   1.3391654790084001E-32
    3     1   3.0690962010720008E-32
    4     1   1.5628245329099826E-32
    5     1   1.7052719891867817E-32
    6     1   1.2583448252380556E-32
    7     1   3.0345293435637044E-32
    8     1   1.8901756133372671E-33
    9     1   1.3658703021320425E-32
   10     1   8.6833960637714708E-33
   11     1   9.5599535029660562E-33
   12     1   6.1415424338249877E-33
   13     1   7.1843822278516428E-33
   14     1   2.8339330927992500E-33
   15     1   2.8292954639075453E-33
   16     1   6.8185678840204387E-35
   17     1   2.9673535881773279E-33
   18     1   1.3385598525327393E-33
   19     1   5.6738330734469578E-33
   20     1   3.8200445442279851E-33
   21     1   3.0831800077308396E-33
   22     1   3.2629682460267818E-33
   23     1   2.3893620252178261E-33
   24     1   2.6648095493210725E-33
   25     1   3.3510878240520714E-33
   26     1   2.7415807525937020E-33
   27     1   3.7489845609948257E-33
   28     1   8.6685274495206994E-33
   29     1   2.0826500313418069E-33
   30     1   5.6726305801448001E-33
   31     1   5.1326594553980530E-34
   32     1   4.6377299338186657E-34
   33     1   5.3525319907102154E-33
   34     1   3.5281132120277776E-33
   35     1   8.1382870130973265E-33
   36     1   4.2166850192903704E-34
   37     1   5.2322182984381794E-33
   38     1   1.7591317069203732E-33
   39     1   6.2687192422273216E-34
   40     1   4.4161059103000838E-34
   41     1   6.4026405131280230E-33
   42     1   2.7862750820459204E-33
   43     1   3.3144589593734673E-34
   44     1   1.5502663295391980E-33
   45     1   1.5403985491455451E-33
   46     1   2.4878238868884571E-33
   47     1   3.8741098288503339E-33
   48     1   3.6269783380350071E-33
   49     1   8.8810994050687665E-33
   50     1   7.5485153466398192E-33
   51     1   8.5439160015205602E-34
   52     1   4.3397526820553614E-33
   53     1   1.0064952841178482E-33
   54     1   1.2491621371503223E-33
   55     1   5.2157083627291256E-33
   56     1   5.3532169169366581E-33
   57     1   4.5098977673177698E-33
   58     1   3.7389486202630199E-33
   59     1   2.0735537499267700E-33
   60     1   1.0724160649658266E-33
   61     1   1.8203773945842134E-33
   62     1   3.3599097709517742E-33
   63     1   3.2646193945495601E-33
   64     1   1.1726713685011520E-33

    0     2   4.0288814171410416E-32
    1     2   3.2185925043025582E-32
    2     2   2.2245395406967382E-32
    3     2   1.7571770766690075E-33
    4     2   1.3712431718203994E-32
    5     2   1.3507920260345705E-32
    6     2   1.5428889957417205E-33
    7     2   2.0124825352903254E-32
    8     2   1.5948976678557489E-32
    9     2   5.5342352449904628E-33
   10     2   7.5417761141149117E-33
   11     2   8.7368826240114297E-33
   12     2   6.2262973807540142E-33
   13     2   3.0122937931478001E-33
   14     2   4.1955447098868354E-33
   15     2   4.8453678885893491E-34
   16     2   1.6170910580090016E-33
   17     2   3.0239733253689246E-33
   18     2   2.2269734412649642E-33
   19     2   1.5075655324388071E-33
   20     2   1.8216874417342016E-34
   21     2   6.9701739095834265E-34
   22     2   1.2386058460510758E-33
   23     2   1.6280755156296497E-33
   24     2   7.5571701070187760E-33
   25     2   4.6472485810369365E-33
   26     2   6.7740432282603959E-33
   27     2   4.7855139358099039E-33
   28     2   9.1382689772885455E-34
   29     2   7.1971031256819328E-33
   30     2   5.5003475095508293E-34
   31     2   4.3820862682532198E-33
   32     2   1.7883261754527666E-33
   33     2   3.5759355552237924E-33
   34     2   3.6020312088429432E-33
   35     2   4.1503075314446433E-33
   36     2   5.5485890518110892E-33
   37     2   8.4809712540478105E-33
   38     2   3.2154672902637046E-33
   39     2   7.2453790299805904E-33
   40     2   5.9879402943062500E-33
   41     2   4.2324987676386371E-33
   42     2   3.7107395232409592E-33
   43     2   1.9861400847873843E-33
   44     2   1.6260988972345439E-33
   45     2   4.2973645928574827E-34
   46     2   1.4107788201399065E-33
   47     2   2.6623502600135968E-34
   48     2   4.8015234632072375E-33
   49     2   9.2167426148157236E-34
   50     2   1.6877307071623964E-33
   51     2   6.4149439032897394E-34
   52     2   2.0675703042048895E-33
   53     2   5.7812932268596653E-33
   54     2   2.3286152158202806E-33
   55     2   4.9115357323925396E-33
   56     2   1.4881983620799629E-33
   57     2   1.5179783650878477E-33
   58     2   2.9767525195326199E-33
   59     2   2.1645691753846289E-34
   60     2   7.6875366678888446E-34
   61     2   2.3089594176920471E-33
   62     2   1.7200298117354077E-33
   63     2   2.4690559824673386E-33
   64     2   3.5857429055031823E-33

    0     3   2.1973119872895402E-32
    1     3   2.9288963781894994E-32
    2     3   2.3578369914906991E-33
    3     3   2.3082847778219162E-32
    4     3   2.2909026427771677E-32
    5     3   1.0775804201850706E-32
    6     3   2.8875204958296070E-32
    7     3   3.0504664925793884E-32
    8     3   8.8821279335967969E-33
    9     3   2.4904568513741857E-32
   10     3   5.3710408445310040E-33
   11     3   1.1195486827218852E-32
   12     3   5.4600559720543457E-33
   13     3   6.1239775568309746E-33
   14     3   1.3139431018769224E-33
   15     3   3.5928747938607169E-33
   16     3   5.8992893509773947E-33
   17     3   3.5073008553430125E-33
   18     3   1.4553551747439849E-33
   19     3   3.6186723167374254E-33
   20     3   5.9678022703697709E-33
   21     3   8.1742026429271844E-33
   22     3   4.7486428454668671E-33
   23     3   2.4135041168355099E-33
   24     3   3.1880864207408992E-33
   25     3   3.2286784925420982E-33
   26     3   2.4074478520788978E-33
   27     3   3.6743125460569855E-33
   28     3   5.9109527496518996E-33
   29     3   3.6632838568225276E-33
   30     3   6.7342758453806634E-33
   31     3   4.3061097316288752E-33
   32     3   3.4269115786857562E-33
   33     3   2.8460186490025441E-33
   34     3   2.2652983306987269E-33
   35     3   2.2720179786421674E-33
   36     3   3.8168791704478355E-33
   37     3   5.9761925276228739E-34
   38     3   1.2969558810154005E-33
   39     3   6.1500330620581157E-34
   40     3   3.1147304416030090E-33
   41     3   6.0048320848435259E-34
   42     3   4.3731547866401975E-33
   43     3   2.6680984236953820E-33
   44     3   3.3424399850422466E-33
   45     3   1.3755084800142258E-33
   46     3   1.7483206618665451E-33
   47     3   1.3809230826652754E-33
   48     3   1.6307927038305352E-33
   49     3   4.9702338387820520E-33
   50     3   5.4879999650599849E-33
   51     3   3.1669504079831139E-33
   52     3   1.4333456660065546E-34
   53     3   3.0927312300713035E-34
   54     3   4.0932337226716127E-33
   55     3   2.5431806689464150E-33
   56     3   5.0622227959805369E-33
   57     3   2.7236395178074034E-33
   58     3   2.2206323988896375E-33
   59     3   2.2456652773912437E-33
   60     3   2.5192143211284019E-33
   61     3   3.1264220069359435E-33
   62     3   5.2070009093243432E-33
   63     3   3.1841003575215222E-33
   64     3   2.8975430869019037E-33

    0     4   3.1435603406476575E-32
    1     4   5.1306099823598847E-32
    2     4   1.8720637923953372E-32
    3     4   1.1336565606117653E-32
    4     4   1.0695488901498904E-32
    5     4   9.0537696981685058E-33
    6     4   1.8661112190955174E-32
    7     4   1.1126692958103231E-32
    8     4   2.0259097599533553E-32
    9     4   2.1021638234502306E-32
   10     4   5.1356213562826669E-33
   11     4   7.8116870547818483E-33
   12     4   2.0039399545038111E-33
   13     4   2.3678827245132389E-33
   14     4   7.0464839849833010E-33
   15     4   4.0443314442031124E-33
   16     4   8.1869821164602306E-33
   17     4   4.5606579257014724E-34
   18     4   3.5498542339574423E-33
   19     4   1.7625496614907248E-33
   20     4   4.5375338762368426E-33
   21     4   5.2429021327332898E-33
   22     4   4.1172402119268842E-33
   23     4   1.2086777569010429E-33
   24     4   1.7894364654355787E-33
   25     4   4.9906051473538686E-33
   26     4   4.4613833261551100E-33
   27     4   1.1157320394853331E-32
   28     4   7.5651382720308234E-33
   29     4   4.8449665827108974E-33
   30     4   2.0626794555768813E-33
   31     4   7.9476994804964375E-33
   32     4   4.5529323424371569E-33
   33     4   2.9860689703117818E-33
   34     4   4.5543739456748770E-34
   35     4   3.3728566204790901E-33
   36     4   4.3911595155298252E-33
   37     4   3.0540798122519688E-33
   38     4   5.0187407743764156E-33
   39     4   1.8424105995524605E-33
   40     4   6.3434379848394435E-34
   41     4   2.2180959285270110E-33
   42     4   8.4822518186133664E-33
   43     4   3.1936147029852910E-33
   44     4   5.0404556909491908E-33
   45     4   3.4573356028510638E-33
   46     4   1.9326631165413023E-33
   47     4   4.4588908320799637E-33
   48     4   1.7984881696725691E-33
   49     4   6.5553650261183649E-34
   50     4   3.4177726117852005E-33
   51     4   1.7575449107173126E-33
   52     4   1.3634569520212338E-33
   53     4   2.1461297132968168E-33
   54     4   6.2808309594255191E-33
   55     4   1.5135064707168185E-33
   56     4   1.2680519096897188E-33
   57     4   3.6817459135084489E-33
   58     4   1.7974297176288310E-33
   59     4   4.0071223195328905E-34
   60     4   1.5348015038777549E-33
   61     4   8.4535671528716187E-34
   62     4   2.8542415975268693E-33
   63     4   3.8028883521042332E-33
   64     4   9.4667803341812882E-34

    0     5   4.2675388846696694E-02
    1     5   4.2302758729166438E-02
    2     5   2.1438157722304476E-02
    3     5   1.1925186547607276E-02
    4     5   4.0701942980007153E-03
    5     5   1.7391334708595392E-03
    6     5   8.0568739218080804E-04
    7     5   1.0719052994038784E-03
    8     5   3.1887304041399567E-04
    9     5   2.0002971039597369E-04
   10     5   6.4375296579041388E-05
   11     5   2.6811676051866742E-05
   12     5   1.7759779850586428E-05
