#  kx              |phi(kx)|^2
    0   6.9739629832465411E-01
    1   6.1606720890830657E-01
    2   3.1476831169477459E+00
    3   9.6606627070109419E-01
    4   6.9039140466194404E-01
    5   3.8930003497970084E-01
    6   3.2530051745889221E-01
    7   1.0194784606783597E-01
    8   1.5503431488247296E-01
    9   5.5615022758155330E-02
   10   7.2858286733832364E-02
   11   2.1153630449468115E-02
   12   3.8527875616552174E-02
   13   1.3655954496691771E-02
   14   2.3746739000498920E-02
   15   1.1987571155350495E-02
   16   2.8309384136225513E-02
   17   8.3732022232192536E-03
   18   1.1817805127755697E-02
   19   1.0191621403492704E-02
   20   9.2808062121926271E-03
   21   8.1400280110158138E-03
   22   5.6289602686176348E-03
   23   6.1377497880855036E-03
   24   5.7495086702136072E-03
   25   4.2894574173011936E-03
   26   4.0095926354344049E-03
   27   3.9182096654414283E-03
   28   3.4733570007224892E-03
   29   2.0118958602440896E-03
   30   2.6544314763057896E-03
   31   3.7982090709026712E-03
   32   1.8349756551079587E-03
   33   1.8876744033139497E-03
   34   3.0215884070884272E-03
   35   1.6563422510893716E-03
   36   1.8719534775148848E-03
   37   1.0408572661474358E-03
   38   1.3929386306842015E-03
   39   1.6272390984739004E-03
   40   1.6472107777481414E-03
   41   1.3541815939589917E-03
   42   1.7020018890256505E-03
   43   1.9932596489545666E-03
   44   1.4516443513299334E-03
   45   9.9113757154071038E-04
   46   9.0822350149882207E-04
   47   1.0286618241426128E-03
   48   9.3415070929458619E-04
   49   6.0750917775060156E-04
   50   5.1935146543365075E-04
   51   7.0309284310557830E-04
   52   6.6719076452552461E-04
   53   4.1839064230199527E-04
   54   5.9421106154280284E-04
   55   7.2004880566035510E-04
   56   5.9276587026814485E-04
   57   4.2072277322499006E-04
   58   6.9799559207025890E-04
   59   4.8503669269681169E-04
   60   5.7249271691710128E-04
   61   3.2593475948263168E-04
   62   4.4568270759924936E-04
   63   4.9125190315107308E-04
   64   2.7609591774330195E-04
