#  kx   kyz         |phi(kx, kyz)|^2
    0     0   4.1752475990505290E-04
    1     0   5.9029926770886112E-04
    2     0   5.0433752167047935E-05
    3     0   1.1270542210736057E-04
    4     0   4.4905039091808511E-04
    5     0   3.0589644946357069E-04
    6     0   1.0476773128366602E-04
    7     0   2.6515486333326586E-04
    8     0   1.4975357259017948E-04
    9     0   3.6016532501210411E-04
   10     0   2.6762208019265505E-04
   11     0   1.0959484235898706E-04
   12     0   2.0088337038525530E-04
   13     0   4.1228281869523447E-04
   14     0   4.9086092676717873E-05
   15     0   3.1947701266144197E-04
   16     0   1.1329338192422429E-04
   17     0   7.9012349107142847E-05
   18     0   4.0219120044619543E-04
   19     0   2.0037281000038740E-05
   20     0   4.1344185468932031E-04
   21     0   6.1260545250112729E-04
   22     0   2.4608982047043605E-05
   23     0   3.8097008464922873E-05
   24     0   2.3655096186149679E-04
   25     0   4.8205129651262326E-04
   26     0   3.8292659217589891E-05
   27     0   1.8356679628081957E-05
   28     0   3.3320073809649719E-04
   29     0   2.6955514861849505E-04
   30     0   1.7191194721639944E-05
   31     0   3.5322551924726539E-04
   32     0   8.7524568611605823E-05
   33     0   1.4679718820450233E-04
   34     0   1.4833154111671906E-04
   35     0   2.1687612278432874E-05
   36     0   1.0096184180246769E-05
   37     0   9.2085690388068064E-06
   38     0   7.1013874103415577E-05
   39     0   8.4896571858921377E-06
   40     0   1.5282568090485527E-04
   41     0   3.5797181858252404E-04
   42     0   3.1454684152587906E-04
   43     0   4.1274291785804548E-05
   44     0   1.2218962583784149E-04
   45     0   2.4997946999205363E-05
   46     0   4.9114082139354350E-05
   47     0   1.2025016345643621E-04
   48     0   1.5966590136793835E-05
   49     0   3.3647358034485900E-05
   50     0   7.2601923197784311E-06
   51     0   2.3798731572935446E-06
   52     0   3.2727008986079788E-06
   53     0   2.4410866934598094E-06
   54     0   1.9082596860799494E-06
   55     0   1.0745039579924368E-04
   56     0   3.1955557820000262E-05
   57     0   4.2501051261135544E-06
   58     0   2.7249177480932350E-04
   59     0   3.0264531470924907E-05
   60     0   7.1102146176271416E-05
   61     0   7.8965057470152884E-06
   62     0   3.7090239220734929E-05
   63     0   1.5691695444035383E-05
   64     0   3.7845354897277862E-06

    0     1   4.9392813446835271E-02
    1     1   1.6931963978489115E-01
    2     1   1.6666094356178871E+00
    3     1   5.3985587883761565E-01
    4     1   1.5261764733607663E-01
    5     1   1.8054742488334521E-01
    6     1   4.5663053341519766E-02
    7     1   4.1868708661455367E-02
    8     1   2.7248524151517399E-02
    9     1   1.6380809654208621E-02
   10     1   5.1907144548982475E-03
   11     1   2.2600615861549682E-03
   12     1   6.3688695742593849E-03
   13     1   2.4898768909606588E-03
   14     1   3.0738600643472965E-03
   15     1   4.4223994722010409E-03
   16     1   1.4008425511935563E-02
   17     1   2.5249443279373707E-03
   18     1   4.6383880059807340E-04
   19     1   4.5211511002873593E-03
   20     1   1.5399582095263638E-03
   21     1   3.3823773034539362E-03
   22     1   1.2010860875780261E-03
   23     1   2.8817601804704733E-03
   24     1   1.1084894518694419E-03
   25     1   1.0129009621699305E-03
   26     1   4.1760034967333387E-04
   27     1   1.9910512568613661E-03
   28     1   5.7247823757110121E-04
   29     1   4.0702823797957477E-04
   30     1   4.4165115996628814E-04
   31     1   2.0723872172032937E-03
   32     1   8.2175394788293506E-05
   33     1   5.8495420281018569E-04
   34     1   1.1488506411287910E-03
   35     1   6.2895834109820187E-04
   36     1   3.7272066377980938E-04
   37     1   1.5106058682943827E-04
   38     1   3.9073922570018112E-04
   39     1   8.0497745490556625E-04
   40     1   7.0246592872114945E-04
