#   k               |phi(k)|^2
    0   4.1752475990505290E-04
    1   2.1930275249943529E-01
    2   2.1562067807949741E+00
    3   1.2231873958999118E+00
    4   1.2340179533308016E+00
    5   8.7795084363597520E-01
    6   2.3922572006512194E-01
    7   4.4006897799193195E-01
    8   1.7147981874341839E-01
    9   1.8621715663704064E-01
   10   1.2459785920535500E-01
   11   6.3348486275543014E-02
   12   8.1411530168322324E-02
   13   3.6873632424238807E-02
   14   3.6617260505726584E-02
   15   3.3557654211288312E-02
   16   4.8956215000702859E-02
   17   2.9168124181241775E-02
   18   3.2893937149612841E-02
   19   1.5699079697146890E-02
   20   1.9954874825762324E-02
   21   1.5693145334994212E-02
   22   1.2900155681479161E-02
   23   1.3682363841407755E-02
   24   1.2872508142819391E-02
   25   9.9152621375055289E-03
   26   1.0856391730564552E-02
   27   9.9460218430319405E-03
   28   9.4032338503841333E-03
   29   6.6514530157883601E-03
   30   7.2653597269672267E-03
   31   9.8194820334589570E-03
   32   6.3560229596964441E-03
   33   6.3246026082291558E-03
   34   6.9857832780574509E-03
   35   5.8333371605707217E-03
   36   5.1309416779526237E-03
   37   3.1684466536017544E-03
   38   3.5447396878599100E-03
   39   4.3026760449658523E-03
   40   3.3951880851697904E-03
   41   4.3204156773566050E-03
   42   3.5270347824767844E-03
   43   4.1213265100756664E-03
   44   3.0597638762652627E-03
   45   2.4112202485560112E-03
   46   1.9965941347701707E-03
   47   1.9624152404658325E-03
   48   1.8434225360688353E-03
   49   1.6159837018476328E-03
   50   1.2856175077051869E-03
   51   1.2585753402900449E-03
   52   1.3906663788111164E-03
   53   1.1799282391246511E-03
   54   1.4132525057025051E-03
   55   1.3495957104623472E-03
   56   1.0544260567376844E-03
   57   9.9149645529338472E-04
   58   1.1099761632976084E-03
   59   9.8516025995207604E-04
   60   1.0704228231354445E-03
   61   9.0462509660495683E-04
   62   8.6397092059196251E-04
   63   9.6742693272863973E-04
   64   6.2762783067547910E-04
