# kyz             |phi(kyz)|^2
    0   1.2088312401524536E-31
    1   8.3740110848919935E-01
    2   1.1008476468910586E-01
    3   6.2037035913252110E-02
    4   1.5950663970318094E-02
    5   1.1905193440196972E-02
    6   5.8229992192412308E-03
    7   3.0695809959186259E-03
    8   1.5453366666059248E-03
    9   1.9122571089842787E-03
   10   1.3599892494364980E-03
   11   9.6803824798821639E-04
   12   6.5185319547640458E-04
   13   4.3598318931347866E-04
   14   4.8667238362226281E-04
   15   1.8895112960952713E-04
   16   1.3732009112801775E-04
   17   2.3302208290440003E-04
   18   1.6537064285445266E-04
   19   8.3166149132026467E-05
   20   7.9224084460728639E-05
   21   7.7945635227549286E-05
   22   7.5626267942250510E-05
   23   4.3330438102760653E-05
   24   1.4494195715912818E-04
   25   6.6825826127849002E-05
   26   2.9491450340743479E-05
   27   2.6179890774013265E-05
   28   4.7018599909997224E-05
   29   4.7442539541973352E-05
   30   4.7328139405119411E-05
   31   3.4843138265167814E-05
   32   3.1998068964799828E-05
   33   1.3165211439542719E-05
   34   3.3135127917979581E-05
   35   1.3096443630197596E-05
   36   2.7520140310974422E-05
   37   2.3247604524356757E-05
   38   2.0276473229118205E-05
   39   2.3682710643527966E-05
   40   1.7009014450431987E-05
   41   1.7024808973404529E-05
   42   1.8765381106107607E-05
   43   1.2971330985639497E-05
   44   1.5124377882559473E-05
   45   1.9821918911845997E-05
   46   1.2391077569833573E-05
   47   6.5849078069188122E-06
   48   1.1290366428360526E-05
   49   9.3042401980395684E-06
   50   1.3082457869575910E-05
   51   1.2547108090766113E-05
   52   7.1517878818899829E-06
   53   6.4427676844156624E-06
   54   9.9371181095014813E-06
   55   6.9192656725291025E-06
   56   8.8082437241092973E-06
   57   5.1882633405314085E-06
   58   5.2852523565110916E-06
   59   7.8647497105035691E-06
   60   4.0534322006591999E-06
   61   8.0148206355436786E-06
   62   4.7243803048152808E-06
   63   4.7519549659086033E-06
   64   4.5632548787233577E-06
   65   5.8611199389794731E-06
   66   4.3268867356849980E-06
   67   4.7645877787951458E-06
   68   2.3988667564579722E-06
   69   2.2930749144040474E-06
   70   1.8798374412784896E-06
   71   4.8806103294391408E-06
   72   2.0225337001738145E-06
   73   2.5394091438053013E-06
   74   3.2007111537005083E-06
   75   1.7127520393022795E-06
   76   3.2931680087239947E-06
   77   2.1044635645628406E-06
   78   2.7649860806925258E-06
   79   1.6074145541581452E-06
   80   2.2223985700541815E-06
   81   2.4093658422007736E-06
   82   1.2632580180314359E-06
   83   2.8954409976738251E-06
   84   3.0991887392933215E-07
   85   1.5604443052739320E-06
   86   1.2019693758850356E-06
   87   1.5490111360229703E-06
   88   1.7392463155098096E-06
   89   1.0872222722220038E-06
   90   1.1973099471837072E-06
   91   2.3506052234756064E-06
   92   1.6819700638987251E-06
   93   1.8086625578192274E-06
   94   1.6247591136046285E-06
   95   6.6698921222371111E-07
   96   1.7585224650638053E-06
   97   1.1529398293652257E-06
   98   1.6286332320635836E-06
   99   1.5708490999294029E-06
  100   1.2498400493947315E-06
  101   1.1417278976904965E-06
  102   1.3289032618373805E-06
  103   1.1889043920610677E-06
  104   1.3234972721839171E-06
  105   6.7025485424203987E-07
  106   9.6848185706718990E-07
  107   9.4264246811181924E-07
  108   8.5586597091674169E-07
  109   1.0316241089036391E-06
  110   5.7063749113198672E-07
  111   9.6748279435448700E-07
  112   6.9197182059750928E-07
  113   5.0020046756974389E-07
  114   1.0995098956847796E-06
  115   4.0023665602660677E-07
  116   6.7137453314872563E-07
  117   7.4150002563415102E-07
  118   3.8558302045288002E-07
  119   1.2476926879780463E-06
  120   8.0603266227580589E-07
  121   5.2023378299159442E-07
  122   1.0012870693232606E-06
  123   1.0496690143647118E-06
  124   9.5421237257852106E-07
  125   5.7008327388405511E-07
  126   1.3221655216476894E-07
  127   7.9936217377828947E-07
  128   2.7982472346783341E-31
