#  kx              |phi(kx)|^2
    0   1.7221431168161147E-02
    1   5.9192439193568014E-01
    2   3.2050955283008348E-01
    3   3.7329404315645287E-01
    4   1.0432523290350507E-01
    5   4.7612230310748703E-02
    6   1.2446023580070914E-02
    7   1.6878909104974270E-02
    8   5.8495594247402827E-03
    9   7.8680981279796551E-03
   10   3.4206595203441774E-03
   11   3.7392766201452036E-03
   12   1.8189614825101941E-03
   13   3.4739348575569306E-03
   14   1.3362332910413269E-03
   15   2.2004458689948488E-03
   16   9.8853682184489849E-04
   17   1.6300097434740516E-03
   18   6.9871029558935297E-04
   19   1.3166294386968518E-03
   20   6.4452992852074165E-04
   21   1.0999055347506942E-03
   22   4.6244451166600151E-04
   23   9.2211859276766805E-04
   24   4.0437376427967478E-04
   25   8.2139895428646375E-04
   26   3.3288562224178804E-04
   27   5.8567455153876204E-04
   28   2.4154173218445175E-04
   29   5.7222816111083521E-04
   30   2.2647388727856433E-04
   31   4.2630354452440902E-04
   32   1.7860149473077037E-04
   33   3.9123002413890887E-04
   34   1.6542357047903022E-04
   35   3.4213297507538365E-04
   36   1.4403666681592819E-04
   37   2.9640626119428238E-04
   38   1.2363089086533293E-04
   39   2.5467741281933999E-04
   40   1.0165910127777577E-04
   41   2.4233510013040718E-04
   42   9.5110521744592953E-05
   43   2.0946000831033462E-04
   44   8.1218248853302840E-05
   45   1.8178255833331249E-04
   46   7.0813154150682332E-05
   47   1.6262188882726540E-04
   48   6.1687090237401069E-05
   49   1.2400077053663250E-04
   50   4.9531999359448870E-05
   51   1.0947341803231739E-04
   52   4.0869562453008618E-05
   53   8.6400044086032825E-05
   54   3.6299383018316993E-05
   55   7.7854992647586786E-05
   56   3.0261551245526697E-05
   57   6.6319434054510379E-05
   58   2.7300672101066976E-05
   59   5.7824879949728704E-05
   60   2.3771887547815058E-05
   61   4.8914908426619918E-05
   62   1.9567409496431024E-05
   63   4.4654741668094896E-05
   64   2.1250386313176535E-05
   65   4.2016286239056064E-05
   66   1.6472710748236013E-05
   67   3.4197368188262422E-05
   68   1.6402476774941389E-05
   69   3.0835523956516634E-05
   70   1.4677475753072871E-05
   71   3.5246203606165606E-05
   72   1.4286831033746646E-05
   73   3.4277740577713124E-05
   74   1.4577578872938976E-05
   75   3.0560832778546411E-05
   76   9.5798315808249160E-06
   77   2.8701195728910529E-05
   78   8.6591374249425326E-06
   79   2.1370854784232159E-05
   80   1.0715640917660906E-05
   81   1.7261623225635452E-05
   82   8.0636637928775222E-06
   83   1.9979436897057350E-05
   84   6.8804216135890629E-06
   85   1.9877147273084844E-05
   86   8.5621636543603969E-06
   87   1.4755591205583062E-05
   88   7.4318502573018904E-06
   89   1.1166370062738980E-05
   90   6.5840331913401055E-06
   91   1.4034350550332253E-05
   92   6.7984394494094645E-06
   93   1.3666108410621334E-05
   94   6.2986491386643325E-06
   95   1.0710531397930027E-05
   96   6.1057530762082664E-06
   97   8.8828563468502245E-06
   98   5.6908553218284033E-06
   99   8.7462914558090728E-06
  100   4.7018061307017469E-06
  101   7.4733580507488478E-06
  102   4.2981519673998628E-06
  103   6.5512239875186060E-06
  104   4.3151604250355141E-06
  105   6.0814037579733195E-06
  106   3.9675739830685971E-06
  107   6.3504216319006819E-06
  108   4.0809078117794904E-06
  109   6.4755082620611869E-06
  110   3.5181876585503414E-06
  111   5.7484937789428504E-06
  112   2.9256240489980610E-06
  113   4.9851174175230876E-06
  114   2.8286324314316365E-06
  115   4.4215092671632705E-06
  116   2.8647117464459035E-06
  117   3.9428073150761552E-06
  118   2.7640878737632206E-06
  119   4.1786965039432017E-06
  120   2.8317607020503901E-06
  121   3.5716818707813313E-06
  122   2.4255058783703078E-06
  123   3.7139544508971295E-06
  124   2.6184347016209279E-06
  125   3.6914160486429621E-06
  126   2.8932331544011267E-06
  127   3.3458543014125476E-06
  128   3.1281502979234179E-06
