#   k               |phi(k)|^2
    0   2.4897522259335121E-33
    1   2.6476404479681709E-01
    2   4.9930517580296757E-01
    3   3.8751020686605597E-01
    4   1.1338512808912476E-01
    5   8.7527379024895852E-02
    6   4.2102642458511731E-02
    7   2.6308697296147820E-02
    8   1.3956883218084410E-02
    9   1.7500818278047506E-02
   10   1.3759029379264161E-02
   11   1.0918936181066975E-02
   12   7.7915980922651064E-03
   13   5.8606277537031435E-03
   14   6.8064257113720147E-03
   15   2.8746889204968313E-03
   16   2.1926972263464168E-03
   17   3.9619607275467135E-03
   18   2.9940704831558488E-03
   19   1.5796632615597099E-03
   20   1.5837194179125604E-03
   21   1.6379217978146666E-03
   22   1.6700632103850684E-03
   23   9.9628579319049394E-04
   24   3.4787006324617747E-03
   25   1.6714807070413184E-03
   26   7.6700887529109504E-04
   27   7.0718983690176804E-04
   28   1.3164177016749574E-03
   29   1.3763887744605656E-03
   30   1.4196800084538919E-03
   31   1.0793142361709123E-03
   32   1.0255529529379500E-03
   33   4.3437080839432604E-04
   34   1.1267338886005165E-03
   35   4.5811804749299796E-04
   36   9.9097838420380831E-04
   37   8.6014326964689179E-04
   38   7.7033887234081663E-04
   39   9.2372608240749547E-04
   40   6.8054527234978038E-04
   41   6.9805261064478192E-04
   42   7.8811155211056493E-04
   43   5.5775616511011370E-04
   44   6.6549002948328758E-04
   45   8.9200285670942338E-04
   46   5.7001692961780863E-04
   47   3.0948147303162257E-04
   48   5.4191300928656781E-04
   49   4.5590914054801713E-04
   50   6.5418317878427115E-04
   51   6.3990455595354248E-04
   52   3.7189415644663760E-04
   53   3.4145872144372496E-04
   54   5.3661831341428171E-04
   55   3.8055665143133622E-04
   56   4.9325889923015800E-04
   57   2.9573315820051899E-04
   58   3.0655167559897429E-04
   59   4.6401755727637825E-04
   60   2.4321165166695235E-04
   61   4.8890888194083766E-04
   62   2.9290845687331108E-04
   63   2.9937427053106981E-04
   64   2.9205339322623718E-04
   65   3.8096961608789337E-04
   66   2.8557557346063883E-04
   67   3.1922723365047760E-04
   68   1.6312462308770375E-04
   69   1.5821914477639665E-04
   70   1.3158816995919361E-04
   71   3.4652506350354837E-04
   72   1.4562601685945837E-04
   73   1.8537657908622034E-04
   74   2.3685344298300984E-04
   75   1.2845517103870648E-04
   76   2.5028161554205969E-04
   77   1.6204233224705720E-04
   78   2.1566974147918004E-04
   79   1.2698580672481177E-04
   80   1.7779157999100968E-04
   81   1.9515968295823592E-04
   82   1.0358727008477293E-04
   83   2.4032077446979979E-04
   84   2.6033824852826711E-05
   85   1.3263802610062334E-04
   86   1.0336932086097171E-04
   87   1.3476406460232235E-04
   88   1.5305381788623470E-04
   89   9.6762702828203723E-05
   90   1.0775787270061283E-04
   91   2.1390483296445005E-04
   92   1.5474123766209586E-04
   93   1.6820583430304556E-04
   94   1.5272719122441544E-04
   95   6.3363911304419455E-05
   96   1.6881849034525794E-04
   97   1.1183510940154822E-04
   98   1.5960618544132792E-04
   99   1.5551398055112334E-04
  100   1.2498404896387372E-04
  101   1.1531452609663365E-04
  102   1.3554809736461665E-04
  103   1.2245719265228467E-04
  104   1.3764369915236196E-04
  105   7.0376734866963822E-05
  106   1.0265910438097357E-04
  107   1.0086274339116928E-04
  108   9.2433533597441407E-05
  109   1.1244706286964841E-04
  110   6.2770120466521643E-05
  111   1.0739058793629420E-04
  112   7.7500849114349186E-05
  113   5.6522672308296733E-05
  114   1.2534412878730468E-04
  115   4.6027234358441011E-05
  116   7.7879428186511019E-05
  117   8.6755509469339673E-05
  118   4.5498798365515540E-05
  119   1.4847540777889454E-04
  120   9.6723938560990078E-05
  121   6.2948280242081881E-05
  122   1.2215701691693041E-04
  123   1.2910930875321695E-04
  124   1.1832233167069283E-04
  125   7.1260407475627071E-05
  126   1.6659284586744718E-05
  127   1.0151900716191237E-04
  128   1.2626731358545247E-11
