#  kx              |phi(kx)|^2
    0   1.9751170837607037E+00
    1   5.0486080075326933E-01
    2   1.8427520356594576E-01
    3   1.0027461184535670E-01
    4   5.7443428117235885E-02
    5   3.2477659497907083E-02
    6   2.2289066253822810E-02
    7   1.5167977770046881E-02
    8   1.3078775785679462E-02
    9   8.5938177740351156E-03
   10   7.3010949677106600E-03
   11   6.0481296906466087E-03
   12   4.8602941286883562E-03
   13   3.7740011838317505E-03
   14   3.4887130261286739E-03
   15   2.6584946278570346E-03
   16   2.2675161242789936E-03
   17   1.8920773063785690E-03
   18   1.6106938228564870E-03
   19   1.5033021514652988E-03
   20   1.2085890325082415E-03
   21   1.1325459106563416E-03
   22   9.4871365049846001E-04
   23   8.1365592991891904E-04
   24   7.3170998449733249E-04
   25   6.2972532656112811E-04
   26   5.3681136049546887E-04
   27   4.8662435428125137E-04
   28   4.7329392398752675E-04
   29   4.1581161714525437E-04
   30   3.3769701319225575E-04
   31   3.1361886379726320E-04
   32   2.8273629631549315E-04
   33   2.5516078680658694E-04
   34   2.3272359756152083E-04
   35   2.1281544669133343E-04
   36   1.7924421862034278E-04
   37   1.6649817851245599E-04
   38   1.3837775927505344E-04
   39   1.2552366658372983E-04
   40   1.2485668324018737E-04
   41   1.0373830146308947E-04
   42   1.0253511742425673E-04
   43   9.1502123600974662E-05
   44   7.4461884498136968E-05
   45   6.9449331184301709E-05
   46   5.7488585129542796E-05
   47   5.6745391276161902E-05
   48   5.0972779053214157E-05
   49   4.3765255835505814E-05
   50   4.2185656483244241E-05
   51   3.9280675477886498E-05
   52   3.3595067900604653E-05
   53   3.1182079737320080E-05
   54   3.1056603347436508E-05
   55   2.9433827853409428E-05
   56   2.3148312388443027E-05
   57   2.3597690306833835E-05
   58   2.2727387076222990E-05
   59   1.8758286173567037E-05
   60   1.6456668642638344E-05
   61   1.4813706185830717E-05
   62   1.4947408910539589E-05
   63   1.1707563929430420E-05
   64   1.3440508163032449E-05
   65   9.6612161490830863E-06
   66   1.0036661133675384E-05
   67   7.9035022427057649E-06
   68   7.7177787117099699E-06
   69   7.4826759847513882E-06
   70   6.6383393924540827E-06
   71   5.5921824148422705E-06
   72   5.6867958467805043E-06
   73   4.9787925014984470E-06
   74   4.3605979532317261E-06
   75   4.5214479370933720E-06
   76   4.0153762676523425E-06
   77   3.9800414948281204E-06
   78   2.7539442407578577E-06
   79   3.0047444762305228E-06
   80   2.7872401769308585E-06
   81   2.3771608394575645E-06
   82   2.3021120579186775E-06
   83   2.3071317295300627E-06
   84   1.9554217120808700E-06
   85   1.7666774504989692E-06
   86   1.8511059687595010E-06
   87   1.6793542514965338E-06
   88   1.4282726630753370E-06
   89   1.2000471042633933E-06
   90   1.2435900130933192E-06
   91   1.0987487637952919E-06
   92   1.1709339930842193E-06
   93   8.9913533554553809E-07
   94   8.9655484457622679E-07
   95   6.9135596809835535E-07
   96   6.7799971201595347E-07
   97   5.7790310363656944E-07
   98   5.6572174604172754E-07
   99   4.5581601206972135E-07
  100   5.1742412241163361E-07
  101   5.0457558875629694E-07
  102   4.2030066160149211E-07
  103   3.7170735915536272E-07
  104   3.4342588335514275E-07
  105   3.4230904448702719E-07
  106   2.9008866349280694E-07
  107   3.0433957238121625E-07
  108   2.4480506366022488E-07
  109   2.5933417015490657E-07
  110   2.2938695990746639E-07
  111   1.9351666945765427E-07
  112   1.7917803014982652E-07
  113   1.6967248911579310E-07
  114   1.5314950702328862E-07
  115   1.3842130610406829E-07
  116   1.2962012471727691E-07
  117   1.2601493153500009E-07
  118   1.1958149872705901E-07
  119   9.9452412449723549E-08
  120   9.1929516990942569E-08
  121   8.2466824622665027E-08
  122   7.8591299656189931E-08
  123   7.4874558682454431E-08
  124   6.2871654936851855E-08
  125   6.6226685207170094E-08
  126   5.7883318047588400E-08
  127   6.1935225473530832E-08
  128   1.6273642399050295E-30
