# kyz             |phi(kyz)|^2
    0   9.3085419788006091E-06
    1   1.8770235187461267E-05
    2   1.9223773707385796E-05
    3   1.9960268694743818E-05
    4   2.0951697363116949E-05
    5   7.3538121090041000E-02
    6   3.2277538117024197E-02
    7   3.2945619284563889E-02
    8   2.7346586474300837E-02
    9   2.6330020658744215E-02
   10   2.0566773040929603E-02
   11   1.8313990168365716E-02
   12   1.2265039457661926E-02
   13   1.2984751202424129E-02
   14   1.1632148798933645E-02
   15   1.2309645006937469E-02
   16   5.2791285680208414E-03
   17   8.5272232733642362E-03
   18   8.8798156925682936E-03
   19   8.6594658681293322E-03
   20   7.7745490891563762E-03
   21   6.9613618206651349E-03
   22   7.2518567005239775E-03
   23   6.5787955785275203E-03
   24   4.7873020409875252E-03
   25   5.3030070733806117E-03
   26   5.9827437709245920E-03
   27   3.1682261881031196E-03
   28   2.8670835652804733E-03
   29   3.9027984386304808E-03
   30   3.9854481875442075E-03
   31   2.3006340352705380E-03
   32   3.1885659692564307E-03
   33   3.1150845937427396E-03
   34   2.7722421267939818E-03
   35   2.2593594283144484E-03
   36   2.6853024224350298E-03
   37   2.6146940610793984E-03
   38   2.3710503402841663E-03
   39   2.3015738940447891E-03
   40   1.7882644666377687E-03
   41   1.7243001702804616E-03
   42   1.7464915895153770E-03
   43   1.2948125282743305E-03
   44   1.7498679189359647E-03
   45   1.6420132276454139E-03
   46   1.3348242841886850E-03
   47   1.3317843572209196E-03
   48   1.6506832104880610E-03
   49   9.7615000261839450E-04
   50   1.1254720263872081E-03
   51   1.3016718066139730E-03
   52   1.3604154752317001E-03
   53   1.2630470798211393E-03
   54   1.0208939965742686E-03
   55   1.0263893733287912E-03
   56   7.9988367493233088E-04
   57   8.7990078374812367E-04
   58   8.4108130886560760E-04
   59   7.3101618937570785E-04
   60   8.6642970297086484E-04
   61   8.7635151903308684E-04
   62   7.0289136433172113E-04
   63   6.1157620753998548E-04
   64   9.3747569332848382E-04
   65   7.6901108962075710E-04
   66   5.3451255665577953E-04
   67   5.1326023584960458E-04
   68   5.8717924938402185E-04
   69   5.1618867023507122E-04
   70   6.1610361347201885E-04
   71   5.0482467421713629E-04
   72   4.8254293683602404E-04
   73   5.3040234707620796E-04
   74   5.1145068059759943E-04
   75   4.8232472465701778E-04
   76   4.9124360617035158E-04
   77   5.0677126067215578E-04
   78   4.2304116829514695E-04
   79   3.3423293972260248E-04
   80   4.6094124831722890E-04
   81   4.4772310331832755E-04
   82   3.5414541802342804E-04
   83   4.2104034064923237E-04
   84   3.6546006585144578E-04
   85   3.1608018109674171E-04
   86   2.8559206248364812E-04
   87   2.9637210048089491E-04
   88   2.0917331699621340E-04
   89   2.6283579575402517E-04
   90   2.8731008780829881E-04
   91   2.6562390716959551E-04
   92   2.0426545361541432E-04
   93   2.4819544896471045E-04
   94   2.2720445743338929E-04
   95   2.7107664249360989E-04
   96   2.3909627568813850E-04
   97   2.5372305416314941E-04
   98   2.1584891896751760E-04
   99   1.7517697834825102E-04
  100   1.9364199368869159E-04
  101   1.9517347618120385E-04
  102   1.7193934686194072E-04
  103   2.1893011091166022E-04
  104   2.0589109904337681E-04
  105   1.8555110219510223E-04
  106   1.8916454823387336E-04
  107   1.3801217608387436E-04
  108   1.5380337342088917E-04
  109   1.9709256057276125E-04
  110   1.4079813343757217E-04
  111   1.5681377218336635E-04
  112   1.2288292414453663E-04
  113   1.4793112835752675E-04
  114   1.2981238565085767E-04
  115   1.4190831436282423E-04
  116   1.5056230708658579E-04
  117   1.0532132880737430E-04
  118   1.2562735096777796E-04
  119   1.4392407527954074E-04
  120   9.7484430339989274E-05
  121   1.5719803280093300E-04
  122   1.2023952183807518E-04
  123   1.0687357577280537E-04
  124   8.9538954808575637E-05
  125   1.3182534188434258E-04
  126   9.2867330370584693E-05
  127   9.5142194690735001E-05
  128   1.8101805004113846E-05
