# kyz             |phi(kyz)|^2
    0   1.3577565541369946E-30
    1   1.9111207918920405E+00
    2   1.5617218426651758E-01
    3   1.6714996500360843E-01
    4   1.4587790782991816E-01
    5   1.1181622690502441E-01
    6   7.1627103877662704E-02
    7   4.5851499606485525E-02
    8   3.8323499687090916E-02
    9   2.6688486528697538E-02
   10   2.9097245784869007E-02
   11   1.9472617858110858E-02
   12   2.0768986566117312E-02
   13   1.0527360090137569E-02
   14   1.4255257066747833E-02
   15   7.9504134194862460E-03
   16   9.3309720627428299E-03
   17   9.8169740346026914E-03
   18   8.0657296997426013E-03
   19   5.9611794658075579E-03
   20   5.6475997682705779E-03
   21   7.3470814070237160E-03
   22   5.8099294147070319E-03
   23   3.3922400988636195E-03
   24   6.5511670912953325E-03
   25   4.4746377094886537E-03
   26   3.0129002821270711E-03
   27   3.1697874030410882E-03
   28   3.6257827771284906E-03
   29   3.6795905477757570E-03
   30   4.1233446333504425E-03
   31   2.9698054191173474E-03
   32   2.7126070834833094E-03
   33   2.8234021875137246E-03
   34   3.1831156922901265E-03
   35   2.3971185309552582E-03
   36   2.7410174678856969E-03
   37   2.7438210058227759E-03
   38   2.5393623244516447E-03
   39   2.6101022912489425E-03
   40   2.1239342619859508E-03
   41   1.5636642854446839E-03
   42   2.0142157971763238E-03
   43   1.7921716374742910E-03
   44   1.9910632048199322E-03
   45   1.9627260650538505E-03
   46   1.8683121046914621E-03
   47   1.7600394168860623E-03
   48   1.7604991230657154E-03
   49   1.4582405983057099E-03
   50   1.5814819858340054E-03
   51   1.8385221041630623E-03
   52   1.6407977531982807E-03
   53   1.0622133269384882E-03
   54   1.4077581964731919E-03
   55   1.3923454883772385E-03
   56   1.5037525436545833E-03
   57   1.1966424885395705E-03
   58   1.0035416959507191E-03
   59   1.4649440098564799E-03
   60   1.2156434369304833E-03
   61   1.2427231148330765E-03
   62   1.2254110486210610E-03
   63   1.1199484728574339E-03
   64   1.1047359600704701E-03
   65   1.2841535255848275E-03
   66   1.1368881320766718E-03
   67   9.6497904812257356E-04
   68   9.8572496731501205E-04
   69   9.3323218615203778E-04
   70   8.6677332787002252E-04
   71   8.7321608699530973E-04
   72   7.3203403435224924E-04
   73   1.0068400563241348E-03
   74   7.1661625459453079E-04
   75   7.0768262479369189E-04
   76   7.2825123830321035E-04
   77   7.5550891151144868E-04
   78   5.5802607374939341E-04
   79   7.6920749769699662E-04
   80   8.0373462824633089E-04
   81   7.6126021240124648E-04
   82   5.5714095050427752E-04
   83   6.6445468243405759E-04
   84   5.0423272440004458E-04
   85   6.9769984769778380E-04
   86   5.0814186009015669E-04
   87   6.2696184192621385E-04
   88   5.7955541316027849E-04
   89   6.0911044775089544E-04
   90   4.6439805462229885E-04
   91   6.7380539050946816E-04
   92   5.5344513741790611E-04
   93   5.8960814667948609E-04
   94   6.1873323386255703E-04
   95   5.5110419938041687E-04
   96   4.7128644140772478E-04
   97   4.8603399794587109E-04
   98   5.1544218058920685E-04
   99   5.3260282343337267E-04
  100   5.0838437736809529E-04
  101   4.2434979747124396E-04
  102   5.0631267502260322E-04
  103   4.5424389648755678E-04
  104   5.5328728002224613E-04
  105   4.2775124217151643E-04
  106   4.4448489121858811E-04
  107   4.1826315119081897E-04
  108   4.4211600377086886E-04
  109   4.4912741272132187E-04
  110   3.4714998338483813E-04
  111   4.2198423564804744E-04
  112   3.5323892458440233E-04
  113   3.6151182536318184E-04
  114   4.0081183457357344E-04
  115   3.9967901814965279E-04
  116   4.1974317502075379E-04
  117   3.9912888517329730E-04
  118   3.5944625523930655E-04
  119   4.5813160743763857E-04
  120   3.4353235862951011E-04
  121   3.5249369901623590E-04
  122   3.8758534088770795E-04
  123   4.6029164829460896E-04
  124   3.2754747467645702E-04
  125   3.5662482132086342E-04
  126   2.7077772735824762E-04
  127   3.0841680581014577E-04
  128   1.9815038158393910E-30
