#   k               |phi(k)|^2
    0   6.2179621616593477E-07
    1   1.7083511103033870E+00
    2   2.5943487557950423E-01
    3   1.4896629398770003E-01
    4   1.8240773393158000E-01
    5   1.1925792821075804E-01
    6   7.8653696077498642E-02
    7   6.1577296559862604E-02
    8   3.0230491966038178E-02
    9   3.1543331119330664E-02
   10   3.6689363170275213E-02
   11   2.1036580619664107E-02
   12   2.1779869694061958E-02
   13   1.4265987216645503E-02
   14   1.5097595400992774E-02
   15   1.0231704158117519E-02
   16   8.4226259137598902E-03
   17   1.1248312261319192E-02
   18   6.6897647892227279E-03
   19   6.5312483481735030E-03
   20   6.2381163129959852E-03
   21   8.4291495340869955E-03
   22   4.9777411961895350E-03
   23   4.3045611435917758E-03
   24   4.4526888573942353E-03
   25   4.8763835841869399E-03
   26   4.5542293750752364E-03
   27   2.9904287845964285E-03
   28   2.7300439981830190E-03
   29   3.7617671543003499E-03
   30   3.7154079431926750E-03
   31   3.5270992829646861E-03
   32   2.4365891061355234E-03
   33   2.7679678649982103E-03
   34   2.6819707452138577E-03
   35   2.3675662837646812E-03
   36   2.9922457685603986E-03
   37   2.2652354968405049E-03
   38   2.5729092825062866E-03
   39   2.2976795557051446E-03
   40   1.9746807462195175E-03
   41   2.1485877025982760E-03
   42   1.8813693520406210E-03
   43   1.8005845663196069E-03
   44   1.6053831017351168E-03
   45   1.5322540021838337E-03
   46   1.4563532766991578E-03
   47   1.3838457684739510E-03
   48   1.3285086234734464E-03
   49   1.2052701644947625E-03
   50   1.2662455691507277E-03
   51   1.2495212394661739E-03
   52   1.1664392270738515E-03
   53   1.1352946327554581E-03
   54   1.1968792186730615E-03
   55   1.3067503494002808E-03
   56   1.2452082260147798E-03
   57   8.1110221135118695E-04
   58   9.4044349583179327E-04
   59   8.5085500229802470E-04
   60   9.7391427989298887E-04
   61   1.0298178695822805E-03
   62   7.4552528474710049E-04
   63   8.0171564638344172E-04
   64   8.3886682849266343E-04
   65   9.8747823803946224E-04
   66   7.3528672315524720E-04
   67   8.4401539944421397E-04
   68   8.0633608495230002E-04
   69   7.0110577168864218E-04
   70   7.1231007028384381E-04
   71   5.3500458597389663E-04
   72   8.0006218153278700E-04
   73   6.8181406439296762E-04
   74   6.1101279661697711E-04
   75   5.1596262987981759E-04
   76   5.8552066337770863E-04
   77   4.9275725572934474E-04
   78   4.2816735615629984E-04
   79   5.0125422242399960E-04
   80   5.0084347327707004E-04
   81   4.2699730519873188E-04
   82   4.4693977334551836E-04
   83   3.4690955782820947E-04
   84   3.3562271406652742E-04
   85   3.8271579729178538E-04
   86   3.5720222791639771E-04
   87   3.3530582668190532E-04
   88   2.7563692924797637E-04
   89   3.1375765242059336E-04
   90   2.7510643644230569E-04
   91   3.2491248391441674E-04
   92   3.5301826539801300E-04
   93   3.0915486970010578E-04
   94   2.9508908431709764E-04
   95   2.6742534169240637E-04
   96   2.9243690841698153E-04
   97   2.5195033938277581E-04
   98   2.6056030418643658E-04
   99   2.2384953648734083E-04
  100   2.0993999096711449E-04
  101   2.4989465609127703E-04
  102   2.1909687438904270E-04
  103   2.3222769529826536E-04
  104   2.2999804731533674E-04
  105   1.9893325761116551E-04
  106   2.0397936004124711E-04
  107   1.9337612252284244E-04
  108   2.0046010331537485E-04
  109   1.9045062348256052E-04
  110   1.8480824483234541E-04
  111   1.8739391430318763E-04
  112   1.6755845235105949E-04
  113   1.7761359673157227E-04
  114   1.7419933444044508E-04
  115   1.7036891193732574E-04
  116   1.6010785528347281E-04
  117   1.3019896452088817E-04
  118   1.5648016491689941E-04
  119   1.5289192636263485E-04
  120   1.4250783257642471E-04
  121   1.4843920316775841E-04
  122   1.3184285770977868E-04
  123   1.6755953747492764E-04
  124   1.5625301260792092E-04
  125   1.3525746384347029E-04
  126   1.3376209845857270E-04
  127   1.1910956549319239E-04
  128   1.0452513934701465E-04
