#   k               |phi(k)|^2
    0   1.4987611891197921E-32
    1   1.0533123244770861E-31
    2   8.6792770875524324E-32
    3   1.4327946845379496E-31
    4   1.7903352138335903E-31
    5   6.7148605814087145E-02
    6   2.3539145254082038E-02
    7   3.7498564071122772E-02
    8   2.7279156620175285E-02
    9   2.6407094661595246E-02
   10   1.9913161819079133E-02
   11   2.0486997602484687E-02
   12   1.1956908374200964E-02
   13   1.5547230033472470E-02
   14   1.1756074487063263E-02
   15   1.2384339959336254E-02
   16   5.9088292876332870E-03
   17   9.2544804095041379E-03
   18   1.0013605948468328E-02
   19   8.4535109997358401E-03
   20   8.3670288125492504E-03
   21   8.0265570342392609E-03
   22   7.3543395253924245E-03
   23   7.0168263027647849E-03
   24   4.7446964215076045E-03
   25   5.8957735912543987E-03
   26   6.8377290445807660E-03
   27   4.3021874929187517E-03
   28   2.6412430532349257E-03
   29   4.1870770955985924E-03
   30   4.2200078302336280E-03
   31   2.6776386862935844E-03
   32   3.7154432917837193E-03
   33   3.8731569632718867E-03
   34   3.1803124824663666E-03
   35   2.6618990274761070E-03
   36   3.3788096586175264E-03
   37   2.9026935797339753E-03
   38   2.5449728834858647E-03
   39   2.6458388505590266E-03
   40   2.2926649226546005E-03
   41   2.0873595099222381E-03
   42   2.0958320350815390E-03
   43   1.7225839352575177E-03
   44   2.0435851279444429E-03
   45   2.3103770977193315E-03
   46   1.6368736040597634E-03
   47   1.6896880629672761E-03
   48   1.9868051381276251E-03
   49   1.4439941003629687E-03
   50   1.5479655552600906E-03
   51   1.5462381234878438E-03
   52   1.7588415111522546E-03
   53   1.8619237108437043E-03
   54   1.4036487973063240E-03
   55   1.2700051888574117E-03
   56   1.1954334880051648E-03
   57   1.2855485624852622E-03
   58   1.2214521871331595E-03
   59   1.0695183638047979E-03
   60   1.2735498469567045E-03
   61   1.2985221761431371E-03
   62   1.1247052336670566E-03
   63   1.1155707392074749E-03
   64   1.3003215516099757E-03
   65   1.2614036331915802E-03
   66   8.8406289334335103E-04
   67   8.1031108386907952E-04
   68   1.0370655389986448E-03
   69   8.5802610510482828E-04
   70   9.6056021697806817E-04
   71   8.7544503652162392E-04
   72   8.5078839100499368E-04
   73   9.5726930645745085E-04
   74   8.8192279638487617E-04
   75   9.1182046415746304E-04
   76   9.1820980590729870E-04
   77   8.6988284993186717E-04
   78   8.3095508670173648E-04
   79   6.9246896303174475E-04
   80   8.8183284014172543E-04
   81   8.3070540782535340E-04
   82   7.0635592575570515E-04
   83   7.7489595581673332E-04
   84   7.0288120575959115E-04
   85   7.5172446980796472E-04
   86   5.8390182935911118E-04
   87   6.2006343301797869E-04
   88   5.2213517220378082E-04
   89   5.5812224858477883E-04
   90   5.5526836682519764E-04
   91   5.7270667060676009E-04
   92   4.7291723038096398E-04
   93   5.4902160299822168E-04
   94   5.1012889687521851E-04
   95   6.6660331531871839E-04
   96   5.7130129434368872E-04
   97   5.6019010030954964E-04
   98   5.5411670120008812E-04
   99   4.7893640594275972E-04
  100   5.1594342909323419E-04
  101   5.3642619032173320E-04
  102   4.5424587801525299E-04
  103   5.5643217307227812E-04
  104   5.0541536218134508E-04
  105   4.7128821682908533E-04
  106   5.0903844890146305E-04
  107   3.6064973273105080E-04
  108   4.7605234600249730E-04
  109   5.0089639471830266E-04
  110   4.5030922237931681E-04
  111   4.4152941413122006E-04
  112   3.5735853623665420E-04
  113   4.5714315345067249E-04
  114   4.6759083095195177E-04
  115   3.8472189813903003E-04
  116   3.9455709947096312E-04
  117   3.6872086835074071E-04
  118   4.1323758734378694E-04
  119   4.3739365080348430E-04
  120   3.3337798476841183E-04
  121   3.6450686754078813E-04
  122   3.8025894289646568E-04
  123   3.8152468256042577E-04
  124   3.2484896404198332E-04
  125   3.7341153219615377E-04
  126   2.7994367201766656E-04
  127   3.3601546274205393E-04
  128   9.8739426814593194E-05
