#  kx              |phi(kx)|^2
    0   2.3992762750562555E-31
    1   8.5742029173460199E-01
    2   3.2904938741711526E-01
    3   1.2572153285292681E-01
    4   4.5031612840779042E-02
    5   1.6826176991445632E-02
    6   2.6291556198480759E-03
    7   2.0066955011267826E-03
    8   1.4554994580287673E-03
    9   4.4470309735611949E-04
   10   1.2096512878763873E-04
   11   4.2170716383584748E-05
   12   2.9940127627438774E-06
   13   5.5929690118010704E-06
   14   1.9913152422671321E-06
   15   9.0857365134038104E-07
   16   2.9843106216787044E-07
   17   1.4789222102453915E-07
   18   2.4135441488709187E-08
   19   2.0110447820393374E-08
   20   8.8050510615846751E-09
   21   2.5140040519666102E-09
   22   1.0277766824036982E-09
   23   2.3045423026538548E-10
   24   1.2733713753207449E-10
   25   5.0386516648954473E-11
   26   7.7282666983438502E-12
   27   3.3581702071446790E-12
   28   1.0772051077503578E-12
   29   5.1668694515936687E-13
   30   2.5748105716863560E-13
   31   9.9796458485807147E-14
   32   3.6468856762529207E-14
   33   4.3456592322968914E-15
   34   5.6106069884295495E-15
   35   2.4689846393301487E-15
   36   1.2658352130833497E-16
   37   2.9467449632936423E-16
   38   1.0856447356424156E-16
   39   3.0557064267682508E-17
   40   4.5788431289388848E-18
   41   2.5962431356797326E-18
   42   3.5354511378612042E-19
   43   5.3216648602080922E-19
   44   2.4195992375986203E-19
   45   1.2853125995404243E-20
   46   2.9814187211753195E-20
   47   1.5533065271242731E-20
   48   3.9661173208412659E-21
   49   1.3082030732448557E-21
   50   1.7890798346959399E-22
   51   2.9224689332564827E-22
   52   7.5367578085792275E-23
   53   2.3339008060469627E-23
   54   1.3595270516736346E-23
   55   5.2576877250030797E-25
   56   1.0348638253620285E-24
   57   3.3908909594460474E-25
   58   2.5428677042914018E-25
   59   7.5607496657525345E-26
   60   8.2799929726083176E-27
   61   1.3834297469963569E-26
   62   1.3670487132572889E-27
   63   1.1041552017161312E-27
   64   3.9388606994021477E-31
