#  kx   kyz         |phi(kx, kyz)|^2
    0     0   1.6166242313439550E-07
    1     0   1.4847353508331222E-06
    2     0   9.0364632857088026E-08
    3     0   1.7995259442580058E-06
    4     0   1.5159073770252191E-06
    5     0   6.4654260739953025E-07
    6     0   5.0343569376169587E-07
    7     0   1.3053564137363666E-07
    8     0   4.9961862506429118E-08
    9     0   1.8015967909324720E-07
   10     0   1.2164994563087470E-08
   11     0   9.0998617551230004E-08
   12     0   1.0291019701417771E-09
   13     0   3.1562202738030540E-08
   14     0   8.7972209171392210E-10
   15     0   1.1594408367140534E-08
   16     0   5.6721656577784189E-11
   17     0   2.2728948356365069E-08
   18     0   3.5094037167948919E-11
   19     0   4.9904869263811233E-09
   20     0   1.3828006692180849E-09
   21     0   1.0222875617947258E-08
   22     0   1.6359544118565059E-09
   23     0   1.5767614378687895E-09
   24     0   4.6920674641589530E-09
   25     0   6.7828222603504256E-10
   26     0   1.2289942449741708E-09
   27     0   2.2764751291091931E-09
   28     0   1.3440347539518581E-09
   29     0   1.7740185660382049E-09
   30     0   1.8268022820145074E-09
   31     0   1.7987164836721813E-09
   32     0   3.5161497631563373E-10
   33     0   2.2743024420122968E-09
   34     0   5.8469213198736165E-10
   35     0   1.0783333442887817E-09
   36     0   8.8043012762496138E-10
   37     0   6.2725445480607554E-10
   38     0   9.1832757290424840E-10
   39     0   1.3106735437901224E-09
   40     0   1.0128410725848337E-09
   41     0   8.5019150427891380E-10
   42     0   6.2985876415717421E-10
   43     0   4.5043186500155288E-10
   44     0   1.7813999860941109E-09
   45     0   8.5767512544520978E-10
   46     0   9.8919259023105919E-10
   47     0   6.3905738149118473E-10
   48     0   6.5918218653410995E-10
   49     0   1.2966544309751874E-09
   50     0   1.1392748115815024E-09
   51     0   7.0428778010893864E-10
   52     0   2.4302163034946212E-10
   53     0   8.2025621064242836E-10
   54     0   1.4181612009433291E-09
   55     0   4.1100035309552418E-10
   56     0   1.0007734196858639E-09
   57     0   9.4160897827042099E-10
   58     0   1.1909784650841816E-09
   59     0   2.0623142634183860E-09
   60     0   9.8958381511349615E-10
   61     0   9.4471134759904660E-10
   62     0   2.7450424974412558E-10
   63     0   1.5356359852123806E-09
   64     0   8.5804691655660084E-10

    0     1   5.6600300313054139E-03
    1     1   7.0122073060881007E-01
    2     1   2.5251047840212126E-01
    3     1   1.1388356301409498E-01
    4     1   3.8585619372940562E-02
    5     1   9.2584189589387349E-03
    6     1   5.0604021585163956E-03
    7     1   1.1858614220121595E-03
    8     1   1.8224974512716929E-03
    9     1   3.0976981993894172E-04
   10     1   3.4319721932119028E-04
   11     1   1.1482178798518427E-04
   12     1   2.5649879270807528E-05
   13     1   1.8066586055493844E-05
   14     1   1.2365982458273839E-05
   15     1   6.2769557446517298E-06
   16     1   1.4089398287948776E-05
   17     1   2.7918089315567005E-06
   18     1   3.5441388078884901E-06
   19     1   3.6307620259427547E-06
   20     1   3.9531000293129409E-06
   21     1   2.7925833430624657E-06
   22     1   4.3301327167904570E-06
   23     1   3.6171137941940082E-06
   24     1   3.7588423023132851E-06
   25     1   3.7600900906588392E-06
   26     1   3.8666785939387136E-06
   27     1   3.8294235009429207E-06
   28     1   3.6336151264604114E-06
   29     1   3.5749833922213818E-06
   30     1   3.9065848273416814E-06
   31     1   3.9390244604160153E-06
   32     1   3.8387466597296479E-06
   33     1   3.6864948982411093E-06
   34     1   3.5638294023864908E-06
   35     1   3.5178966992856989E-06
   36     1   3.5946929796349170E-06
   37     1   3.7409694615635335E-06
   38     1   3.7632241416947246E-06
   39     1   3.8582945186821552E-06
   40     1   3.5072456922013183E-06
   41     1   3.6820329994253541E-06
   42     1   3.6160910043772659E-06
   43     1   3.6863425845987418E-06
   44     1   3.7380039724191530E-06
   45     1   3.7342880132268113E-06
   46     1   3.4926284466445204E-06
   47     1   3.5690810848024454E-06
   48     1   3.6463165753497007E-06
   49     1   3.7477707461794172E-06
   50     1   3.4827916233968584E-06
   51     1   3.6398718952721778E-06
   52     1   3.5418423545844860E-06
   53     1   3.7834285749812150E-06
   54     1   3.4985178731029822E-06
   55     1   3.5840502187781634E-06
   56     1   3.7745933015661060E-06
   57     1   3.7972826525256790E-06
   58     1   3.5589795626491029E-06
   59     1   3.4883567997467595E-06
   60     1   3.6166392241424923E-06
   61     1   3.7371110063846911E-06
   62     1   3.7442681921859226E-06
   63     1   3.7003856114030134E-06
   64     1   3.4956461624145989E-06

    0     2   8.1686552882348452E-04
    1     2   7.2776356573960241E-02
    2     2   4.8421862045726342E-02
    3     2   9.6941969018811396E-03
    4     2   6.7740194389902921E-03
    5     2   4.7776864884832744E-03
    6     2   5.6375893651265272E-04
    7     2   5.9315000047293254E-04
    8     2   4.3173581822536082E-04
    9     2   1.2267781009144674E-04
   10     2   6.5903511207609890E-06
   11     2   3.1843611965623982E-05
   12     2   4.7708732384406952E-06
   13     2   5.3953471984620160E-06
   14     2   1.2854430631230693E-06
   15     2   3.5409987861393870E-07
   16     2   1.8253967311914654E-07
   17     2   4.1073141395834532E-07
   18     2   1.1525312125858114E-07
   19     2   9.0087813197333149E-08
   20     2   9.8492346504181066E-08
   21     2   3.9261866404998899E-08
   22     2   3.0602791561041917E-08
   23     2   5.1024915371650050E-08
   24     2   3.5834105056052034E-08
   25     2   2.7840158342937201E-08
   26     2   2.9736663433073667E-08
   27     2   3.1741577664326572E-08
   28     2   2.7418616679470619E-08
   29     2   2.6998898270555210E-08
   30     2   3.6905209324796844E-08
   31     2   3.3867933593285968E-08
   32     2   2.3647029384871637E-08
   33     2   2.1391569016047991E-08
   34     2   2.5940355555516460E-08
   35     2   3.5550120669398640E-08
   36     2   2.6672344569504994E-08
   37     2   1.6354120833445970E-08
   38     2   2.9738911390463680E-08
   39     2   2.3231637238023619E-08
   40     2   3.0295899725005523E-08
   41     2   2.3346904197689592E-08
   42     2   2.8547223695744580E-08
   43     2   2.2818909741614315E-08
   44     2   2.6795888228471929E-08
   45     2   2.5734391808701569E-08
   46     2   2.5864600285318686E-08
   47     2   1.8776350839537680E-08
   48     2   2.8933871380338163E-08
   49     2   2.7395164503474393E-08
   50     2   2.3175306575154885E-08
   51     2   1.7088892127961026E-08
   52     2   3.7014367691521878E-08
   53     2   2.4632255857259044E-08
   54     2   2.3993291695405899E-08
   55     2   1.5833486282140990E-08
   56     2   2.9151415379687946E-08
   57     2   3.5737104470376332E-08
   58     2   2.5618593240365536E-08
   59     2   1.9539371036644127E-08
   60     2   2.2911416049720400E-08
   61     2   3.9912648026288073E-08
   62     2   2.4824821051638829E-08
   63     2   2.0823862083118692E-08
   64     2   3.0994733203880796E-08

    0     3   1.4766601796681361E-03
    1     3   3.7762793403471578E-02
    2     3   7.9717740427437019E-03
    3     3   1.4343971054932111E-02
    4     3   9.4583591730545990E-04
    5     3   1.2312185442921394E-03
    6     3   7.8192528369947802E-04
    7     3   2.1015786312561253E-04
