#  kx   kyz         |phi(kx, kyz)|^2
    0     0   4.2865536788355275E-32
    1     0   1.1459569596737668E-32
    2     0   1.7654712537458431E-32
    3     0   2.7332612223859475E-33
    4     0   6.5714403768870245E-33
    5     0   6.8652860129049384E-34
    6     0   4.7950860780442102E-33
    7     0   2.4095729572098635E-34
    8     0   1.3185180601079289E-33
    9     0   2.7237071513790876E-33
   10     0   4.6489225186504516E-33
   11     0   2.8727995459848265E-33
   12     0   4.1017170289418963E-33
   13     0   7.0890687879489046E-35
   14     0   4.8883199756779818E-33
   15     0   2.2177602532516850E-33
   16     0   5.0792529972090598E-33
   17     0   1.8933386797752244E-33
   18     0   4.7663685253017529E-33
   19     0   4.6369019010524648E-34
   20     0   6.1581167218625898E-34
   21     0   4.7250854958306902E-33
   22     0   1.1591416605441528E-33
   23     0   2.3522992162232538E-33
   24     0   4.0487083368857243E-33
   25     0   8.4190590095509461E-34
   26     0   5.8808559208235007E-33
   27     0   5.5775120396254636E-33
   28     0   3.7745821370730646E-34
   29     0   2.1565162263265768E-33
   30     0   4.3700750328549611E-33
   31     0   2.8068765340056951E-34
   32     0   1.7938452184518219E-33
   33     0   2.5650403001263903E-33
   34     0   1.0130070149728861E-33
   35     0   2.7586229953549461E-33
   36     0   4.1462338830405671E-34
   37     0   1.5483255445873627E-33
   38     0   2.0529005039056389E-34
   39     0   1.8064710082302005E-33
   40     0   2.9124514889647392E-33
   41     0   1.3760758413945182E-33
   42     0   1.2799823646492921E-33
   43     0   1.0195796653463172E-32
   44     0   3.7094885189664426E-33
   45     0   1.5552924966737083E-33
   46     0   1.2761631228314816E-33
   47     0   2.8088040020315881E-34
   48     0   1.1306737493239282E-33
   49     0   1.5353806633701672E-33
   50     0   1.8014046923769480E-33
   51     0   2.4811064601857932E-34
   52     0   4.8062963097535672E-34
   53     0   2.2886286760034430E-33
   54     0   1.9994241644684950E-33
   55     0   3.2913616024924403E-33
   56     0   3.8231780938824417E-33
   57     0   2.6180309988688993E-33
   58     0   8.2605718020756460E-33
   59     0   7.9336633814632139E-34
   60     0   3.0992831045657160E-33
   61     0   2.2359576819557935E-34
   62     0   1.6202846246251359E-33
   63     0   7.3617020247877193E-35
   64     0   1.3144544466782986E-33

    0     1   2.5318422518531596E-33
    1     1   7.1004277186639220E-01
    2     1   2.5541681109199305E-01
    3     1   1.0635515329508573E-01
    4     1   3.7254890705610409E-02
    5     1   1.4037401837236169E-02
    6     1   1.8006138573618616E-03
    7     1   1.7374220135458502E-03
    8     1   1.3147232452666981E-03
    9     1   4.0770005726269707E-04
   10     1   9.4311369544846681E-05
   11     1   3.6984091211539220E-05
   12     1   3.3701526755951002E-07
   13     1   4.5554900825679992E-06
   14     1   1.5313108773190725E-06
   15     1   7.6654116976529579E-07
   16     1   2.5123630053865566E-07
   17     1   1.2868298266377250E-07
   18     1   1.5523248333774738E-08
   19     1   1.7370403090099542E-08
   20     1   7.9777316148699008E-09
   21     1   2.1132245354432178E-09
   22     1   9.9096663078124874E-10
   23     1   1.7669584076538717E-10
   24     1   1.0569512243391496E-10
   25     1   4.4601604237303863E-11
   26     1   4.5053132386965864E-12
   27     1   2.7943580490899837E-12
   28     1   9.5660758204582380E-13
   29     1   4.6149203572333565E-13
   30     1   2.2992035534882777E-13
   31     1   8.7234439742364106E-14
   32     1   2.7947798978363374E-14
   33     1   2.8544647022784872E-15
   34     1   4.8020054385545940E-15
   35     1   2.1920411636779900E-15
   36     1   7.0297214121970337E-17
   37     1   2.5120408074373715E-16
   38     1   9.4572494125723142E-17
   39     1   2.8089014052050628E-17
   40     1   2.3081248103403608E-18
   41     1   2.1627795020351812E-18
   42     1   1.5215288974574148E-19
   43     1   4.7033851336592386E-19
   44     1   2.1278931714261760E-19
   45     1   6.7128476873878994E-22
   46     1   2.5586714386868171E-20
   47     1   1.3985529941570392E-20
   48     1   3.6929782299087447E-21
   49     1   1.1729175429965735E-21
   50     1   1.2137034029803795E-22
   51     1   2.4685429667118325E-22
   52     1   6.4306340074451093E-23
   53     1   1.8271787645336861E-23
   54     1   1.2107073179087043E-23
   55     1   8.8755291470834277E-26
   56     1   9.7238232300912496E-25
   57     1   2.6407297472052186E-25
   58     1   2.2990226095870456E-25
   59     1   6.9510284431263836E-26
   60     1   3.7531937625629404E-27
   61     1   1.1925662042816251E-26
   62     1   9.7062681737721108E-28
   63     1   8.4375422150500356E-28
   64     1   7.8126245823168707E-33

    0     2   2.8939852739626154E-33
    1     2   7.0336258800988705E-02
    2     2   5.1921538632131253E-02
    3     2   1.6224513570955307E-02
    4     2   5.6268894720330372E-03
    5     2   1.6502512143752647E-03
    6     2   4.4461947805891975E-04
    7     2   1.9953167134708027E-04
    8     2   7.9909014600075459E-05
    9     2   7.4524036385317341E-06
   10     2   2.2147345074954569E-05
   11     2   2.8730054714725621E-06
   12     2   2.0388964421006534E-06
   13     2   5.2880969139642479E-07
   14     2   3.5386212244449286E-07
   15     2   8.4934430693043121E-08
   16     2   2.8468319574525941E-08
   17     2   1.1009023063751814E-08
   18     2   6.6418071570332320E-09
   19     2   1.6549408193477317E-09
   20     2   5.4998330583064002E-10
   21     2   2.6007452873527810E-10
   22     2   1.5091265133158110E-11
   23     2   3.8643799802229489E-11
   24     2   1.7420282681507400E-11
   25     2   3.6766591788131154E-12
   26     2   2.5403066368167579E-12
   27     2   2.6364229951511206E-13
   28     2   5.8183375908116999E-14
   29     2   2.9625524546049418E-14
   30     2   5.7983198711442522E-15
   31     2   8.3348767837143500E-15
   32     2   5.9812303724897889E-15
   33     2   8.3219953150953265E-16
   34     2   6.2093756901424290E-16
   35     2   2.0075760244193246E-16
   36     2   2.6091122659784911E-17
   37     2   2.5752980598611653E-17
   38     2   9.2335252033227442E-18
   39     2   2.3469760115728835E-19
   40     2   1.8731946024697392E-18
   41     2   1.5882096345776353E-19
   42     2   1.4591098187197587E-19
   43     2   4.4045289027166132E-20
   44     2   1.9130701694647559E-20
   45     2   1.0176729840772694E-20
   46     2   2.5438381180150544E-21
   47     2   7.5792152013257430E-22
   48     2   8.8757028518781154E-23
   49     2   4.2125982888184162E-23
   50     2   3.4358522637661280E-23
   51     2   2.9531573958877227E-23
   52     2   6.8987701998219111E-24
   53     2   3.8636733464804759E-24
   54     2   9.1325999916273887E-25
   55     2   1.7724986323609236E-25
   56     2   2.8446058667273615E-27
   57     2   4.5554355669074107E-26
   58     2   1.5795544467304644E-26
   59     2   2.8751547072965665E-27
   60     2   3.5214021473268929E-27
   61     2   1.4321006856399010E-27
   62     2   1.7379072105893906E-28
   63     2   1.8348686942361035E-28
   64     2   7.9239981799312962E-33

    0     3   5.2753074984073765E-35
    1     3   5.3973404647321782E-02
