# kyz             |phi(kyz)|^2
    0   2.2373178791038826E-31
    1   1.1285063980188308E+00
    2   1.4651903977325523E-01
    3   6.5910093216097254E-02
    4   8.9412548510997506E-03
    5   9.9383845928163132E-03
    6   4.9021360081585386E-03
    7   4.3460311709013384E-03
    8   3.5129035037089681E-03
    9   1.9956791694397645E-03
   10   8.7756553282062417E-04
   11   8.0288986772593537E-04
   12   6.6922315662398444E-04
   13   5.8662869284654756E-04
   14   6.4773130752282331E-04
   15   1.2784478138124975E-04
   16   2.7095509109285258E-04
   17   2.4735123474154980E-04
   18   2.3906470159467132E-04
   19   2.1619848046855708E-04
   20   2.0941426533844384E-04
   21   1.4347070537109815E-04
   22   1.8528286364666115E-04
   23   1.0062423203439463E-04
   24   2.8526576745593278E-05
   25   1.2915361765118930E-04
   26   6.7994272340419706E-05
   27   4.5119332173986010E-05
   28   4.2839485996439497E-05
   29   6.7103957471822934E-05
   30   1.3516878144013520E-05
   31   3.8046602380902037E-05
   32   2.5891434173038037E-05
   33   2.0684788657270367E-05
   34   2.1956057647553653E-05
   35   1.1903742582378671E-05
   36   1.1537712501935971E-05
   37   2.3049020587930706E-05
   38   3.3614111086384910E-05
   39   2.2471194276471940E-05
   40   2.3412490048033825E-05
   41   2.8710617482991169E-05
   42   2.0955570192522035E-05
   43   1.7987705689180532E-05
   44   1.3432740700656351E-05
   45   2.0771184323440041E-05
   46   1.2823410769539730E-05
   47   1.2911140906293883E-05
   48   6.2144552957679511E-06
   49   4.7886144118679056E-06
   50   7.0436901129433073E-06
   51   4.7410300549837178E-06
   52   1.0451037773517045E-05
   53   5.8260700723705243E-06
   54   9.6404100604536367E-06
   55   9.6412999827654074E-06
   56   6.5852127601990635E-06
   57   5.4286047654328112E-06
   58   4.8712160937835231E-06
   59   8.5982619384977116E-06
   60   6.0435022039601274E-06
   61   5.9384584954113843E-06
   62   7.8756488372353418E-06
   63   5.9151914301151408E-06
   64   4.0342335571670365E-31
