#   k               |phi(k)|^2
    0   4.2865536788355275E-32
    1   7.1004277186639220E-01
    2   3.7767460852511303E-01
    3   1.8667061285046055E-01
    4   5.0438994481535923E-02
    5   2.7554447658453118E-02
    6   7.7074910707893461E-03
    7   6.7337527181309123E-03
    8   5.0801222057188199E-03
    9   2.4397300585369095E-03
   10   1.0239633744030506E-03
   11   8.5182527964641861E-04
   12   6.7605179397594564E-04
   13   6.0644087044446073E-04
   14   6.4925652832700678E-04
   15   1.2900684158808238E-04
   16   2.7328437373034381E-04
   17   2.4842138741357922E-04
   18   2.3988475227220123E-04
   19   2.1622823345512362E-04
   20   2.0950575611723419E-04
   21   1.4370397295877571E-04
   22   1.8498573792122519E-04
   23   1.0090411341253037E-04
   24   2.8538838912801826E-05
   25   1.2921563420988542E-04
   26   6.8029478730081207E-05
   27   4.5144156966095036E-05
   28   4.2815642174308788E-05
   29   6.7114148048629191E-05
   30   1.3514538231865740E-05
   31   3.8072073148005215E-05
   32   2.5900544264186673E-05
   33   2.0695606483020950E-05
   34   2.1949673733451261E-05
   35   1.1910828885707199E-05
   36   1.1535039885331554E-05
   37   2.3049294607191723E-05
   38   3.3612613559546597E-05
   39   2.2478074725320685E-05
   40   2.3411625545240654E-05
   41   2.8713728974143589E-05
   42   2.0954829789177979E-05
   43   1.7987230352634769E-05
   44   1.3433874697514447E-05
   45   2.0769934055621254E-05
   46   1.2824673358902988E-05
   47   1.2911055510216439E-05
   48   6.2143008719515333E-06
   49   4.7885255315779843E-06
   50   7.0447303536357151E-06
   51   4.7412515082740851E-06
   52   1.0451076385197374E-05
   53   5.8257686092233449E-06
   54   9.6404214260883494E-06
   55   9.6413347286813958E-06
   56   6.5852463293781577E-06
   57   5.4287814448886871E-06
   58   4.8712035502519953E-06
   59   8.5981001280262465E-06
   60   6.0436616532127365E-06
   61   5.9386405849152615E-06
   62   7.8756676915337574E-06
   63   5.9151770985439970E-06
   64   8.7303422639979374E-11
