# kyz             |phi(kyz)|^2
    0   4.2096667077479475E-05
    1   6.2919416707658760E-01
    2   1.8085886114062097E-01
    3   2.0230375729155037E-01
    4   7.5089710793914549E-02
    5   6.0103456769051433E-02
    6   6.3616948047208299E-02
    7   4.1635520917913851E-02
    8   4.7538780084802126E-02
    9   3.3417197416366173E-02
   10   2.3724587490155755E-02
   11   2.0807623626399853E-02
   12   1.6384054029017551E-02
   13   1.3574530368140542E-02
   14   1.5956196782018130E-02
   15   7.0110944033087994E-03
   16   7.9902457584129817E-03
   17   9.2208240552733335E-03
   18   9.9921247539464849E-03
   19   7.3410305747365198E-03
   20   6.4823146272127248E-03
   21   4.9472953748888535E-03
   22   7.7995055878465587E-03
   23   5.5949522868190098E-03
   24   2.9936833540210712E-03
   25   4.2487158896111522E-03
   26   3.2385450734662498E-03
   27   2.6519392834762614E-03
   28   2.9450074163693200E-03
   29   2.7073564510982774E-03
   30   1.6558290669265575E-03
   31   2.0021575520753256E-03
   32   2.0384635358462674E-03
   33   2.3275742568413154E-03
   34   1.4226480502802952E-03
   35   1.2248451041252651E-03
   36   1.4951472699910619E-03
   37   1.4314564806394777E-03
   38   1.8751764069750399E-03
   39   1.2957946924499987E-03
   40   1.5556904156462117E-03
   41   1.2694400981880043E-03
   42   1.0779748509510785E-03
   43   1.1904266222610036E-03
   44   9.8056255704879395E-04
   45   8.8135279190458299E-04
   46   9.2772545106911295E-04
   47   6.1292570723376109E-04
   48   7.0533307518449062E-04
   49   5.8201096580168764E-04
   50   7.9066945769368582E-04
   51   4.5684389331209196E-04
   52   6.3196501590421540E-04
   53   4.7588250532922493E-04
   54   4.6894142761918904E-04
   55   5.3140000596354651E-04
   56   5.1168461582767194E-04
   57   4.2193254143772747E-04
   58   4.2612591102348502E-04
   59   3.9682589576257871E-04
   60   4.1442042610827473E-04
   61   3.5767525966244363E-04
   62   4.0606305394613095E-04
   63   3.4697257059087557E-04
   64   6.2202559972946537E-05
