# kyz             |phi(kyz)|^2
    0   9.4999615621184377E-05
    1   1.9001235471862425E-04
    2   1.9004593724308397E-04
    3   1.9008285610861152E-04
    4   1.9009536988190032E-04
    5   1.2236046940638702E-01
    6   3.8847352809021594E-02
    7   5.3586429740695996E-02
    8   3.9755797729201674E-02
    9   1.8085646068138811E-02
   10   2.3028156179705352E-02
   11   1.7628898989026483E-02
   12   9.2859366603702011E-03
   13   1.5952451102931326E-02
   14   1.1315872599420211E-02
   15   9.2554785373092762E-03
   16   6.9238133955189674E-03
   17   8.7443596530576984E-03
   18   1.1242724473604202E-02
   19   6.9104791414325165E-03
   20   7.5347589643052987E-03
   21   5.7604640595391209E-03
   22   3.4931819230281077E-03
   23   5.8533926154287650E-03
   24   4.7509140427257719E-03
   25   4.9742531660518334E-03
   26   3.8844003443350788E-03
   27   2.6515251089412259E-03
   28   2.4969975031863662E-03
   29   3.0053225166186402E-03
   30   2.2387603751866420E-03
   31   2.3932747669922877E-03
   32   1.4944880895618735E-03
   33   2.4232332248008172E-03
   34   1.9205204600191872E-03
   35   2.2497821488839669E-03
   36   1.3307921018084333E-03
   37   2.0365695392869504E-03
   38   1.4226191155163332E-03
   39   1.2329349483882941E-03
   40   1.2502269451678254E-03
   41   1.2644134065509147E-03
   42   7.6857757025283865E-04
   43   8.7195401357981173E-04
   44   7.8003907113504333E-04
   45   9.4136278139143469E-04
   46   1.0148944867079846E-03
   47   6.7408225169561899E-04
   48   8.1823621883609136E-04
   49   6.6813343371640893E-04
   50   5.3831574404449543E-04
   51   6.6128420709651056E-04
   52   6.1964592265769324E-04
   53   4.2200871373326290E-04
   54   5.5976636815867765E-04
   55   4.4339200050497581E-04
   56   4.9568799449832795E-04
   57   4.7504827137857564E-04
   58   4.0206172481263808E-04
   59   3.9336551070399142E-04
   60   3.3641210251401932E-04
   61   3.4122915132036040E-04
   62   3.9676162308504285E-04
   63   3.4967502917034754E-04
   64   3.8012984747207431E-05
