#   k               |phi(k)|^2
    0   1.9341761144805574E-33
    1   2.3076001863137747E-31
    2   1.0908033598592209E-31
    3   1.1332555832201576E-31
    4   1.6260362835471727E-31
    5   1.1834149184577489E-01
    6   3.4979602448907521E-02
    7   5.5191273413215447E-02
    8   4.5067014867216794E-02
    9   1.9902921061476762E-02
   10   2.2623028166684871E-02
   11   1.9108426096271322E-02
   12   1.3212477578714464E-02
   13   1.8942617435985361E-02
   14   1.2388120938337894E-02
   15   1.1436878222554844E-02
   16   8.2309150830086192E-03
   17   1.0408401782511527E-02
   18   1.4009393228856290E-02
   19   7.5104977949602587E-03
   20   8.5458143331450936E-03
   21   7.2483883710088882E-03
   22   4.8559072815287279E-03
   23   7.2062797366649776E-03
   24   5.6737790145940537E-03
   25   6.5896925972022263E-03
   26   5.6648463025719756E-03
   27   3.4764958836683772E-03
   28   3.5258262953015997E-03
   29   4.1628039428623287E-03
   30   3.7833078218401355E-03
   31   3.1832934922873856E-03
   32   2.6666923057281906E-03
   33   3.6709916131857923E-03
   34   3.1464437638712016E-03
   35   3.2025053308469592E-03
   36   2.7439031982303013E-03
   37   2.8250934858835347E-03
   38   2.7516839844346935E-03
   39   2.6625414805650921E-03
   40   2.5400403636917980E-03
   41   2.2254814229010966E-03
   42   1.9121335890664010E-03
   43   1.9118334709147169E-03
   44   1.5692282794845420E-03
   45   2.2348751297550551E-03
   46   1.6658485573190767E-03
   47   1.7487577395818707E-03
   48   1.8667407749163470E-03
   49   1.9135027311558606E-03
   50   1.8113579029582333E-03
   51   1.7539248728749455E-03
   52   1.7648433057245261E-03
   53   1.3296067398132036E-03
   54   1.9220621944208047E-03
   55   1.4171411272227087E-03
   56   1.2862065114173399E-03
   57   1.1828435950229079E-03
   58   1.1923210699430308E-03
   59   1.1943004373391236E-03
   60   1.1660762578139905E-03
   61   1.1470818847415856E-03
   62   1.1849826252104292E-03
   63   1.0328845861851911E-03
   64   2.9489052233103597E-04
