#  kx   kyz         |phi(kx, kyz)|^2
    0     0   7.0268921260342290E-05
    1     0   2.0657796265236177E-04
    2     0   2.3451645750611934E-06
    3     0   5.4299408781210971E-05
    4     0   2.6835674052691608E-04
    5     0   1.5561020888598599E-04
    6     0   3.1284056568571558E-05
    7     0   2.8159046108832184E-04
    8     0   1.6704687671675837E-04
    9     0   1.8398351865893205E-04
   10     0   4.2235087983206110E-04
   11     0   8.5418977866929995E-05
   12     0   1.3344864942945015E-04
   13     0   3.8952938410239014E-04
   14     0   5.3084565351864155E-05
   15     0   5.3473946392528665E-04
   16     0   5.5696015033337183E-06
   17     0   5.6113857837904176E-05
   18     0   4.6637984919541912E-04
   19     0   4.6852386553554589E-04
   20     0   3.8393251958936082E-04
   21     0   4.0308461348339592E-04
   22     0   3.3567716499920889E-04
   23     0   6.8630252412157783E-05
   24     0   9.9398367970350871E-05
   25     0   5.2862502044227050E-04
   26     0   1.0189387129522534E-04
   27     0   1.2532934225527762E-04
   28     0   1.6516971256567110E-04
   29     0   3.9760393593767860E-04
   30     0   4.8504421017124248E-05
   31     0   1.7889502902518632E-04
   32     0   9.4493013144526813E-05
   33     0   2.5385087359713730E-04
   34     0   3.6286464366139416E-04
   35     0   2.9435298216144452E-05
   36     0   2.0195841409896711E-04
   37     0   2.6834640349320336E-05
   38     0   3.1626009051045933E-04
   39     0   2.0136917603167642E-04
   40     0   2.1282078791410021E-04
   41     0   2.7129233837387543E-04
   42     0   4.9455527703913627E-05
   43     0   1.6068165085280319E-04
   44     0   4.1357649507343149E-04
   45     0   7.6555542851122725E-05
   46     0   7.3943377000093356E-06
   47     0   4.1458126688832421E-05
   48     0   9.8794521563303373E-05
   49     0   4.2216272565567039E-04
   50     0   5.0438967995015515E-04
   51     0   1.2679405884693877E-05
   52     0   6.3483296926284599E-06
   53     0   6.0990495959142445E-05
   54     0   1.2148074204433540E-05
   55     0   2.0052642412003721E-04
   56     0   4.0608409094284512E-05
   57     0   9.2776246173782050E-06
   58     0   2.2918781032948609E-05
   59     0   5.9948977197491941E-05
   60     0   3.7352614795522438E-05
   61     0   1.3256335776056741E-04
   62     0   4.8172491491797143E-05
   63     0   7.4263762804272892E-04
   64     0   3.0262788646882502E-04

    0     1   5.5903681261695523E-03
    1     1   3.0940444838753445E-01
    2     1   1.7610973072813620E+00
    3     1   5.5414793041943078E-01
    4     1   1.6331004247070088E-01
    5     1   1.1754273424045697E-01
    6     1   5.3969409494506862E-02
    7     1   1.4299386407194775E-02
    8     1   1.1344991242595855E-02
    9     1   1.1648756746024789E-02
   10     1   1.4778857194004869E-02
   11     1   1.7583233190165792E-03
   12     1   8.2633972953361085E-03
   13     1   5.1107932360184381E-03
   14     1   6.0621406908906482E-03
   15     1   3.4710158896487210E-03
   16     1   7.9341633753151793E-03
   17     1   3.1345801021957528E-03
   18     1   1.7417005734989654E-03
   19     1   5.3090936207415874E-03
   20     1   2.0259035597534046E-03
   21     1   2.8012340437016010E-03
   22     1   2.6213551335475590E-03
   23     1   2.2265370980088812E-03
   24     1   1.5420483693487160E-03
   25     1   1.9135577852193279E-03
   26     1   5.6025246818477850E-04
   27     1   2.2680467020656731E-03
   28     1   4.7092052636748605E-04
   29     1   2.5510715986273441E-03
   30     1   9.0759673103212111E-04
   31     1   1.7121379600906726E-03
   32     1   4.0071720923685037E-04
   33     1   7.6393108906473977E-04
   34     1   5.0176905711934419E-04
   35     1   1.9685357911181146E-03
   36     1   2.0335088529253208E-04
   37     1   1.3663657249882551E-04
   38     1   1.0890329245939676E-03
   39     1   2.0435264244851210E-03
   40     1   1.1588821489852922E-03
   41     1   5.5428272942884558E-04
