# kyz             |phi(kyz)|^2
    0   9.9515826535246064E-03
    1   2.9635970457534326E+00
    2   8.6884589314533356E-01
    3   8.6563983375676512E-01
    4   1.1408624037540991E+00
    5   5.8369241172996367E-01
    6   1.2807878262456865E-01
    7   2.2099905854171786E-01
    8   8.8894300035295928E-02
    9   1.2565087751649301E-01
   10   1.0523339180768891E-01
   11   3.3809742092510836E-02
   12   5.6474044369536527E-02
   13   1.4311358491754069E-02
   14   2.8811144602259694E-02
   15   1.0379791948515758E-02
   16   4.5311419602765142E-02
   17   3.5864117321366816E-02
   18   9.4719255881482618E-03
   19   6.5521839881422968E-03
   20   1.0357355880244390E-02
   21   6.8460781926343531E-03
   22   1.0260331126218233E-02
   23   8.7610475535043423E-03
   24   1.0036212875015384E-02
   25   7.0581670387722274E-03
   26   6.9161170549435639E-03
   27   1.0922895534132530E-02
   28   4.7449531801346664E-03
   29   3.1937868550324594E-03
   30   5.0249617864751885E-03
   31   7.7779278677747648E-03
   32   5.1470710704315976E-03
   33   4.0041680285264752E-03
   34   2.9474562404309241E-03
   35   5.5508172634241284E-03
   36   2.7919359687044011E-03
   37   2.1984829580390278E-03
   38   8.5223886757117241E-04
   39   2.1655205490246580E-03
   40   1.3259368345401770E-03
   41   3.3555600259161278E-03
   42   1.4674101036039563E-03
   43   1.2796600928522664E-03
   44   1.1919633794677646E-03
   45   1.2164948474466676E-03
   46   6.3712397162596064E-04
   47   3.9095368081576518E-04
   48   1.0758395660045359E-03
   49   7.0612045574867997E-04
   50   2.8678133222473227E-04
   51   3.2644648071122938E-04
   52   8.0598634749326189E-04
   53   9.3983427178487170E-04
   54   7.9660847123188693E-04
   55   3.4002296916733194E-04
   56   4.1104181565363926E-04
   57   6.1706410459881665E-04
   58   2.4553943946220287E-04
   59   6.3956956239752654E-04
   60   3.3648637304802101E-04
   61   4.5347972192307830E-04
   62   3.0948047530992401E-04
   63   1.7513290244847629E-04
   64   7.8754420360083736E-05
