# kyz             |phi(kyz)|^2
    0   1.2307715049586884E-02
    1   3.1026455761333795E+00
    2   8.8057915388514463E-01
    3   8.9941463365085517E-01
    4   1.1407488319875809E+00
    5   6.0484263882178368E-01
    6   1.3379403128043760E-01
    7   2.2484851379041318E-01
    8   9.5594663296332844E-02
    9   1.2637441362011129E-01
   10   1.0712377329315929E-01
   11   3.7011277500354912E-02
   12   6.3177031675310164E-02
   13   1.5452920439287124E-02
   14   2.8737511153990290E-02
   15   1.0898740674297750E-02
   16   5.0764528805657287E-02
   17   4.0393001817840835E-02
   18   1.2276919525672421E-02
   19   8.0044885031916573E-03
   20   1.2111116108547723E-02
   21   8.6651560684147273E-03
   22   1.1736330464877166E-02
   23   1.1139854221325164E-02
   24   1.2627216428226746E-02
   25   9.1819014021269230E-03
   26   8.8720836850151395E-03
   27   1.3912573725665570E-02
   28   6.6591132453883211E-03
   29   5.0837502203140688E-03
   30   8.0214788163517573E-03
   31   1.2514191860581881E-02
   32   9.1796951674685805E-03
   33   5.5375909946136009E-03
   34   3.9275475277444896E-03
   35   8.6937042025947882E-03
   36   4.5756665444323082E-03
   37   3.7375200827984446E-03
   38   1.3378872831832926E-03
   39   4.5089027996841231E-03
   40   2.4762674671314844E-03
   41   6.2916495526261270E-03
   42   3.4017128670276973E-03
   43   3.2026608160914882E-03
   44   2.5534842616600300E-03
   45   2.3962088125484174E-03
   46   1.5887905493408867E-03
   47   9.7696886947560907E-04
   48   2.9929000899623728E-03
   49   1.2304690001268752E-03
   50   5.0159736137711909E-04
   51   7.3494786002985290E-04
   52   2.2431078482087704E-03
   53   2.3051870274975409E-03
   54   1.7481194052999128E-03
   55   7.8726374059704524E-04
   56   1.1122652500521414E-03
   57   1.4672311460319539E-03
   58   5.4701863682456609E-04
   59   2.2123091212275388E-03
   60   1.0863092878209937E-03
   61   1.5412651187550735E-03
   62   8.0495141213480581E-04
   63   4.4594613893012182E-04
   64   1.6653585475763792E-04
