#   k               |phi(k)|^2
    0   7.0268921260342290E-05
    1   3.1520139447635637E-01
    2   2.2949406063515783E+00
    3   1.1896748352006197E+00
    4   1.6625097838560119E+00
    5   8.2242266873787662E-01
    6   2.0649372765110977E-01
    7   2.6252407742100048E-01
    8   1.2295425460714965E-01
    9   1.4704959393696601E-01
   10   1.3088999198594994E-01
   11   4.2754159804583747E-02
   12   7.9255974911228572E-02
   13   2.3682760811217389E-02
   14   3.8727450674748469E-02
   15   1.6818188040377300E-02
   16   5.9956519581345513E-02
   17   4.5602470785867301E-02
   18   1.8578094046565408E-02
   19   1.6213262646931983E-02
   20   1.7848625223090657E-02
   21   1.3876870675073417E-02
   22   1.5909823825890096E-02
   23   1.4738938351017835E-02
   24   1.5825929672126916E-02
   25   1.3233171171801117E-02
   26   1.1110451918379486E-02
   27   1.7461399735990892E-02
   28   8.0593009782806146E-03
   29   9.0004738582374205E-03
   30   9.7014552032996977E-03
   31   1.5720716205573367E-02
   32   1.0660945993587152E-02
   33   7.5187400990714944E-03
   34   6.3373522996150507E-03
   35   1.1436331120680075E-02
   36   6.2457483531820719E-03
   37   4.5275543600245220E-03
   38   3.4927258259424068E-03
   39   7.5696365285439684E-03
   40   4.6001927488691840E-03
   41   7.7731967366130895E-03
   42   5.6539254644347135E-03
   43   5.1518158391667210E-03
   44   4.8086667739872697E-03
   45   3.1415591981148001E-03
   46   2.5294049163721863E-03
   47   1.8235493748175035E-03
   48   4.3811119007728097E-03
   49   3.3827470010733742E-03
   50   2.9314207558373928E-03
   51   2.1186025777306453E-03
   52   3.6405935072817415E-03
   53   3.9561209685552712E-03
   54   2.7014014663660846E-03
   55   2.6103380245873064E-03
   56   2.2613124427255040E-03
   57   2.4358313953545289E-03
   58   1.9268616298061692E-03
   59   3.2623367571658849E-03
   60   2.3098138054221235E-03
   61   2.6789045704562510E-03
   62   1.8147225919323282E-03
   63   2.2551610725908182E-03
   64   1.9992385819901310E-03
