#  kx              |phi(kx)|^2
    0   6.5279141296413342E-03
    1   3.9376568694969111E-01
    2   2.8421492673450333E-01
    3   2.4488528605188983E-01
    4   7.7121216945094356E-02
    5   2.2745443699040691E-02
    6   4.5157175480716608E-03
    7   3.8664393854949816E-03
    8   1.1679743998366011E-03
    9   9.8193064987913054E-04
   10   5.1455681735071836E-04
   11   3.0073511312911035E-04
   12   1.8327897126423800E-04
   13   1.9872886230448407E-04
   14   9.2781421656833545E-05
   15   9.8921888942470656E-05
   16   4.5673718569713742E-05
   17   6.2752468269808805E-05
   18   2.7653774450604101E-05
   19   4.5981495000116640E-05
   20   2.2288980566108431E-05
   21   3.3771801277298912E-05
   22   1.5169756495380370E-05
   23   2.6800274735619590E-05
   24   1.2220993141648428E-05
   25   2.1636653097212315E-05
   26   8.9520869620976944E-06
   27   1.5088218903211955E-05
   28   6.2506545479748940E-06
   29   1.3081827607654973E-05
   30   5.2797586763503907E-06
   31   9.4436516616783300E-06
   32   4.0480617995900705E-06
   33   8.3335216851762537E-06
   34   3.5789547171374302E-06
   35   7.0702096716349847E-06
   36   3.0322720012196820E-06
   37   5.9731257825735584E-06
   38   2.6240515455521709E-06
   39   5.0830074678682795E-06
   40   2.1043146885794923E-06
   41   4.6363194724633765E-06
   42   1.9316176144311521E-06
   43   3.9259172688079851E-06
   44   1.6641688804386390E-06
   45   3.3501169963270260E-06
   46   1.3614758366994563E-06
   47   2.9201760361922289E-06
   48   1.1947273082968164E-06
   49   2.2248888276065327E-06
   50   9.6194599384192505E-07
   51   1.9104748468385433E-06
   52   8.2581389692969871E-07
   53   1.5159704557009738E-06
   54   7.1035546879518197E-07
   55   1.3154659927485965E-06
   56   6.1922318918580481E-07
   57   1.1333431165025802E-06
   58   5.6396474188084155E-07
   59   9.4870942516036611E-07
   60   4.9473847717649459E-07
   61   8.0501774445554947E-07
   62   4.4365494985176081E-07
   63   7.4034183910578761E-07
   64   4.4266813398497669E-07
   65   6.6945268539565830E-07
   66   3.8974451325366573E-07
   67   6.1675347158111188E-07
   68   3.8324187884459526E-07
   69   5.6855968920968241E-07
   70   3.6505816758383237E-07
   71   6.2101410120482694E-07
   72   3.4099629515830713E-07
   73   6.0077069545814787E-07
   74   3.5475822498560976E-07
   75   5.2071425677139088E-07
   76   2.8769319101395295E-07
   77   5.1077470131508214E-07
   78   2.7710988739310671E-07
   79   4.3259073992179776E-07
   80   3.0235529039587665E-07
   81   3.7985197292471350E-07
   82   2.7477522389996722E-07
   83   4.0112100492970910E-07
   84   2.5436605765835653E-07
   85   3.9432606362491467E-07
   86   2.6796012902040208E-07
   87   3.5485557231407666E-07
   88   2.5661854451501762E-07
   89   3.1633356829319336E-07
   90   2.4925265237998673E-07
   91   3.3014987206708198E-07
   92   2.5056800037476692E-07
   93   3.2500833584207655E-07
   94   2.4977448473090331E-07
   95   3.0257372892404610E-07
   96   2.4043112312501707E-07
   97   2.7647405993445632E-07
   98   2.4085276846503652E-07
   99   2.7685700886503013E-07
  100   2.3441246563515598E-07
  101   2.6434380322468266E-07
  102   2.2294203383607245E-07
  103   2.5410298674409887E-07
  104   2.2664652333112024E-07
  105   2.5222893419872857E-07
  106   2.2605799380222824E-07
  107   2.5041385904052322E-07
  108   2.2323523142341254E-07
  109   2.4817402335241061E-07
  110   2.1905801300042409E-07
  111   2.3582674269986537E-07
  112   2.0735258416210873E-07
  113   2.2561642384438001E-07
  114   2.0707151357103329E-07
  115   2.2162083417959433E-07
  116   2.0269021901099846E-07
  117   2.1734769339245394E-07
  118   2.0861870852859340E-07
  119   2.2978068488797545E-07
  120   2.0829307415129163E-07
  121   2.1637906906505985E-07
  122   2.0232490097375076E-07
  123   2.1990364712910518E-07
  124   2.0514041888400581E-07
  125   2.1616845640077326E-07
  126   2.1035541623441460E-07
  127   2.1348678896648461E-07
  128   2.0962422832648848E-07
