# kyz             |phi(kyz)|^2
    0   2.2928203692401647E-06
    1   8.2597843950785121E-01
    2   1.0818815872756560E-01
    3   6.1251091632850668E-02
    4   1.6071047874449615E-02
    5   1.1805929606126314E-02
    6   5.9747460870113039E-03
    7   3.0767613793818214E-03
    8   1.5498356254202777E-03
    9   1.9908732453367069E-03
   10   1.3616908045898791E-03
   11   9.8418450560364156E-04
   12   6.4959174921844849E-04
   13   4.2232007881982389E-04
   14   4.7255669643712174E-04
   15   1.8172915599844143E-04
   16   1.2919170546102195E-04
   17   2.2585618369259046E-04
   18   1.5394594148227157E-04
   19   7.7504904814872870E-05
   20   7.8603963264464009E-05
   21   6.9906549317339165E-05
   22   7.2142582274423883E-05
   23   3.9156887881264248E-05
   24   1.3431215555034459E-04
   25   6.3317421320178822E-05
   26   3.5788835952762772E-05
   27   2.5160873000995963E-05
   28   5.0306191448809086E-05
   29   4.5840975403766839E-05
   30   3.7125504806018683E-05
   31   3.4593300858684366E-05
   32   2.8993627544885257E-05
   33   1.3128899526854374E-05
   34   2.5481130340937718E-05
   35   1.1913761478174838E-05
   36   2.5183272913391802E-05
   37   2.4594026808611851E-05
   38   1.5245502564137514E-05
   39   2.0518193469836657E-05
   40   1.3390330712857484E-05
   41   1.5574021824689740E-05
   42   1.3742231275602729E-05
   43   1.0264101597101761E-05
   44   1.1624381061801145E-05
   45   1.5873171509655499E-05
   46   1.0069640533178636E-05
   47   5.3476501483198113E-06
   48   8.0424069653581721E-06
   49   8.1268826848215020E-06
   50   9.9030577625432175E-06
   51   9.5605276289201743E-06
   52   5.6241788612345415E-06
   53   5.2883345459688322E-06
   54   8.1181896617246283E-06
   55   4.9321714984563667E-06
   56   6.8201285867361075E-06
   57   4.0631139514876390E-06
   58   4.1167492710018605E-06
   59   5.9498857825268154E-06
   60   2.8193330145529304E-06
   61   5.2162934675700689E-06
   62   3.3801003857441003E-06
   63   3.1460783554704110E-06
   64   3.6382853104975851E-06
   65   3.4787412737316937E-06
   66   2.5076930783982582E-06
   67   3.5058681119776516E-06
   68   1.7754849391295701E-06
   69   1.1159809905525078E-06
   70   1.1953404795861174E-06
   71   3.9696551674506952E-06
   72   1.4743961839680689E-06
   73   2.1748702523980879E-06
   74   1.5178315428687106E-06
   75   1.1159541516995215E-06
   76   1.2700978219636071E-06
   77   1.0580030100474565E-06
   78   1.7300493933669542E-06
   79   1.3235745376352321E-06
   80   1.1780682863155250E-06
   81   1.5951156854894745E-06
   82   9.6871213564986444E-07
   83   1.4501896920474273E-06
   84   3.4147738759012977E-07
   85   9.5555248438506966E-07
   86   7.3858647892570799E-07
   87   8.1776045839545221E-07
   88   1.0059037862866401E-06
   89   7.0606180111827251E-07
   90   6.8311789046150851E-07
   91   1.1391731575911949E-06
   92   9.2854706454295863E-07
   93   9.7974558819211629E-07
   94   8.7158361610249788E-07
   95   4.0843063775578415E-07
   96   8.8413238100492653E-07
   97   4.8050174209125791E-07
   98   6.4543936081231534E-07
   99   6.5978984457701644E-07
  100   4.6376110303792129E-07
  101   5.8226344213814469E-07
  102   5.0250431735557601E-07
  103   4.4251099788447141E-07
  104   7.0868890050154097E-07
  105   3.0176687817199066E-07
  106   4.3443902655186397E-07
  107   4.0121409616282653E-07
  108   4.4949363363736310E-07
  109   4.4767459426945746E-07
  110   2.6293157033960618E-07
  111   4.6701883124295928E-07
  112   3.3941190932162649E-07
  113   3.0186814042847709E-07
  114   3.9677760427044224E-07
  115   2.3326586761536034E-07
  116   3.1919889172641006E-07
  117   3.4994133716308773E-07
  118   1.7686870994148019E-07
  119   4.8970792401224089E-07
  120   3.6562177322340959E-07
  121   3.0449360083111257E-07
  122   5.1031425400699347E-07
  123   4.0806881307885639E-07
  124   5.2083071879537240E-07
  125   2.8026545932066259E-07
  126   1.5703915217562553E-07
  127   3.5073521776474623E-07
  128   1.2401107540314876E-07
