#   k               |phi(k)|^2
    0   4.5325565010270578E-07
    1   2.7762793521015727E-01
    2   3.4741352602551706E-01
    3   2.5296069953451517E-01
    4   9.8813134060850807E-02
    5   3.5063846866753651E-02
    6   1.0131170537102559E-02
    7   7.1041055089113795E-03
    8   2.3908199925857286E-03
    9   2.5945605810643955E-03
   10   2.0525253558783133E-03
   11   1.1537692681905837E-03
   12   6.9995601335839149E-04
   13   6.6965621914363979E-04
   14   4.6927515718559891E-04
   15   3.9542407959097310E-04
   16   1.6819103190508788E-04
   17   3.1724619065761803E-04
   18   1.4050499174582431E-04
   19   1.4927495981510873E-04
   20   1.0218112076063445E-04
   21   1.0630015136163553E-04
   22   6.1924120628520897E-05
   23   7.0100325271271502E-05
   24   8.0295435254865613E-05
   25   8.2467911885448711E-05
   26   6.5859716032146994E-05
   27   4.3512527227056439E-05
   28   3.5004262855301706E-05
   29   5.4231489124404238E-05
   30   4.5964963309541465E-05
   31   4.5571549112724957E-05
   32   2.7396357678396677E-05
   33   3.2267243836182197E-05
   34   2.5974608267021288E-05
   35   2.3277288398151989E-05
   36   3.0719692670851404E-05
   37   2.4309078577364176E-05
   38   2.0974933743767090E-05
   39   2.2295925020155321E-05
   40   1.9654520445668145E-05
   41   2.0089058590034541E-05
   42   1.5913871137247751E-05
   43   1.2925088043490068E-05
   44   1.2943679275682147E-05
   45   1.2080462153470784E-05
   46   1.0999100592924487E-05
   47   9.1872389331255315E-06
   48   9.8925057574822143E-06
   49   1.0608800363803767E-05
   50   9.8143104601739937E-06
   51   7.5524367905238964E-06
   52   8.3072365078310641E-06
   53   7.7242666007191512E-06
   54   8.6906383419421136E-06
   55   9.0292236945872129E-06
   56   7.6623768069752573E-06
   57   6.6458766720700609E-06
   58   5.9162684477845151E-06
   59   7.1101585390380315E-06
   60   5.3180067049578091E-06
   61   6.4845194913535202E-06
   62   3.9558215320337865E-06
   63   5.1480961264290785E-06
   64   4.2393403094776696E-06
   65   5.4961369564493946E-06
   66   3.8033579256194716E-06
   67   4.6606090559947185E-06
   68   3.8788774573067853E-06
   69   3.7467751626315429E-06
   70   3.4203645391516042E-06
   71   3.2465080238243851E-06
   72   3.7046906841476340E-06
   73   3.2769158353279287E-06
   74   2.6938782196492224E-06
   75   2.4274138007017062E-06
   76   2.1218625734555013E-06
   77   1.9064891679041042E-06
   78   2.0598335557661269E-06
   79   1.7833493852855488E-06
   80   1.7272400056260068E-06
   81   2.0460282207596194E-06
   82   1.5633701467205024E-06
   83   1.5149117387002037E-06
   84   1.2712713478743251E-06
   85   1.3080081556536685E-06
   86   1.0871747776808087E-06
   87   1.2178781767074979E-06
   88   1.0262358550054292E-06
   89   1.3227751322307564E-06
   90   1.0808920733325714E-06
   91   1.1501831982439606E-06
   92   1.1322308081985226E-06
   93   1.1052685774353221E-06
   94   1.1691652391663564E-06
   95   1.0383485143842915E-06
   96   1.1138338327056775E-06
   97   9.6090896253534101E-07
   98   9.7690435764945462E-07
   99   8.6933245064655048E-07
  100   7.8140236589619130E-07
  101   1.0001850973211341E-06
  102   9.6381098876560453E-07
  103   7.0099872188604703E-07
  104   9.9602873899819268E-07
  105   7.3301382267602416E-07
  106   8.5493044075164375E-07
  107   6.8212118433420477E-07
  108   8.3358375049269395E-07
  109   6.7925851634038810E-07
  110   6.9437175995910326E-07
  111   8.2032702265916452E-07
  112   6.5867807196451590E-07
  113   7.1054615219863551E-07
  114   6.7702925350269474E-07
  115   6.1316897155643437E-07
  116   6.1911899241871390E-07
  117   5.5851423050678562E-07
  118   5.5448419304521387E-07
  119   6.0353228115938706E-07
  120   6.5413964261215424E-07
  121   5.9364590915035058E-07
  122   6.2146962768371604E-07
  123   6.7331423117779098E-07
  124   6.8676681055657500E-07
  125   6.0505715925784473E-07
  126   5.1851020396507043E-07
  127   5.4280733108224566E-07
  128   5.2834507466330940E-07
