#  kx              |phi(kx)|^2
    0   2.9293602218892714E-31
    1   7.8275570741713463E-01
    2   4.1808641263080387E-01
    3   2.5482158702686702E-01
    4   6.6532564862124555E-02
    5   2.2251917824110273E-02
    6   7.6626639940844529E-03
    7   2.8148934465862148E-03
    8   9.5857933247421850E-04
    9   2.2450110471518953E-04
   10   1.6200659098471209E-04
   11   7.0896804500433821E-05
   12   2.6695166793624696E-05
   13   7.0768025355622767E-06
   14   2.1729207545250178E-06
   15   5.4745552240971615E-07
   16   4.3351001574981895E-07
   17   7.6436043765930000E-08
   18   2.6448714319935364E-08
   19   1.4919561732332040E-08
   20   6.4865669498878175E-09
   21   3.4057850201831500E-09
   22   1.1273368052720100E-09
   23   4.3153746718984442E-10
   24   1.1748083017472251E-10
   25   5.4357224395441098E-11
   26   1.0837751102293745E-11
   27   2.8621387397182931E-12
   28   2.3855404837455215E-12
   29   1.3564984506312317E-12
   30   2.8838557584924389E-13
   31   7.2952615106187844E-14
   32   4.5981258442812545E-14
   33   7.5921631719895412E-15
   34   6.1511567386421260E-15
   35   3.0740270955449855E-15
   36   6.6971596989656180E-16
   37   9.0062405459508656E-17
   38   1.2091889717247405E-16
   39   4.2357970973273512E-17
   40   9.7961229286863973E-18
   41   4.4888685786873569E-18
   42   9.9724670824656168E-19
   43   1.1113178155121200E-18
   44   2.9862256558946656E-19
   45   8.8050777559728621E-20
   46   1.8100621003088774E-20
   47   6.6515338565820384E-21
   48   3.3263443775964631E-21
   49   8.3070299093478451E-22
   50   4.5797559238354727E-22
   51   2.6312987221759984E-22
   52   8.5357248156281889E-23
   53   5.1807149521837160E-23
   54   1.1269557341741050E-23
   55   4.5854992880433718E-24
   56   1.4163711234278137E-24
   57   3.8101215080366261E-25
   58   9.1907744572731702E-26
   59   4.8423659947654429E-26
   60   2.6645488895446098E-26
   61   1.1647281255782120E-26
   62   2.6848683774852698E-27
   63   1.0699482580395266E-27
   64   7.6423624766921516E-28
   65   9.7922328494008366E-29
   66   2.5193356715825116E-29
   67   1.5273256168223948E-29
   68   1.3464882430059523E-29
   69   4.7015213137205294E-30
   70   1.1322166139017277E-30
   71   1.3276414460033980E-30
   72   6.7704887377093690E-31
   73   6.3365003735075518E-31
   74   5.1305058728123984E-31
   75   5.1234949789114937E-31
   76   5.4333853428156379E-31
   77   5.3262031806631767E-31
   78   6.0159313400383406E-31
   79   5.3306794642060361E-31
   80   5.2891183697394654E-31
   81   4.9137794938980974E-31
   82   5.5761203498586724E-31
   83   5.5958735015401213E-31
   84   5.3683975679739253E-31
   85   6.8065664873063495E-31
   86   6.9963422042830798E-31
   87   4.9525179621994204E-31
   88   6.9418933867831028E-31
   89   6.2463591606361009E-31
   90   4.7553149753103855E-31
   91   5.7663263073253291E-31
   92   4.9838928230036448E-31
   93   4.6060828671461185E-31
   94   5.0353902936534134E-31
   95   4.5912334872582629E-31
   96   4.4973639816475310E-31
   97   4.2953450376623257E-31
   98   4.3015690764135081E-31
   99   4.3453980354764139E-31
  100   4.3414959255234072E-31
  101   4.5524152442002933E-31
  102   4.4549122000862733E-31
  103   4.0635093062889582E-31
  104   4.6391045504713405E-31
  105   4.4980456531587731E-31
  106   7.1775135681171360E-31
  107   4.6970088750492398E-31
  108   5.9490035359810182E-31
  109   4.3810866208408107E-31
  110   4.2574191501121300E-31
  111   4.7179377036491831E-31
  112   4.2132834203946393E-31
  113   4.7662680622723971E-31
  114   4.2390828706423729E-31
  115   4.7509277293240777E-31
  116   4.4169260797745994E-31
  117   4.6087099112393770E-31
  118   4.5863779875815258E-31
  119   4.5260487477262557E-31
  120   4.5500304891998328E-31
  121   4.6725222597735618E-31
  122   4.3506802769854421E-31
  123   4.1245043467879394E-31
  124   4.1685644454139259E-31
  125   4.6578450411735590E-31
  126   4.7856471040527877E-31
  127   5.0132427862927413E-31
  128   5.0401079733371525E-31
