#   k               |phi(k)|^2
    0   5.3011319497138245E-31
    1   1.8360997409051822E+00
    2   1.9767928737832893E-01
    3   1.7779037221056251E-01
    4   1.4039986717678510E-01
    5   1.2350732641411735E-01
    6   7.1023280935176666E-02
    7   5.3279065664296965E-02
    8   3.9643284886565752E-02
    9   2.5798001852671584E-02
   10   2.9210752092805419E-02
   11   2.0504212416911895E-02
   12   2.1070940899207101E-02
   13   1.3307823278638321E-02
   14   1.3573522292385955E-02
   15   8.9701972000663203E-03
   16   9.1857394216964070E-03
   17   1.0122870315361942E-02
   18   8.9539949145457671E-03
   19   5.8175846494125357E-03
   20   5.6544883668904521E-03
   21   8.1425414641258641E-03
   22   6.2377147902483096E-03
   23   3.2416648757450685E-03
   24   6.3835692581572113E-03
   25   4.6469631902871398E-03
   26   3.2900731998014442E-03
   27   3.1568898095721810E-03
   28   3.6488106829003892E-03
   29   4.0195972957110023E-03
   30   4.1012714239899396E-03
   31   2.7534704529138016E-03
   32   3.0897334505614275E-03
   33   2.8320499237472260E-03
   34   3.4309498820974372E-03
   35   2.1636695454874816E-03
   36   2.8378900342881995E-03
   37   2.8634699903336966E-03
   38   2.3791526224016786E-03
   39   2.9047829954125873E-03
   40   2.2624521408522533E-03
   41   1.5880546588432115E-03
   42   1.9356482528439778E-03
   43   2.0596894989930370E-03
   44   2.0751763161329191E-03
   45   1.8289443301252629E-03
   46   1.9098747518122659E-03
   47   1.8748960123141905E-03
   48   1.6958758124825909E-03
   49   1.4876143471522156E-03
   50   1.7040429277403468E-03
   51   1.8265742198854986E-03
   52   1.6718788931985151E-03
   53   1.0381317707830631E-03
   54   1.4679266293184860E-03
   55   1.4987776883562179E-03
   56   1.4633459376659449E-03
   57   1.1701315010463776E-03
   58   1.0485168914264812E-03
   59   1.4494984096589678E-03
   60   1.2895700884863138E-03
   61   1.2369355325374375E-03
   62   1.2055834518326116E-03
   63   1.1162290939270363E-03
   64   1.1907172170012171E-03
   65   1.3035878311417773E-03
   66   1.1593265487053128E-03
   67   9.9833995985600739E-04
   68   1.0111580373317571E-03
   69   9.1003273786736407E-04
   70   8.4267864367223067E-04
   71   9.0380144746039239E-04
   72   7.8461312012367054E-04
   73   1.0269650145506330E-03
   74   7.7199145127868172E-04
   75   6.4314937157598860E-04
   76   7.5904441912378001E-04
   77   7.0552105592648260E-04
   78   6.0888770532139690E-04
   79   7.7410619643683380E-04
   80   7.8539219599555853E-04
   81   7.9751930730505793E-04
   82   5.7060380089531734E-04
   83   6.7229903302918107E-04
   84   5.4550499007266007E-04
   85   7.1018756306031727E-04
   86   5.1939882998577229E-04
   87   6.2601448961926900E-04
   88   6.1590747356771668E-04
   89   5.9695414454000086E-04
   90   4.9863419422066806E-04
   91   6.7770781050053891E-04
   92   5.2776644872979826E-04
   93   5.8709011655001418E-04
   94   6.2269804601625773E-04
   95   5.7816975771836365E-04
   96   5.1895167239306313E-04
   97   4.8650563160000638E-04
   98   5.0771979605007298E-04
   99   4.9025990498174823E-04
  100   5.2438713954672690E-04
  101   4.6702313532720219E-04
  102   4.8525767902110237E-04
  103   4.6396854030874733E-04
  104   5.2995668997392125E-04
  105   4.3909714084422365E-04
  106   4.7598162859620818E-04
  107   4.2541283208852998E-04
  108   4.3932522968052299E-04
  109   4.3199836145081736E-04
  110   3.3901973283699516E-04
  111   4.6689071195979941E-04
  112   3.5554344548103124E-04
  113   3.7110604734620200E-04
  114   4.1293735052170096E-04
  115   4.0868764048503716E-04
  116   3.9956537947651998E-04
  117   4.1531047599197067E-04
  118   3.5009053260937561E-04
  119   4.5702775734807855E-04
  120   3.7702881124302394E-04
  121   3.5195726479117696E-04
  122   4.0079932117672608E-04
  123   4.7063403346525476E-04
  124   3.2840654235497603E-04
  125   3.5162642071135595E-04
  126   2.9185894009562866E-04
  127   3.2908416663890970E-04
  128   9.7089256836233452E-05
