#  kx              |phi(kx)|^2
    0   1.7278863117133163E+00
    1   3.7052677009609475E-01
    2   2.6169907426531192E-01
    3   1.7493651012182612E-01
    4   1.2863803214295258E-01
    5   3.6657268185946640E-02
    6   3.7228799956351220E-02
    7   2.0853809113270300E-02
    8   2.6207607716265902E-02
    9   1.3038494768804029E-02
   10   1.3852315574673545E-02
   11   7.1400367742712450E-03
   12   8.0017417901356008E-03
   13   6.7050055716094551E-03
   14   5.9951838567930968E-03
   15   4.8528226344564367E-03
   16   4.3224872129966419E-03
   17   4.2767016464881962E-03
   18   3.0949383143990821E-03
   19   3.5414293307368767E-03
   20   2.7984400517209809E-03
   21   2.8981291107853416E-03
   22   2.4667701169411968E-03
   23   2.5205251431116796E-03
   24   1.9701203969389645E-03
   25   2.0120322846871102E-03
   26   2.0984099612932059E-03
   27   1.5727669807932825E-03
   28   1.4530065661921747E-03
   29   1.5015553259291187E-03
   30   1.3235197669084814E-03
   31   1.1189863706850621E-03
   32   1.1134831454001747E-03
   33   1.0349470975254584E-03
   34   1.0332083182914816E-03
   35   8.8051734775851278E-04
   36   9.7737823813735564E-04
   37   7.2738437047672653E-04
   38   8.0120797987621377E-04
   39   6.7193638056057539E-04
   40   6.8619571697719735E-04
   41   5.9603257399621322E-04
   42   5.9685233720587340E-04
   43   4.8994647585954242E-04
   44   5.2046169571946387E-04
   45   4.4503550857469883E-04
   46   4.7548662259467103E-04
   47   4.1794905371047610E-04
   48   4.1808187877424299E-04
   49   3.6178377303565422E-04
   50   3.8193700752460729E-04
   51   3.4812882273587423E-04
   52   3.1990681873224092E-04
   53   2.6559881847851774E-04
   54   2.7943909774323005E-04
   55   2.4377043230686471E-04
   56   2.4512402664795901E-04
   57   2.1302249719132294E-04
   58   2.0853393464319585E-04
   59   1.8757137251775279E-04
   60   1.9701137521369169E-04
   61   1.8759105412534369E-04
   62   1.8591496899446854E-04
   63   1.5937953789346685E-04
   64   1.7162005730390217E-04
   65   1.6276611986758350E-04
   66   1.5538267625562314E-04
   67   1.3415557161444150E-04
   68   1.4303892782019861E-04
   69   1.1495050320506121E-04
   70   1.3312243392706030E-04
   71   1.1608312073586524E-04
   72   1.1604881023387843E-04
   73   1.1450749769201460E-04
   74   1.0536570596815949E-04
   75   9.2304480245998665E-05
   76   8.9890969397604068E-05
   77   9.3277147482228559E-05
   78   9.0045447680091805E-05
   79   8.5956438495290833E-05
   80   7.8294358585706883E-05
   81   7.2441579306222885E-05
   82   7.7987050982413085E-05
   83   7.1647704303076336E-05
   84   6.2619579109797935E-05
   85   5.5843327563123097E-05
   86   5.6416144816097939E-05
   87   5.1656467563845444E-05
   88   4.8673383635581581E-05
   89   4.4430037205794299E-05
   90   4.0288270061666394E-05
   91   4.2618353014131386E-05
   92   4.4078059252251753E-05
   93   4.5128676165190447E-05
   94   3.6058376265872971E-05
   95   3.8703777502932119E-05
   96   3.5565243607411684E-05
   97   3.9406940513271615E-05
   98   3.7101575103006209E-05
   99   3.4183451441045185E-05
  100   3.0727434003483602E-05
  101   2.8318266095624948E-05
  102   3.1177156124288150E-05
  103   2.6701334205761150E-05
  104   2.5018704594403954E-05
  105   2.2692673625850835E-05
  106   2.4433622021882147E-05
  107   2.3340395726111588E-05
  108   2.4706570762339823E-05
  109   2.1500013734359225E-05
  110   2.0632088673128839E-05
  111   2.2856426586234848E-05
  112   1.8379754215053429E-05
  113   2.2639979865741519E-05
  114   1.8875279662109308E-05
  115   1.8829189549252635E-05
  116   1.5467467716177274E-05
  117   2.0131563071407338E-05
  118   1.6753965308114709E-05
  119   1.9257100799278313E-05
  120   1.7812137080397128E-05
  121   1.5197987714815731E-05
  122   1.4070200746112637E-05
  123   1.5233030328583642E-05
  124   1.3958261286322962E-05
  125   1.7260641555699530E-05
  126   1.4622509680529801E-05
  127   1.4493612532642856E-05
  128   1.4710888966410314E-05
