#  kx   kyz         |phi(kx, kyz)|^2
    0     0   1.4987611891197921E-32
    1     0   5.7228280504367478E-33
    2     0   1.0699807601863397E-32
    3     0   2.7260877935352204E-33
    4     0   1.5847165628664022E-32
    5     0   1.5604239305249979E-33
    6     0   1.2756310055861983E-33
    7     0   1.3339678687665658E-34
    8     0   2.1686294174526116E-33
    9     0   3.6380613095558039E-34
   10     0   8.9459693970984720E-35
   11     0   3.0308666564115377E-33
   12     0   1.5738323965420346E-33
   13     0   2.0732906129334692E-33
   14     0   1.7290516200867429E-33
   15     0   2.0153928928376918E-33
   16     0   5.0188392814516235E-33
   17     0   3.5638296728263530E-33
   18     0   3.2512365584837202E-33
   19     0   6.3438590108737925E-33
   20     0   9.4031049613745238E-36
   21     0   4.9242650216974167E-34
   22     0   6.3557259101639886E-34
   23     0   3.9092607804703459E-33
   24     0   9.4261651721475892E-33
   25     0   1.0769918599086940E-33
   26     0   7.0579868586124591E-34
   27     0   1.7080085222514096E-33
   28     0   4.3359612064205535E-33
   29     0   2.7264404099712712E-33
   30     0   2.5590721035730551E-33
   31     0   3.5772883188746739E-33
   32     0   3.7344656486131178E-33
   33     0   1.5418084273247465E-33
   34     0   2.4062540199543687E-33
   35     0   3.5621655944916021E-34
   36     0   6.7901574966818620E-34
   37     0   2.7087600918968453E-33
   38     0   2.7162888540207599E-33
   39     0   5.5621427296464145E-34
   40     0   1.5915111436650312E-33
   41     0   8.5694193464861043E-34
   42     0   1.2655310890130382E-33
   43     0   2.7286344075192777E-33
   44     0   5.7662586103971214E-34
   45     0   1.4513278635641572E-33
   46     0   2.2727552427292171E-33
   47     0   1.2945451703870614E-33
   48     0   1.9364645860089760E-34
   49     0   2.9810729266046017E-33
   50     0   2.7013445202139932E-33
   51     0   4.9824957834963223E-34
   52     0   1.6234181349225657E-33
   53     0   1.9480468831487666E-33
   54     0   1.2134770595964897E-34
   55     0   1.2785910397379093E-33
   56     0   9.9528362455406516E-35
   57     0   9.8840534651474276E-34
   58     0   1.4558701396527523E-34
   59     0   1.5237859671188001E-33
   60     0   1.7793170026314197E-34
   61     0   3.1839488449375579E-33
   62     0   3.8201967402235046E-34
   63     0   2.1547625952759427E-33
   64     0   2.7627954357715974E-34
   65     0   1.2501357509615914E-33
   66     0   1.9707181195667146E-33
   67     0   3.0146005760600211E-33
   68     0   8.4247536220726754E-34
   69     0   1.6735288578640651E-33
   70     0   7.1241008581188852E-34
   71     0   7.8971613956324250E-34
   72     0   1.4011070553535761E-33
   73     0   1.8428187091043942E-33
   74     0   2.5441158435325024E-33
   75     0   7.4817271833064657E-33
   76     0   2.1830697361451822E-33
   77     0   1.1853812925731341E-33
   78     0   4.8240027904117408E-34
   79     0   1.2866604973498164E-33
   80     0   1.8201132380947194E-33
   81     0   6.1221900788926430E-34
   82     0   4.1525389178920153E-34
   83     0   6.3606431576665364E-34
   84     0   8.6256866803520334E-34
   85     0   2.1622415291373741E-33
   86     0   5.0336929775768839E-34
   87     0   1.5112227093487166E-33
   88     0   4.6186306094190508E-34
   89     0   1.0950422331102237E-33
   90     0   1.1826827596745434E-33
   91     0   8.1264707168205260E-34
   92     0   9.5070092711977128E-35
