# kyz             |phi(kyz)|^2
    0   2.4859038919944149E-31
    1   5.8090510837394258E-31
    2   5.3340134635894838E-31
    3   5.5880891904634760E-31
    4   6.3079277121433715E-31
    5   7.3447920509247783E-02
    6   3.1224110113095831E-02
    7   3.2845463032272745E-02
    8   2.6123162971499195E-02
    9   2.6108824160244001E-02
   10   2.0726535389902184E-02
   11   1.8358033325760047E-02
   12   1.2463179506300307E-02
   13   1.3956003086038945E-02
   14   1.1882944080120366E-02
   15   1.2256681508416672E-02
   16   5.3594023042135728E-03
   17   8.8572187488132493E-03
   18   8.7911718967796197E-03
   19   8.9463598585514132E-03
   20   8.4686939980358599E-03
   21   7.4760179367180249E-03
   22   7.5853812715151745E-03
   23   6.6178710350094675E-03
   24   5.0093653486350817E-03
   25   5.4197382434662735E-03
   26   6.7300244188232853E-03
   27   3.4589459434453962E-03
   28   3.1984614008176452E-03
   29   4.0173650471401947E-03
   30   4.3983988589882074E-03
   31   2.5192777513117709E-03
   32   3.4390333206447540E-03
   33   3.5726991907756682E-03
   34   3.2133041578395927E-03
   35   2.6206683650531614E-03
   36   3.2928586274970683E-03
   37   2.8348632183800467E-03
   38   2.6812190278689670E-03
   39   2.4775881770755862E-03
   40   2.2937149262634432E-03
   41   2.0599065820998009E-03
   42   2.0678228023428198E-03
   43   1.5126609164073934E-03
   44   2.1024004553001872E-03
   45   2.3095168816487433E-03
   46   1.6353639324789612E-03
   47   1.6511210626068687E-03
   48   1.9740703602938569E-03
   49   1.2609165302916189E-03
   50   1.5810230141880470E-03
   51   1.5518390728280996E-03
   52   1.7252854325651777E-03
   53   1.7833926203970223E-03
   54   1.4299440033590349E-03
   55   1.2562857294302482E-03
   56   1.1565207117035944E-03
   57   1.2098595827109515E-03
   58   1.2141412970712244E-03
   59   1.1034056719625590E-03
   60   1.1891848499716150E-03
   61   1.2562331313468059E-03
   62   1.1005608682659496E-03
   63   1.0600448307166003E-03
   64   1.3496247249754670E-03
   65   1.2475984795109988E-03
   66   8.5492747865926490E-04
   67   8.1545555585283780E-04
   68   1.0253504281491626E-03
   69   8.2542407980814127E-04
   70   9.6432955059501467E-04
   71   8.3355802399869906E-04
   72   8.2764362211917299E-04
   73   9.4151333079072039E-04
   74   8.9251644963086096E-04
   75   8.8095630599622024E-04
   76   8.4439488786204565E-04
   77   9.2304355593623901E-04
   78   8.4553782968023168E-04
   79   6.8626337245670079E-04
   80   8.5242301019649582E-04
   81   8.7113594107709081E-04
   82   6.4997122101724926E-04
   83   7.8366497435022420E-04
   84   7.1844149432574115E-04
   85   7.0537619920914372E-04
   86   6.0102618780388264E-04
   87   5.9589557151046909E-04
   88   4.8470778846918178E-04
   89   5.4933522226692055E-04
   90   5.6561489236119100E-04
   91   5.4065341782994934E-04
   92   5.0837322456049488E-04
   93   5.5932821189976726E-04
   94   5.0225097495901379E-04
   95   6.4823893186601673E-04
   96   5.9121268077955483E-04
   97   5.0588506168449602E-04
   98   5.2226773840014244E-04
   99   4.6991986663240078E-04
  100   5.3417292533576967E-04
  101   4.8986780509834092E-04
  102   4.5897232535123075E-04
  103   5.3482777336870456E-04
  104   5.0803429669128166E-04
  105   4.7780888044972677E-04
  106   5.0539407393428658E-04
  107   3.8321439419890669E-04
  108   4.5811656192553632E-04
  109   4.8274470625855751E-04
  110   4.4792141306805106E-04
  111   4.4508653583680508E-04
  112   3.4920263836290063E-04
  113   4.2830126469086153E-04
  114   4.4626605349501518E-04
  115   4.0724278009555482E-04
  116   4.1318353025621553E-04
  117   3.5978569266300654E-04
  118   3.9348740857602374E-04
  119   4.4117567412487081E-04
  120   3.2108318578317086E-04
  121   3.8403302133828573E-04
  122   3.5539571926111068E-04
  123   3.7437770199927458E-04
  124   3.0472650366763652E-04
  125   3.5502424412640828E-04
  126   2.9324736356892405E-04
  127   3.2419963217135449E-04
  128   7.4220380737813133E-31
