#   k               |phi(k)|^2
    0   2.9966333645736751E-07
    1   4.5877613508062366E-06
    2   1.5089225350393000E-05
    3   1.2028586288166894E-05
    4   9.1755819748905670E-06
    5   6.4700473216859539E-02
    6   2.5262794985723619E-02
    7   2.6780714433395962E-02
    8   2.9123231470584408E-02
    9   2.5698237357106773E-02
   10   2.2228765259354438E-02
   11   1.4870958582569180E-02
   12   1.4537631532913037E-02
   13   1.3852258137859511E-02
   14   9.1936159404203081E-03
   15   1.2910530725981079E-02
   16   8.9968360899056396E-03
   17   1.0396978251501559E-02
   18   1.0296732681532816E-02
   19   9.1477336797814428E-03
   20   6.6688154231066615E-03
   21   6.4066824443561139E-03
   22   5.7669754962489644E-03
   23   7.2839881545774090E-03
   24   5.5695934733067699E-03
   25   6.2207134773582624E-03
   26   5.8873247147060515E-03
   27   4.5872679692112069E-03
   28   4.6653338333845287E-03
   29   4.8517637585505403E-03
   30   4.0978282556105809E-03
   31   3.3437951180514494E-03
   32   3.7275917016527009E-03
   33   2.2560731342437337E-03
   34   3.1667030423048058E-03
   35   1.9889952279222326E-03
   36   2.1816760766073169E-03
   37   2.7611867369647805E-03
   38   2.3651818253093912E-03
   39   2.5812763496576145E-03
   40   1.7673028985512765E-03
   41   2.5350030227053177E-03
   42   2.2969106793636418E-03
   43   1.9881323659792787E-03
   44   2.1553073325162870E-03
   45   1.4143783444862080E-03
   46   1.4031535113166013E-03
   47   1.7515673388164227E-03
   48   1.6026854495378821E-03
   49   1.1867623055114998E-03
   50   9.0122476374887366E-04
   51   1.3439184794424182E-03
   52   1.1789141310293075E-03
   53   1.3065705936937569E-03
   54   1.0000030405916147E-03
   55   1.1869045951706956E-03
   56   9.1478849162551995E-04
   57   1.1323971411460840E-03
   58   9.3538318043260573E-04
   59   7.9517159352655723E-04
   60   7.8359507980860612E-04
   61   9.6166551918780018E-04
   62   8.3430640340580035E-04
   63   8.2561563513973803E-04
   64   7.9232683312645974E-04
   65   8.9428658385085438E-04
   66   7.8827322846042119E-04
   67   7.2880523955993831E-04
   68   8.0573758328325725E-04
   69   7.3392632193284137E-04
   70   7.1134782237711495E-04
   71   6.7345642531363306E-04
   72   7.4531278161987682E-04
   73   6.1334974749402643E-04
   74   5.7645144588323437E-04
   75   6.4225906044535115E-04
   76   6.1622453909597008E-04
   77   5.8711479384980481E-04
   78   4.4578930619105779E-04
   79   4.4466117075715717E-04
   80   4.2685160313117181E-04
   81   3.9837772503053750E-04
   82   4.7099106552226104E-04
   83   4.1422151458855822E-04
   84   3.7598334431046375E-04
   85   4.1461922666908511E-04
   86   3.9152214987299389E-04
   87   4.0504022158630016E-04
   88   3.9777693274936914E-04
   89   3.9605125624379649E-04
   90   3.7586182267837959E-04
   91   3.2655774381598173E-04
   92   3.2867765593724781E-04
   93   3.3069441545758682E-04
   94   2.8447260300179994E-04
   95   2.8758676639778301E-04
   96   2.5631740509900300E-04
   97   3.1412092952397427E-04
   98   2.5254196662087721E-04
   99   3.0285087927564423E-04
  100   2.3424166803558353E-04
  101   2.9637118756697993E-04
  102   2.3610937005866009E-04
  103   2.2519565328315826E-04
  104   2.4708558037333237E-04
  105   1.8940880921961215E-04
  106   2.2054041172052708E-04
  107   2.1072589347183185E-04
  108   2.1003571305875900E-04
  109   1.9133435036151664E-04
  110   2.0558485267881466E-04
  111   1.8226920854108589E-04
  112   1.5283546258986630E-04
  113   1.6365735911892630E-04
  114   1.5678199862750568E-04
  115   1.4247248583301855E-04
  116   1.7251042609100001E-04
  117   1.4683517771521180E-04
  118   1.6827056650349552E-04
  119   1.7058782404134537E-04
  120   1.4648841982340790E-04
  121   1.7194877676341637E-04
  122   1.4488614623984301E-04
  123   1.6909073741111589E-04
  124   1.2328175551608282E-04
  125   1.5632037505987044E-04
  126   1.2558591481783384E-04
  127   1.3988398111556367E-04
  128   1.1637668379996682E-04
