#  kx              |phi(kx)|^2
    0   7.7488622145607110E-07
    1   7.7917643543629053E-07
    2   8.4578760998247994E-07
    3   7.2912924877412177E-07
    4   1.3687621358623008E-06
    5   1.1264629555666516E-06
    6   1.0112060103981097E-06
    7   1.2807750168062793E-06
    8   1.4645204529061603E-06
    9   1.1481071056360261E-06
   10   1.0731055157455120E-06
   11   1.6354175845351572E-06
   12   1.1304029601919442E-06
   13   1.3439281839103910E-06
   14   8.3000675059271503E-07
   15   1.3117853525291498E-06
   16   8.2041926395589543E-07
   17   8.4106873108857069E-07
   18   6.2611213595730626E-07
   19   1.0491031449228833E-06
   20   1.2184460610306340E-06
   21   6.7056833845327730E-07
   22   1.2161972770708974E-06
   23   9.7841062692066788E-07
   24   9.3240629609427141E-07
   25   1.0403089104203434E-06
   26   9.1266136479987819E-07
   27   1.0451293328858089E-06
   28   9.4033534972725574E-07
   29   6.5080597155559796E-07
   30   5.2625867122027372E-07
   31   9.0725423909309855E-07
   32   6.2739047240799425E-07
   33   4.9164453115138422E-07
   34   5.7891368911210532E-07
   35   7.5937260945714669E-07
   36   5.2080111866755946E-07
   37   5.0164082302328923E-07
   38   6.9077128508221941E-07
   39   6.2729994936837890E-07
   40   6.6969500821738732E-07
   41   3.0301240770476615E-07
   42   5.6143015197649636E-07
   43   4.1114894797493430E-07
   44   3.9917963130823295E-07
   45   1.0173404952831592E-07
   46   3.6644191875670701E-07
   47   4.4970384736914806E-07
   48   1.1572242903212784E-07
   49   1.5473322145893197E-07
   50   2.9914755549577389E-07
   51   2.7292682309823635E-07
   52   1.5650078197703877E-07
   53   1.9157174178940234E-07
   54   3.0390165732518054E-07
   55   2.3545334199453868E-07
   56   6.1045695069132164E-08
   57   1.0652432803192030E-07
   58   2.0603166720138919E-07
   59   1.8037340284769308E-07
   60   8.6129549782825662E-08
   61   7.9009444267111918E-08
   62   1.8891901613930871E-07
   63   8.8377043373021301E-08
   64   1.3291283079578315E-07
