#  kx              |phi(kx)|^2
    0   3.5333794386623705E-07
    1   2.2813897385633694E-06
    2   2.5724594590514546E-06
    3   6.6979369500694739E-07
    4   1.7721139508162873E-06
    5   2.7100723916094593E-06
    6   1.4198894676600313E-06
    7   3.4362778822109888E-06
    8   3.7664301515545239E-06
    9   1.1691168441183069E-06
   10   3.1857464964089894E-06
   11   1.3414968900833963E-06
   12   8.1676335077945400E-07
   13   2.7604275214033754E-06
   14   2.0131980951798844E-06
   15   5.1464027538010349E-07
   16   2.3897859339504562E-06
   17   2.4776904918411485E-06
   18   5.6131474759919593E-07
   19   1.9072854444828607E-06
   20   2.7573229640253290E-06
   21   1.0428073334803086E-06
   22   9.5924706411970641E-07
   23   3.4587180014382527E-06
   24   1.1369483032405051E-06
   25   3.5237611079699570E-06
   26   9.0480232134458809E-07
   27   1.0705185738381055E-06
   28   2.8273781890597143E-06
   29   1.8134270589949547E-06
   30   5.9821049627011077E-07
   31   2.5220550197316899E-06
   32   2.3389225906289120E-06
   33   4.9741531289762321E-07
   34   2.0853608922764529E-06
   35   2.7120119224420329E-06
   36   7.6627246429388892E-07
   37   1.4566290156464427E-06
   38   3.0601783675980916E-06
   39   1.2231711001746578E-06
   40   3.6997066478744442E-06
   41   3.5867874715989015E-06
   42   1.3058290456079827E-06
   43   2.9019322491173417E-06
   44   1.5965633280276218E-06
   45   7.1879986776169453E-07
   46   2.6486967374933836E-06
   47   2.1720377251244669E-06
   48   4.7572967709125756E-07
   49   2.2931989661379442E-06
   50   2.5627394913222938E-06
   51   6.3368144182448353E-07
   52   1.7392610781329355E-06
   53   2.8732961316133884E-06
   54   1.1100674024718758E-06
   55   8.6570294357873220E-07
   56   3.5416815881226148E-06
   57   1.1680226780420156E-06
   58   3.3423959006018579E-06
   59   1.0397731286995835E-06
   60   1.0256661104376465E-06
   61   2.6555971620812238E-06
   62   2.0370800148950204E-06
   63   5.0977826250351471E-07
   64   2.4423405136735663E-06
