#  kx   kyz         |phi(kx, kyz)|^2
    0     0   6.2133886953240563E-11
    1     0   7.3261414132617210E-10
    2     0   1.0559378541412207E-09
    3     0   5.3546465154247632E-10
    4     0   7.4229169293566194E-10
    5     0   7.2146416819816072E-10
    6     0   8.7585926977692145E-10
    7     0   9.4179538652256303E-10
    8     0   7.3525995977427743E-10
    9     0   8.2664307809212686E-10
   10     0   6.8272094128843291E-10
   11     0   8.0372314878020262E-10
   12     0   4.6205785974230019E-10
   13     0   8.9007179275754287E-10
   14     0   8.2598953755767870E-10
   15     0   5.6939671857980542E-10
   16     0   6.8701819654808495E-10
   17     0   8.6211051671354202E-10
   18     0   6.7748938554429607E-10
   19     0   5.6901666996781287E-10
   20     0   5.8540205529492475E-10
   21     0   6.7495477059588311E-10
   22     0   5.5360597182356903E-10
   23     0   6.5839859757387605E-10
   24     0   5.2968150565503436E-10
   25     0   6.3506922543471673E-10
   26     0   4.8962135048870950E-10
   27     0   3.6140586639616810E-10
   28     0   4.7211047790846555E-10
   29     0   6.8218877714119085E-10
   30     0   3.0378860450600488E-10
   31     0   4.3393360516878750E-10
   32     0   3.7477173211712907E-10
   33     0   5.3909045879299493E-10
   34     0   3.6550288062211301E-10
   35     0   4.1368901439011994E-10
   36     0   3.7932211437686892E-10
   37     0   3.4392058470813429E-10
   38     0   3.8154430389035536E-10
   39     0   2.0959713999921899E-10
   40     0   3.8338497893892417E-10
   41     0   2.6168196994496230E-10
   42     0   2.2174448887298321E-10
   43     0   2.2417910590134962E-10
   44     0   3.9068218048998553E-10
   45     0   1.1362892416477262E-10
   46     0   1.3414533097472516E-10
   47     0   1.1883966466089597E-10
   48     0   1.9075530501485256E-10
   49     0   1.0926545033027225E-10
   50     0   9.6126549492627207E-11
   51     0   6.1198313317836545E-11
   52     0   7.6750981049244101E-11
   53     0   1.4388662592909551E-10
   54     0   2.8393352296156949E-11
   55     0   8.4778339407658847E-11
   56     0   7.6908326331851174E-11
   57     0   3.4537968396408687E-11
   58     0   5.4134861888577124E-11
   59     0   6.6221740865471541E-11
   60     0   1.6722195886597983E-11
   61     0   8.4334665473149358E-11
   62     0   2.7496151578011501E-11
   63     0   3.0437329576340505E-11
   64     0   3.4717554867792674E-11

    0     1   1.4324408628488445E-10
    1     1   1.4733518097722868E-09
    2     1   2.0531666540391093E-09
    3     1   1.0861839361348516E-09
    4     1   1.5252045213003194E-09
    5     1   1.4514955251029848E-09
    6     1   1.7627088762733722E-09
    7     1   1.8796664732585765E-09
    8     1   1.4767976953083298E-09
    9     1   1.6669755463618094E-09
   10     1   1.3737571909659796E-09
   11     1   1.6193247800958197E-09
   12     1   9.4273872400622707E-10
   13     1   1.7629488149621887E-09
   14     1   1.6536491145316018E-09
   15     1   1.1572505780266308E-09
   16     1   1.3805547815701441E-09
   17     1   1.6971894220078632E-09
   18     1   1.3522569746163399E-09
   19     1   1.1631078242176708E-09
   20     1   1.1721669340706996E-09
   21     1   1.3492808085492493E-09
   22     1   1.1175021180085418E-09
   23     1   1.3327843035698526E-09
   24     1   1.0581202162610502E-09
   25     1   1.2801024146485267E-09
   26     1   9.7572255943232192E-10
   27     1   7.3635649692711641E-10
   28     1   9.5066961567958205E-10
   29     1   1.3474906263768842E-09
   30     1   6.1257464940662769E-10
   31     1   8.8696922057841021E-10
   32     1   7.4772775484925480E-10
   33     1   1.0651522973019954E-09
   34     1   7.3811207476383155E-10
   35     1   8.2750262030283566E-10
   36     1   7.6259623117428772E-10
   37     1   6.8899432861589209E-10
   38     1   7.6804565509415097E-10
   39     1   4.2236741296416414E-10
   40     1   7.7734989782023648E-10
   41     1   5.2329930291480408E-10
   42     1   4.5350397534002124E-10
   43     1   4.6014786820304610E-10
   44     1   7.6475195098302513E-10
   45     1   2.3022554923542028E-10
   46     1   2.7419983982706384E-10
   47     1   2.3520188463551708E-10
   48     1   3.7564335075189615E-10
   49     1   2.1975786308423272E-10
   50     1   1.9475431293034566E-10
   51     1   1.2472490068080255E-10
   52     1   1.5346277573417916E-10
   53     1   2.9061812890413806E-10
   54     1   6.2619430769251299E-11
   55     1   1.7351951310020601E-10
   56     1   1.5153702738044494E-10
   57     1   7.0988572649949768E-11
   58     1   1.1358730860279297E-10
   59     1   1.3091087309766025E-10
   60     1   3.4820435683158478E-11
   61     1   1.6771773972339259E-10
   62     1   5.6027124983807526E-11
   63     1   6.2369657126700252E-11
   64     1   6.9888318258941914E-11

    0     2   2.0201999124292722E-10
    1     2   9.0085909063018570E-10
    2     2   1.2955200397226441E-09
    3     2   7.2765835141523379E-10
    4     2   1.0114168160381046E-09
    5     2   9.1909883098933605E-10
    6     2   1.1351820161566628E-09
    7     2   1.1107380100213465E-09
    8     2   9.0966198932536619E-10
    9     2   1.1481533816450058E-09
   10     2   7.5188271887787233E-10
   11     2   1.0221738375409150E-09
   12     2   6.4992297362583544E-10
   13     2   1.1670119019566565E-09
   14     2   9.6013685798927947E-10
   15     2   8.3033769788090590E-10
   16     2   9.8540542530634800E-10
   17     2   1.0696633418132889E-09
   18     2   9.1564909968980981E-10
   19     2   8.2109372333572507E-10
   20     2   8.1356769965287459E-10
   21     2   8.3909450765616437E-10
   22     2   7.1747733642180302E-10
   23     2   8.9318129841188189E-10
   24     2   7.2827490975221863E-10
   25     2   6.8243494590472724E-10
   26     2   6.0060602992019419E-10
   27     2   5.2669461920639503E-10
   28     2   6.1134902014771072E-10
   29     2   7.3640174562403010E-10
   30     2   4.0417804491515073E-10
   31     2   7.1050085278693107E-10
   32     2   4.1611724569544997E-10
   33     2   6.9298780567606427E-10
   34     2   5.2862935813226279E-10
   35     2   6.2720141357104359E-10
   36     2   4.8481581491526409E-10
   37     2   4.8484062078521528E-10
   38     2   5.2296242809663310E-10
   39     2   2.6221207758006174E-10
   40     2   4.5113971357978789E-10
   41     2   3.1245255875995154E-10
   42     2   3.5887950479104453E-10
   43     2   2.6485459296930289E-10
   44     2   4.5890075379506724E-10
   45     2   1.3890847139982410E-10
   46     2   2.1879381619155782E-10
   47     2   1.1669974823002813E-10
   48     2   2.4004990696314553E-10
   49     2   1.4602219090327933E-10
   50     2   1.3362779847861817E-10
   51     2   7.1052231645677494E-11
   52     2   9.4540569592884150E-11
   53     2   1.8876168203905081E-10
   54     2   3.5959760763259767E-11
   55     2   1.2666761353502236E-10
   56     2   9.6438070334104016E-11
   57     2   5.1796695007343771E-11
   58     2   8.3899954354803551E-11
   59     2   9.9932013790829698E-11
   60     2   2.7687280611423210E-11
   61     2   9.9713061528440276E-11
