#  kx   kyz         |phi(kx, kyz)|^2
    0     0   2.7476076845443162E-12
    1     0   1.7570259617901250E-11
    2     0   1.9410598374079940E-11
    3     0   6.5228158171678209E-12
    4     0   1.4180720511698086E-11
    5     0   1.9518066358238381E-11
    6     0   1.2480730077261472E-11
    7     0   2.2484382186644577E-11
    8     0   2.5143313736336975E-11
    9     0   1.0705618506157869E-11
   10     0   2.2236708836986246E-11
   11     0   1.1226517050109322E-11
   12     0   7.6431020155603574E-12
   13     0   2.0618740613334942E-11
   14     0   1.5667458215162733E-11
   15     0   5.3154933689947103E-12
   16     0   1.8500877856295593E-11
   17     0   1.8658928759709673E-11
   18     0   5.7741769005085317E-12
   19     0   1.5374970750922335E-11
   20     0   1.9547393122856998E-11
   21     0   1.0601467148386485E-11
   22     0   7.9516554062721679E-12
   23     0   2.5267677838205800E-11
   24     0   9.6771465276427118E-12
   25     0   2.5417563014219005E-11
   26     0   7.8855400311397622E-12
   27     0   1.0584872302413056E-11
   28     0   2.0124642498063879E-11
   29     0   1.4596212367468910E-11
   30     0   6.0537328326072222E-12
   31     0   1.9031245609373171E-11
   32     0   1.8057105474049373E-11
   33     0   5.2346481671230925E-12
   34     0   1.6175516652888438E-11
   35     0   2.0320851676527433E-11
   36     0   7.2857782564151999E-12
   37     0   1.1978843694089806E-11
   38     0   2.1597786053203885E-11
   39     0   1.1086738840927646E-11
   40     0   2.4516495527655623E-11
   41     0   2.3686613059316457E-11
   42     0   1.1633947120963290E-11
   43     0   2.0714848104097936E-11
   44     0   1.2948539804625676E-11
   45     0   6.8580700868430939E-12
   46     0   2.0019967971316498E-11
   47     0   1.6708281635864053E-11
   48     0   5.0693219441048336E-12
   49     0   1.7798396314879487E-11
   50     0   1.9208025583833529E-11
   51     0   6.3780940006176695E-12
   52     0   1.4039556591177710E-11
   53     0   2.0398467736731846E-11
   54     0   1.0782298064996252E-11
   55     0   7.7868196875530118E-12
   56     0   2.5237947772811106E-11
   57     0   9.9324228545419222E-12
   58     0   2.4637429848619041E-11
   59     0   8.3028207926759098E-12
   60     0   1.0600407177228655E-11
   61     0   1.8821158922841752E-11
   62     0   1.6406401052328497E-11
   63     0   5.2165424945189487E-12
   64     0   1.8647559278638553E-11

    0     1   1.0486380937209536E-11
    1     1   6.6955743132590783E-11
    2     1   7.3734529639576189E-11
    3     1   2.5743254041883616E-11
    4     1   5.4363517423206172E-11
    5     1   7.3615396406168511E-11
    6     1   4.8519260320417875E-11
    7     1   8.3560847041043304E-11
    8     1   9.3742989775897060E-11
    9     1   4.1858858737697143E-11
   10     1   8.3460555946473633E-11
   11     1   4.3330451608735036E-11
   12     1   2.9981103451590602E-11
   13     1   7.8204173829700034E-11
   14     1   5.9799560716100229E-11
   15     1   2.1136957593060852E-11
   16     1   7.0564040943386156E-11
   17     1   7.0844273385724532E-11
   18     1   2.2954091060076233E-11
   19     1   5.9013287729896808E-11
   20     1   7.3516187156351131E-11
   21     1   4.2108904860354657E-11
   22     1   3.1313259281506119E-11
   23     1   9.5543140944513110E-11
   24     1   3.7420735493487290E-11
   25     1   9.5922027050040217E-11
   26     1   3.1285464454515036E-11
   27     1   4.1871954177190220E-11
   28     1   7.5744419322121592E-11
   29     1   5.6008915575806760E-11
   30     1   2.4013254329544682E-11
   31     1   7.2285287663220765E-11
   32     1   6.8839394770197760E-11
   33     1   2.0867562697258578E-11
   34     1   6.1707582705447091E-11
   35     1   7.7110573965282326E-11
   36     1   2.8649076500226951E-11
   37     1   4.6112031931198309E-11
   38     1   8.1205293704732369E-11
   39     1   4.3287099587210120E-11
   40     1   9.1292529133107069E-11
   41     1   8.8162503153849713E-11
   42     1   4.5310664265416369E-11
   43     1   7.8020615493590322E-11
   44     1   4.9741548946480875E-11
   45     1   2.6981415446510773E-11
   46     1   7.6073538758377670E-11
   47     1   6.3655157553785535E-11
   48     1   2.0242048839653145E-11
   49     1   6.7912083748045570E-11
   50     1   7.2878983443482532E-11
   51     1   2.5285230305814059E-11
   52     1   5.3895936906800898E-11
   53     1   7.6752776561279908E-11
   54     1   4.2543076512010144E-11
   55     1   3.1013561295971581E-11
   56     1   9.5075626055595990E-11
   57     1   3.8403193579912894E-11
   58     1   9.3280727633310079E-11
   59     1   3.2490276533299006E-11
   60     1   4.2204014366656231E-11
   61     1   7.0772234769517789E-11
   62     1   6.2963113638695686E-11
   63     1   2.0717210341453629E-11
   64     1   7.0959842620956194E-11

    0     2   1.4146730834517642E-12
    1     2   8.9850972852980793E-12
    2     2   9.7912278910517609E-12
    3     2   3.9028434301687503E-12
    4     2   7.4468977360366985E-12
    5     2   9.5339518320407926E-12
    6     2   6.9805773015786728E-12
    7     2   1.0257985721039842E-11
    8     2   1.1638839535738839E-11
    9     2   6.1428040806274300E-12
   10     2   1.0616673091571954E-11
   11     2   6.0771274075531704E-12
   12     2   4.4515977984236899E-12
   13     2   1.0327328383606636E-11
   14     2   8.0693714927415806E-12
   15     2   3.2855594216384624E-12
   16     2   9.4982233785898724E-12
   17     2   9.3910206126978982E-12
   18     2   3.5615871698593015E-12
   19     2   8.1145666965149584E-12
   20     2   9.4329220050910577E-12
   21     2   6.4935643976080588E-12
   22     2   4.8514506996416057E-12
   23     2   1.2451286138536122E-11
   24     2   5.2999837035681606E-12
   25     2   1.2415018808628136E-11
   26     2   4.9511577746095304E-12
   27     2   6.3752852804745427E-12
   28     2   9.7420540210704890E-12
   29     2   7.6956004598403812E-12
   30     2   3.6998677900992252E-12
   31     2   9.5946459031041239E-12
   32     2   9.2515302420804727E-12
   33     2   3.2691063191948819E-12
   34     2   8.3121850491219344E-12
   35     2   1.0200737464058676E-11
   36     2   4.2888597014171629E-12
   37     2   6.4086549112901649E-12
   38     2   1.0396825391058435E-11
   39     2   6.3213097703060640E-12
   40     2   1.1283082324689796E-11
   41     2   1.0880258687676252E-11
   42     2   6.5610140684937932E-12
   43     2   1.0051291084832071E-11
   44     2   6.8633438897473879E-12
   45     2   4.0479827898284584E-12
   46     2   1.0111348571472616E-11
   47     2   8.5356434129896656E-12
   48     2   3.1882173191840802E-12
   49     2   9.1535196378354203E-12
   50     2   9.6389080798305303E-12
   51     2   3.8875603862222514E-12
   52     2   7.4167981706409660E-12
   53     2   9.8615422178762831E-12
   54     2   6.4251636401892944E-12
   55     2   4.9564098508232662E-12
   56     2   1.2231917874592525E-11
   57     2   5.4359095972769709E-12
   58     2   1.2211735759649938E-11
   59     2   4.9371494037914650E-12
   60     2   6.5552402610263579E-12
   61     2   9.0753285704081151E-12
   62     2   8.6519419800751209E-12
   63     2   3.2069140676240729E-12
   64     2   9.4770224230494485E-12

    0     3   2.9911657433354538E-10
    1     3   1.9068011178492321E-09
    2     3   2.0930933396497662E-09
    3     3   7.6042891179759792E-10
    4     3   1.5577760925209071E-09
    5     3   2.0736739402818569E-09
    6     3   1.4110345711552896E-09
    7     3   2.3147751054354727E-09
    8     3   2.6060383793643717E-09
    9     3   1.2247130672782340E-09
   10     3   2.3381176463835811E-09
   11     3   1.2504700872975322E-09
   12     3   8.8021901329487568E-10
   13     3   2.2162366971107966E-09
   14     3   1.7058530755817584E-09
   15     3   6.2923234066024004E-10
   16     3   2.0113861219858320E-09
   17     3   2.0101132471867443E-09
   18     3   6.8293610830810035E-10
   19     3   1.6928954752122165E-09
   20     3   2.0652347519142946E-09
   21     3   1.2500710106384378E-09
   22     3   9.2153480570889701E-10
   23     3   2.6961907958893320E-09
   24     3   1.0835027682445918E-09
   25     3   2.7011824218366081E-09
   26     3   9.2712138467804132E-10
   27     3   1.2384040664178744E-09
   28     3   2.1292915230679512E-09
   29     3   1.6063732796968615E-09
   30     3   7.1289928967278248E-10
   31     3   2.0517717595600382E-09
   32     3   1.9613109572624142E-09
   33     3   6.2268911641616064E-10
   34     3   1.7593589931124605E-09
   35     3   2.1863927583460522E-09
   36     3   8.4314303102582742E-10
   37     3   1.3271166281711460E-09
   38     3   2.2794058613389009E-09
   39     3   1.2646178183142633E-09
   40     3   2.5344191729304046E-09
   41     3   2.4462604003054186E-09
   42     3   1.3203503963698592E-09
   43     3   2.1942530368413271E-09
   44     3   1.4284502960159585E-09
   45     3   7.9455908812294043E-10
   46     3   2.1600982945111697E-09
   47     3   1.8124147695978284E-09
   48     3   6.0501057071989996E-10
   49     3   1.9365744544708523E-09
   50     3   2.0663568405615579E-09
   51     3   7.5013285073444896E-10
   52     3   1.5465048862871552E-09
   53     3   2.1568004897279185E-09
   54     3   1.2552450837519395E-09
   55     3   9.2232549603775272E-10
   56     3   2.6722641893607456E-09
   57     3   1.1117272155101706E-09
   58     3   2.6361157084052557E-09
   59     3   9.5048237484914474E-10
   60     3   1.2555107492645876E-09
   61     3   1.9879812842961539E-09
   62     3   1.8058049354234959E-09
   63     3   6.1601791947270084E-10
   64     3   2.0179521994006811E-09

    0     4   8.7930002707682458E-11
    1     4   5.6102161007150866E-10
    2     4   6.1693543501673446E-10
    3     4   2.1936010280432254E-10
    4     4   4.5677438445201436E-10
    5     4   6.1375177990119043E-10
    6     4   4.1047551216891954E-10
    7     4   6.9118681252283937E-10
    8     4   7.7667261785723645E-10
    9     4   3.5512903813796449E-10
   10     4   6.9403833974853799E-10
   11     4   3.6525853010463504E-10
   12     4   2.5476806537961392E-10
   13     4   6.5381907925419820E-10
   14     4   5.0143997789135510E-10
   15     4   1.8077160087636155E-10
