# kyz             |phi(kyz)|^2
    0   2.6711610249277336E-08
    1   5.3633439269833283E-08
    2   3.4740779945684418E-08
    3   5.7065648046203579E-08
    4   1.0688211859842679E-07
    5   5.1103560007016918E-08
    6   8.4474626049652622E-08
    7   6.3907544932512911E-08
    8   5.5511580492898901E-08
    9   8.8673860387130584E-08
   10   5.1425940627212274E-08
   11   1.0094357948757910E-07
   12   6.2206707747436185E-08
   13   6.0585787445895487E-08
   14   1.3507866292043704E-07
   15   1.3883581276699526E-06
   16   1.1687982962534290E-08
   17   1.3422441561114830E-08
   18   2.1855778650345548E-07
   19   1.0154958899421699E-07
   20   4.6971749933244399E-08
   21   6.8041368372301730E-08
   22   7.0070842855135150E-08
   23   4.4989931205708247E-08
   24   7.8188528045623492E-08
   25   4.3454423878215822E-08
   26   7.0730581865315930E-08
   27   6.2422332208636167E-08
   28   4.6273868894143304E-08
   29   9.5742256302515369E-08
   30   6.6674421872409972E-08
   31   1.5960729798490564E-08
   32   1.0334955219429796E-08
   33   4.0379677460881997E-06
   34   1.5665943141520465E-07
   35   7.8755654268970690E-08
   36   7.9446494074198909E-08
   37   1.1652864295294056E-07
   38   7.5336799845120420E-08
   39   1.1363193207901946E-07
   40   8.3441077500353175E-08
   41   9.7259597196737715E-08
   42   1.2175303502157635E-07
   43   9.8208759761787037E-08
   44   1.6014223008367565E-07
   45   8.8486008575270756E-08
   46   1.3242328184434561E-07
   47   2.4889967548364279E-07
   48   3.2776284836089332E-05
   49   2.7109010544922309E-08
   50   4.1596038685323124E-08
   51   5.6412147509897290E-08
   52   1.0813406257161303E-07
   53   7.3124809923344339E-08
   54   9.0795077013933085E-08
   55   8.2854580739543574E-08
   56   6.8177621459615713E-08
   57   8.9782860891883129E-08
   58   6.1556205689956353E-08
   59   8.1944698139342055E-08
   60   6.5153400885446060E-08
   61   5.5542276401276496E-08
   62   9.2277177361510730E-08
   63   1.8141678638640299E-07
   64   2.0926905477483972E-08
