# kyz             |phi(kyz)|^2
    0   9.5660793818027047E-10
    1   3.6533093497942130E-09
    2   4.9558524325085572E-10
    3   1.0427613663697026E-07
    4   3.0638067374032211E-08
    5   1.3373311918808870E-09
    6   1.8087797926913406E-08
    7   1.0407699936251232E-08
    8   5.7913858162166758E-09
    9   1.7472325305227701E-08
   10   1.4240994724668284E-09
   11   3.0045429698241945E-08
   12   2.7593453178825963E-08
   13   4.1692002236505703E-09
   14   5.0277700936076464E-08
   15   2.9551870983863771E-06
   16   2.1780236962745105E-08
   17   1.6659363101365495E-08
   18   6.0221728368949990E-07
   19   2.8902162263109125E-08
   20   7.2860758820900130E-10
   21   1.7551487796574519E-08
   22   1.6381704125870683E-08
   23   9.2466245831741236E-10
   24   1.1598281199480818E-08
   25   1.5227101437931263E-09
   26   1.3723729616323820E-08
   27   1.4082433875287438E-08
   28   3.7757313888562771E-10
   29   2.4438634114542866E-08
   30   3.3491152187106400E-07
   31   1.6624462939263770E-08
   32   2.9476513597004955E-08
   33   1.0354600636700800E-05
   34   7.9658429305143135E-08
   35   1.1069853960449475E-08
   36   3.9003421868539822E-08
   37   4.5218925280991271E-08
   38   5.9976829032383865E-09
   39   2.9217137463244847E-08
   40   1.2518709531240423E-08
   41   1.5804311322631002E-08
   42   3.1813846088906067E-08
   43   9.1182150036947991E-09
   44   5.8882608176014200E-08
   45   5.1823189085861239E-08
   46   2.4989860161331910E-08
   47   1.5752449468443470E-07
   48   1.0670823888041283E-04
   49   9.4837137960817369E-08
   50   3.9010482238567026E-08
   51   2.3963494552275091E-07
   52   1.2287376551800492E-08
   53   1.2147934775003482E-09
   54   9.1409737743790770E-09
   55   9.0559872828514154E-09
   56   2.8764182459429721E-09
   57   7.0090347754294110E-09
   58   5.2186840254429112E-10
   59   1.6283795503408647E-08
   60   2.0327145350119154E-08
   61   4.1832537821805246E-10
   62   2.7435758606032559E-08
   63   1.2654803037212918E-06
   64   2.6025289036922311E-08
