#   k               |phi(k)|^2
    0   6.2133886953240563E-11
    1   2.3492100373833433E-09
    2   5.5075036297760877E-09
    3   5.8821893379848543E-09
    4   1.2197449350468578E-08
    5   1.6163110642455015E-08
    6   1.7185292000326626E-08
    7   2.3517764818855543E-08
    8   2.5529096940252590E-08
    9   2.8275556834161281E-08
   10   3.0486701270056650E-08
   11   3.3100077516234136E-08
   12   3.5544358775773580E-08
   13   4.0799369233712817E-08
   14   5.2227404551969541E-08
   15   2.5679379011655676E-07
   16   8.4861587748076133E-08
   17   1.2669790685899654E-07
   18   1.5036916304700546E-07
   19   1.4910372211490619E-07
   20   7.5034194633526326E-08
   21   1.7475266808547872E-07
   22   7.5349406664382256E-08
   23   8.9860145432915332E-08
   24   1.1151013633270223E-07
   25   1.0279185351032035E-07
   26   9.9032266176720701E-08
   27   9.7769608110827606E-08
   28   8.2273887683180829E-08
   29   1.0242411611534445E-07
   30   1.3423209207310415E-07
   31   9.2968722704686070E-08
   32   7.3912012690127185E-08
   33   9.4423595992469856E-07
   34   4.6485121466906841E-07
   35   4.1712911765867924E-07
   36   2.7850014216959495E-07
   37   4.2466482919608351E-07
   38   2.4656117050049844E-07
   39   3.6705062170843985E-07
   40   2.2367424233529156E-07
   41   1.9790919010768881E-07
   42   2.5442277111472004E-07
   43   2.5474664430044108E-07
   44   2.0810600596395776E-07
   45   2.1911541501505144E-07
   46   2.1827279907477538E-07
   47   1.9685004986219784E-07
   48   8.1968905035605031E-06
   49   4.2468839774282715E-06
   50   2.9084629486370040E-06
   51   1.3087760351891406E-06
   52   2.5035324780621567E-06
   53   1.6618522345176602E-06
   54   1.6508094558590706E-06
   55   1.7682619002823548E-06
   56   9.1950616207716571E-07
   57   1.3362304766588669E-06
   58   8.5723256683049643E-07
   59   7.7084781234035033E-07
   60   8.1986862058091718E-07
   61   1.2034470681677475E-06
   62   6.3278487943625352E-07
   63   7.9705819319973548E-07
   64   4.5790573708166001E-07
