#   k               |phi(k)|^2
    0   2.7476076845443162E-12
    1   9.5012383687701575E-11
    2   1.1333612627345773E-10
    3   4.3351799451217643E-09
    4   2.1023070952644645E-09
    5   4.4748876625603258E-09
    6   2.9891951828841559E-09
    7   4.0230705179113893E-09
    8   5.2087222979908334E-09
    9   3.6810157422717294E-09
   10   4.9789239383245384E-09
   11   4.7352512581835498E-09
   12   5.3158760343729854E-09
   13   7.1878550905318547E-09
   14   9.3003630194514073E-09
   15   2.5209822810103072E-07
   16   1.1404281202324473E-07
   17   1.1886329779235242E-07
   18   1.6547015176752250E-07
   19   1.2584143881749293E-07
   20   7.7003227832509794E-08
   21   9.5680084082288477E-08
   22   8.7874097765093618E-08
   23   3.2535458690089885E-08
   24   7.9098918713500102E-08
   25   1.0799338665908717E-07
   26   5.6015781279295307E-08
   27   9.2902417598133306E-08
   28   4.5353751311866818E-08
   29   1.0361688112055684E-07
   30   1.2857140629500226E-07
   31   1.0281109922140104E-07
   32   7.6206433644650965E-08
   33   1.5570165758116682E-06
   34   5.8871785074962334E-07
   35   5.6560653678500041E-07
   36   3.1791637723484705E-07
   37   3.5247484225066465E-07
   38   4.7360896083613630E-07
   39   3.0732964191868162E-07
   40   4.6757247208923859E-07
   41   3.4580900158001711E-07
   42   3.1938982718463165E-07
   43   4.9421231899607154E-07
   44   1.4896279727898135E-07
   45   5.0323716786699142E-07
   46   1.5047322792826468E-07
   47   2.5681967710294191E-07
   48   1.7871096832229622E-05
   49   7.2430438471667997E-06
   50   6.6674897820992262E-06
   51   2.6027334447508573E-06
   52   4.4448431101211360E-06
   53   4.1815830466811403E-06
   54   4.1594607426214120E-06
   55   3.6923151427517145E-06
   56   2.3382051478521033E-06
   57   4.5196994676963458E-06
   58   2.3462563363649728E-06
   59   2.8670179798516318E-06
   60   2.0355665357108464E-06
   61   3.9323340516885416E-06
   62   3.5978939780415697E-06
   63   4.7359322948873046E-06
   64   2.7556235871463635E-06
