#  kx              |phi(kx)|^2
    0   1.7091354274483577E+00
    1   2.4951560431396027E+00
    2   1.1950926627705385E+00
    3   6.2956790805509433E-01
    4   3.6571735280942763E-01
    5   2.3200383347296041E-01
    6   1.5808457706589901E-01
    7   1.1374998341454889E-01
    8   8.5245827768489518E-02
    9   6.5869947432138379E-02
   10   5.2113714441442430E-02
   11   4.2009331430945242E-02
   12   3.4264804680774044E-02
   13   2.8388303776989438E-02
   14   2.3771227008695758E-02
   15   2.0086798250906743E-02
   16   1.7012448158053396E-02
   17   1.4580531232855225E-02
   18   1.2571326835632940E-02
   19   1.0896541484473310E-02
   20   9.4143589195231237E-03
   21   8.2286024403433449E-03
   22   7.2194750068750096E-03
   23   6.2925306938054430E-03
   24   5.5535952234903119E-03
   25   4.8585907915420345E-03
   26   4.3085395365561538E-03
   27   3.8298177775095881E-03
   28   3.3643112701963710E-03
   29   3.0010400989180031E-03
   30   2.6397761121715888E-03
   31   2.3214333684607796E-03
   32   2.0785593434712842E-03
   33   1.8283730664673823E-03
   34   1.6405673658612299E-03
   35   1.4426502843214862E-03
   36   1.2671526832753869E-03
   37   1.1393362730261400E-03
   38   9.9960649742379735E-04
   39   8.7556071673104891E-04
   40   7.6547910458109433E-04
   41   6.8915427523480780E-04
   42   6.0119565752406504E-04
   43   5.2321459824621443E-04
   44   4.5415999824696652E-04
   45   3.9309570965187480E-04
   46   3.3918581519314019E-04
   47   2.9168224105012444E-04
   48   2.4991398102583320E-04
   49   2.1327801057746652E-04
   50   1.7106097860256786E-04
   51   1.4408786991194472E-04
   52   1.2071792478769692E-04
   53   9.3315148382711402E-05
   54   7.6807658035594613E-05
   55   5.7297704280440001E-05
   56   4.1566833903443282E-05
   57   3.2861071922409864E-05
   58   2.2573900770553625E-05
   59   1.2629135644890186E-05
   60   7.6346862427896395E-06
   61   3.3422539538457703E-06
   62   7.9506426527516044E-07
   63   8.4921516412806446E-08
   64   5.2342369290731617E-33
   65   7.3953455773696110E-33
   66   4.2986489404989182E-33
   67   3.1196189732970857E-33
   68   2.3167323755353324E-33
   69   2.7619835503998488E-33
   70   2.0078309535122747E-33
   71   2.5968260348454962E-33
   72   2.0395090855975877E-33
   73   2.8570671306624381E-33
   74   1.6160327102600389E-33
   75   2.1443625592902108E-33
   76   1.7191744822287874E-33
   77   2.0762111344624817E-33
   78   1.9122681002969283E-33
   79   2.7358842327842951E-33
   80   2.7690481968319502E-33
   81   3.0303059664774176E-33
   82   1.7508305834807998E-33
   83   2.0424857779640999E-33
   84   1.6129572840628684E-33
   85   1.8369099814072176E-33
   86   1.9655770760022931E-33
   87   2.2357968979119688E-33
   88   1.6252845636023021E-33
   89   2.3387820286577939E-33
   90   1.9348436253530684E-33
   91   2.3425265991309605E-33
   92   1.8640235328431518E-33
   93   2.5836496246287470E-33
   94   2.9237141348692930E-33
   95   4.8274012948398934E-33
   96   3.6266209444126052E-33
   97   4.4949106200374779E-33
   98   3.0150834916456803E-33
   99   2.8317497012210266E-33
  100   1.7275982567855404E-33
  101   1.9870923636632460E-33
  102   2.1472916223066478E-33
  103   2.4016064935591861E-33
  104   1.8743381530924840E-33
  105   2.3241497696415578E-33
  106   1.8503203692367569E-33
  107   1.9315628227005693E-33
  108   1.6456810077547596E-33
  109   2.0967498223144993E-33
  110   2.0569205751484215E-33
  111   3.3486182525828963E-33
  112   2.2584103517454849E-33
  113   2.9578172247959748E-33
  114   1.7477317944768987E-33
  115   2.0713917385614385E-33
  116   1.7143052946284037E-33
  117   2.1621492768401757E-33
  118   2.0268667701283022E-33
  119   2.3885849713896432E-33
  120   1.7219777844253492E-33
  121   2.5265853682643987E-33
  122   2.3237841764774086E-33
  123   2.7426166865504531E-33
  124   3.1367629212950721E-33
  125   3.4945831893157929E-33
  126   5.0940317918831295E-33
  127   1.0177109910701725E-32
  128   7.3070573822231219E-33
