#  kx              |phi(kx)|^2
    0   2.6978835229102667E-02
    1   1.0196079290034110E-01
    2   8.2379515739517462E-02
    3   6.6611845925982904E-02
    4   6.8208540484877539E-02
    5   5.4540639907596819E-02
    6   5.0915099364989030E-02
    7   5.8395469305470495E-02
    8   5.5164632835636961E-02
    9   3.9186130464648333E-02
   10   2.6769593186019340E-02
   11   1.8082866632731395E-02
   12   1.1950286564600968E-02
   13   7.6302729765498414E-03
   14   3.6879156313603667E-03
   15   1.2541207839292289E-03
   16   8.3718515543321456E-35
   17   2.6186578987144134E-34
   18   1.7112285217793917E-34
   19   2.1207290065162156E-34
   20   2.2201150663395767E-34
   21   2.7079614413756380E-34
   22   1.8787024916011138E-34
   23   2.4923888374693722E-34
   24   1.0646440576062505E-34
   25   2.6617384166142444E-34
   26   2.2988847632845406E-34
   27   2.8211765900777597E-34
   28   2.1879129048071249E-34
   29   2.2901205303004952E-34
   30   1.9666656223506463E-34
   31   2.6086700297351662E-34
   32   9.3889536459147448E-35
   33   2.6533423961221729E-34
   34   2.0786942953561084E-34
   35   2.1119707381091251E-34
   36   1.7117118656084337E-34
   37   3.3332290327414964E-34
   38   2.0921714053083819E-34
   39   3.5630906368976148E-34
   40   1.5810304164741443E-34
   41   2.9822022763026949E-34
   42   2.0678128124724359E-34
   43   2.1264265652532775E-34
   44   1.3610231676069517E-34
   45   1.7461741002742181E-34
   46   1.3117815282378250E-34
   47   1.6985694472714949E-34
   48   7.7271827620769913E-35
   49   1.7512011553413840E-34
   50   1.5176230550736594E-34
   51   1.8559677978689367E-34
   52   1.3249124142249191E-34
   53   2.0808375254818859E-34
   54   2.0874686642452324E-34
   55   2.9385590265193399E-34
   56   2.2444386191240843E-34
   57   3.1679233270489479E-34
   58   2.9767136079548541E-34
   59   3.0559407891217159E-34
   60   2.4626897063788997E-34
   61   2.6444239613968441E-34
   62   2.5040268880198384E-34
   63   2.7125439092495326E-34
   64   1.4626456376062795E-34
   65   3.0312282624732220E-34
   66   2.4674534734214011E-34
   67   2.7083706818900216E-34
   68   2.6235397626468096E-34
   69   3.1730445494109488E-34
   70   2.7887286647307958E-34
   71   3.1743867343798183E-34
   72   2.2472091395461597E-34
   73   2.7926986271899809E-34
   74   1.8597734785106062E-34
   75   2.1569991660405109E-34
   76   1.3970536877867567E-34
   77   1.9182097381109800E-34
   78   1.5526821311511486E-34
   79   1.7045702300856424E-34
   80   7.6505318355167820E-35
   81   1.7488960062783968E-34
   82   1.3599292009830801E-34
   83   1.8239793398021504E-34
   84   1.1031038289530659E-34
   85   1.7877716591536752E-34
   86   1.5321933321574792E-34
   87   2.0170146846046174E-34
   88   1.3266576918967309E-34
   89   2.0802742269498442E-34
   90   1.8330122295344340E-34
   91   2.5006553027172838E-34
   92   1.5482232737484925E-34
   93   2.2432038847729557E-34
   94   1.7388426834354984E-34
   95   2.7403397561641697E-34
   96   1.0228557397116486E-34
   97   2.4555258486806432E-34
   98   1.8135990593674632E-34
   99   2.1745206408187680E-34
  100   1.7068888742467742E-34
  101   2.3257786601041889E-34
  102   1.9710680292605847E-34
  103   2.6442491078343291E-34
  104   1.5754153035458216E-34
  105   2.4164601832534349E-34
  106   1.6789031656090863E-34
  107   2.0041502126511963E-34
  108   1.1763290864721947E-34
  109   1.6734496839238885E-34
  110   1.3370954897403360E-34
  111   1.9239043770216384E-34
  112   6.6824710359935293E-35
  113   1.8434510616245561E-34
  114   1.3981840419560040E-34
  115   2.0401441429969677E-34
  116   1.4989691771467157E-34
  117   2.3037690188772312E-34
  118   2.6160529527436580E-34
  119   3.1521838841794281E-34
  120   3.3467073970348795E-34
  121   3.9888272803485101E-34
  122   3.8303384521261760E-34
  123   3.9461984205710961E-34
  124   3.9480786512372346E-34
  125   3.6605561039896872E-34
  126   3.2614272174542520E-34
  127   4.8745846433491666E-34
  128   2.5489719260029669E-34
