#  kx              |phi(kx)|^2
    0   3.8658443216795530E-03
    1   1.6853646228263991E-02
    2   1.5514472004973096E-02
    3   1.4283347523878796E-02
    4   1.3151428448715629E-02
    5   1.2110605043241945E-02
    6   1.1153439473146490E-02
    7   1.0273108888993090E-02
    8   1.0052391820010243E-02
    9   9.2507063462589512E-03
   10   8.5140572453141668E-03
   11   7.8370830062305420E-03
   12   7.5088999888669903E-03
   13   6.9036037972763382E-03
   14   6.6992750791176432E-03
   15   6.1538860524044782E-03
   16   5.8554403564676800E-03
   17   5.3721960847480854E-03
   18   5.1772017187093388E-03
   19   4.9750923205125102E-03
   20   4.6917282222592501E-03
   21   4.2901073238623662E-03
   22   4.0948772715844340E-03
   23   3.8327531079350215E-03
   24   3.6353291377321877E-03
   25   3.5032251281640670E-03
   26   3.2909229540382915E-03
   27   3.0795535690805627E-03
   28   2.8983942389032157E-03
   29   2.7391943134122123E-03
   30   2.5127083105904949E-03
   31   2.3042342808873234E-03
   32   2.0785593434712842E-03
   33   1.8283730664673818E-03
   34   1.6405673658612301E-03
   35   1.4426502843214860E-03
   36   1.2671526832753876E-03
   37   1.1393362730261402E-03
   38   9.9960649742379757E-04
   39   8.7556071673104870E-04
   40   7.6547910458109423E-04
   41   6.8915427523480802E-04
   42   6.0119565752406515E-04
   43   5.2321459824621443E-04
   44   4.5415999824696657E-04
   45   3.9309570965187458E-04
   46   3.3918581519314014E-04
   47   2.9168224105012439E-04
   48   2.4991398102583320E-04
   49   2.1327801057746646E-04
   50   1.7106097860256777E-04
   51   1.4408786991194466E-04
   52   1.2071792478769693E-04
   53   9.3315148382711388E-05
   54   7.6807658035594613E-05
   55   5.7297704280439994E-05
   56   4.1566833903443282E-05
   57   3.2861071922409837E-05
   58   2.2573900770553628E-05
   59   1.2629135644890154E-05
   60   7.6346862427896513E-06
   61   3.3422539538457678E-06
   62   7.9506426527517293E-07
   63   8.4921516412805890E-08
   64   3.6823804437445791E-35
   65   1.1155660395437897E-34
   66   1.0459679258402957E-34
   67   1.1073369764175907E-34
   68   8.7951591596554990E-35
   69   1.0904115734034854E-34
   70   8.3242856661234539E-35
   71   8.1643451095076645E-35
   72   6.7534274509321510E-35
   73   1.0185064955361480E-34
   74   9.1648147441040006E-35
   75   1.0338505531877529E-34
   76   5.8600184539398552E-35
   77   1.0643729350158202E-34
   78   9.7962633879559506E-35
   79   9.7176132936705152E-35
   80   5.3673733561103921E-35
   81   9.4375597463831548E-35
   82   7.8747321955667650E-35
   83   9.8787764372338373E-35
   84   6.9766614261056776E-35
   85   1.0166396807894033E-34
   86   8.1356052291003383E-35
   87   9.5716000025893445E-35
   88   5.8419181888407939E-35
   89   9.1727416271936178E-35
   90   8.0340012678950757E-35
   91   1.0840086223483161E-34
   92   9.2285933482420224E-35
   93   1.0486255845630141E-34
   94   9.7079016644481755E-35
   95   9.2604609123883528E-35
   96   5.0259539750945225E-35
   97   9.4193164138102996E-35
   98   1.0388026958938650E-34
   99   1.2425577575800380E-34
  100   8.4232188623175195E-35
  101   1.1261945310085333E-34
  102   1.0760201682220511E-34
  103   1.0030750578448787E-34
  104   6.5983465346124603E-35
  105   1.0566696973674515E-34
  106   9.5896553364544425E-35
  107   1.1915914236691470E-34
  108   9.8322107735864887E-35
  109   1.0018393942042831E-34
  110   9.2547620343018283E-35
  111   1.0332150981895517E-34
  112   5.7820209527570402E-35
  113   1.0015093173420765E-34
  114   7.6926910080925675E-35
  115   1.1640636906479008E-34
  116   7.0639096316108530E-35
  117   1.1158535563932466E-34
  118   8.0706357028759235E-35
  119   1.0506495084094228E-34
  120   6.2213724772363925E-35
  121   1.0188619690833068E-34
  122   9.0108868654864730E-35
  123   1.0751440468267310E-34
  124   9.6907618142840976E-35
  125   1.2087191203716398E-34
  126   9.2093406911591442E-35
  127   9.2712413221789117E-35
  128   6.6425636399702229E-35
