#  kx   kyz         |phi(kx, kyz)|^2
    0     0   2.7083389842945504E-35
    1     0   4.7137323467973729E-35
    2     0   6.3059394449861613E-35
    3     0   8.2049505687395668E-36
    4     0   4.9429537452077190E-36
    5     0   3.6734198463196485E-36
    6     0   5.5307009206188627E-36
    7     0   2.2578904674144114E-36
    8     0   5.2227581185865018E-36
    9     0   4.9985228357561282E-36
   10     0   2.4786948073657074E-36
   11     0   5.4954732703096557E-36
   12     0   5.8216138451084946E-36
   13     0   6.0406905229789568E-36
   14     0   1.1156046774972959E-35
   15     0   3.0397462800905568E-36
   16     0   5.9168623069995011E-36
   17     0   1.6125877297733139E-36
   18     0   4.6210739279872078E-36
   19     0   4.6336051293141110E-36
   20     0   5.0653370027008197E-37
   21     0   2.8106831941634110E-36
   22     0   6.4954270387441766E-37
   23     0   3.0589018325100868E-36
   24     0   1.1049057489751160E-35
   25     0   4.7877579653080241E-38
   26     0   1.4693865400976745E-36
   27     0   4.6280721961135860E-37
   28     0   1.8590636108559901E-36
   29     0   2.2636169461197583E-35
   30     0   1.1876884709846565E-36
   31     0   6.3199021424359276E-36
   32     0   1.5522189815554247E-36
   33     0   5.1649921432524772E-37
   34     0   8.1255144019131505E-37
   35     0   2.3833182130231090E-36
   36     0   8.4303747863696379E-36
   37     0   2.8673576212176109E-36
   38     0   8.3946445756935815E-38
   39     0   9.9157582114578359E-36
   40     0   2.6629128970634089E-37
   41     0   3.8736093104980346E-36
   42     0   4.5909268381261537E-37
   43     0   4.2900783016547292E-36
   44     0   7.0168408731150279E-36
   45     0   6.4432395224463671E-37
   46     0   4.4575105619002689E-36
   47     0   1.8041114340831374E-36
   48     0   8.1014440091620234E-37
   49     0   4.6288266767796408E-36
   50     0   6.7871238133907713E-36
   51     0   4.4019758939922362E-36
   52     0   4.6226289094311875E-36
   53     0   1.7071941824151335E-36
   54     0   2.5142158358031918E-36
   55     0   2.5074645175054893E-36
   56     0   7.5765768789031227E-37
   57     0   2.3031942954257986E-36
   58     0   1.1561903322270540E-36
   59     0   5.9837581687087477E-37
   60     0   1.2269934177856718E-36
   61     0   2.9914961767464002E-36
   62     0   1.6103188158199379E-35
   63     0   1.5226573505820495E-35
   64     0   2.6780998512971279E-35
   65     0   1.2324422594546716E-35
   66     0   1.7518258359623827E-35
   67     0   7.3843496499323436E-37
   68     0   2.5737736650570243E-37
   69     0   1.2029242077420601E-37
   70     0   3.7889899753469877E-37
   71     0   6.8454525517406723E-36
