#  kx   kyz         |phi(kx, kyz)|^2
    0     0   7.9040240149290612E-35
    1     0   9.9711308308500538E-36
    2     0   2.8526370675182778E-37
    3     0   6.2888487668756730E-37
    4     0   4.7146045643745937E-37
    5     0   1.3103288745427830E-38
    6     0   3.2149701826984827E-38
    7     0   1.3919875216220339E-37
    8     0   5.2210322393817160E-37
    9     0   1.4046626728701662E-36
   10     0   3.4944900779577952E-37
   11     0   3.5804830636170922E-37
   12     0   2.5493872892293065E-37
   13     0   2.6166170822908127E-39
   14     0   1.3894883818684528E-39
   15     0   2.2858568201960767E-37
   16     0   1.3143526336686133E-36
   17     0   1.8394117692128602E-37
   18     0   1.3592863895424493E-38
   19     0   1.7091745737627738E-37
   20     0   7.3024137036172504E-38
   21     0   5.2254506858926434E-37
   22     0   9.2250404929414152E-39
   23     0   3.3286643401383859E-38
   24     0   1.5065253780707843E-36
   25     0   2.8193011562044287E-37
   26     0   4.1621283193425662E-37
   27     0   9.8167758238033379E-39
   28     0   3.8948149538256894E-37
   29     0   7.1499662498000545E-37
   30     0   7.3461180533963899E-38
   31     0   5.0619734386873018E-37
   32     0   1.1163095477124051E-36
   33     0   4.5605173296278304E-37
   34     0   1.9447407656826375E-38
   35     0   8.7437179602926359E-38
   36     0   7.8174653002281815E-37
   37     0   3.6960503855128471E-37
   38     0   1.7371921313807446E-37
   39     0   3.3485020030130955E-37
   40     0   2.9829024576558493E-37
   41     0   2.3966422552317848E-37
   42     0   1.1931142657633612E-37
   43     0   2.2065062959069278E-38
   44     0   2.5720450769738596E-37
   45     0   6.4122271418331869E-38
   46     0   6.3172628942296200E-38
   47     0   6.7673507713986818E-37
   48     0   4.9992644150414570E-37
   49     0   1.5157536435257625E-37
   50     0   3.5563572735314624E-37
   51     0   3.4282170908155707E-38
   52     0   4.9508366905061539E-37
   53     0   2.6301999737689724E-37
   54     0   4.0727175039947544E-37
   55     0   1.9520362703483824E-38
   56     0   3.6009193459407424E-37
   57     0   9.8107409922868615E-37
   58     0   4.6515653978672740E-38
   59     0   1.7063773813301835E-37
   60     0   1.8918374818493388E-37
   61     0   1.8846219326974316E-37
   62     0   4.1468328967373017E-37
   63     0   3.0877533188683342E-36
   64     0   1.5185716754537581E-36
   65     0   2.5413435961653062E-36
   66     0   1.7782716095714265E-37
   67     0   3.1883469976176047E-38
   68     0   6.4233282736964423E-38
   69     0   3.7081939648886645E-37
   70     0   3.5535608133117719E-37
   71     0   1.5162891061132925E-37
   72     0   4.4488599100817930E-37
   73     0   1.7127588581151907E-36
   74     0   4.8082163749883606E-38
   75     0   9.8559086523543058E-38
   76     0   4.1658111572894956E-37
   77     0   4.3610785515753036E-37
   78     0   3.1273802029080713E-39
   79     0   1.3404399971405229E-36
   80     0   3.5703686012394329E-37
   81     0   1.1600928112588538E-36
   82     0   2.3883970089931729E-37
   83     0   1.6338019976747361E-38
   84     0   4.2852988289193834E-37
   85     0   1.2629419142915508E-38
   86     0   6.6537397876227060E-37
   87     0   2.0374148775350311E-36
   88     0   6.5015295283758847E-37
   89     0   5.1855506774215227E-38
   90     0   1.0749532863670267E-37
   91     0   6.4979645363901006E-38
   92     0   1.2525452500679183E-36
   93     0   2.3756691813904738E-37
   94     0   5.2284571010184639E-37
   95     0   1.5147846498006018E-36
   96     0   1.4794035320376875E-36
   97     0   4.4012789952648016E-38
