#  kx   kyz         |phi(kx, kyz)|^2
    0     0   4.7019774032891500E-38
    1     0   8.0521363031326694E-37
    2     0   4.7019774032891500E-38
    3     0   3.8203566401724344E-37
    4     0   7.0676597843190036E-37
    5     0   8.8309013105524349E-37
    6     0   7.4203080895656899E-37
    7     0   8.6986581960849276E-37
    8     0   2.3333562863822407E-36
    9     0   9.6390536767427576E-37
   10     0   2.1746645490212319E-37
   11     0   3.0562853121379475E-37
   12     0   1.1754943508222875E-37
   13     0   2.8799611595146044E-37
   14     0   9.9917019819894438E-38
   15     0   1.9983403963978888E-37
   16     0   1.0065170378915837E-36
   17     0   6.0244085479642235E-37
   18     0   5.8774717541114375E-38
   19     0   4.2611670217307922E-37
   20     0   1.5281426560689738E-37
   21     0   1.7926288850039884E-36
   22     0   8.7574329136260419E-37
   23     0   9.9917019819894438E-37
   24     0   3.8938250370988274E-37
   25     0   4.3823898766593406E-37
   26     0   2.3509887016445750E-38
   27     0   8.5958024403879774E-37
   28     0   7.7876500741976547E-38
   29     0   3.0004493304738889E-36
   30     0   6.3623631738256311E-37
   31     0   1.1241583084699704E-36
   32     0   4.2464733423455136E-37
   33     0   1.6603857705364811E-37
   34     0   3.8203566401724344E-38
   35     0   1.8367099231598242E-37
   36     0   3.4383209761551910E-37
   37     0   1.2881076279860242E-36
   38     0   1.5575300148395309E-36
   39     0   2.3818454283536601E-36
   40     0   1.7862004002729291E-37
   41     0   2.4832318161120824E-37
   42     0   2.9681232358262760E-37
   43     0   3.2004670411059937E-37
   44     0   5.2185520691778506E-38
   45     0   4.5587140292826837E-37
   46     0   5.6579849182938385E-37
   47     0   4.2501467621918333E-37
   48     0   6.9886812576231312E-38
   49     0   5.3080916779318920E-37
   50     0   7.2118415132870498E-37
   51     0   2.8248598618198097E-37
   52     0   1.3848792820625075E-37
   53     0   4.7323979113914846E-38
   54     0   1.3224311446750734E-37
   55     0   4.2115758538054770E-37
   56     0   2.7255053344138829E-37
   57     0   3.5472608334726080E-37
   58     0   3.9718852088331199E-37
   59     0   2.2235669507253622E-37
   60     0   4.8208505609527186E-37
   61     0   2.0163774618151692E-37
   62     0   5.5622356515769267E-39
   63     0   7.7640921170386888E-37
   64     0   3.5417291797587165E-38
   65     0   1.2523527689935751E-37
   66     0   9.4511299117433650E-37
   67     0   6.0589078435326376E-37
   68     0   4.1501402386364255E-37
   69     0   9.7611778468435597E-37
   70     0   2.5228681597468341E-37
   71     0   1.0464055704083630E-36
   72     0   9.2180776099600846E-37
   73     0   1.1736612282231964E-37
   74     0   2.8985578474865976E-39
   75     0   4.9393291129687333E-37
   76     0   2.0379767400326405E-37
   77     0   1.5918042058226359E-37
   78     0   2.1497986759276037E-38
   79     0   4.3525899756208862E-38
   80     0   5.3788337085660946E-37
   81     0   3.2053063412746316E-37
   82     0   1.4319925058873879E-37
   83     0   3.8871212252454974E-37
   84     0   1.9865452748600968E-37
   85     0   3.7508235377493741E-37
   86     0   4.1123435196256393E-37
   87     0   4.8463671970531792E-37
   88     0   1.2086653499711743E-36
   89     0   2.6436874407176570E-38
   90     0   2.1215793274530306E-38
   91     0   3.6233766755616806E-38
   92     0   1.3224555384787404E-36
   93     0   6.3129056337218739E-38
   94     0   6.0672280251385969E-38
   95     0   1.2062834704856627E-37
   96     0   3.0938507748631661E-37
   97     0   2.4023953905465522E-38
   98     0   3.5376652127755203E-38
   99     0   2.9152181091367097E-37
  100     0   3.4419943960015106E-37
  101     0   6.7527788268672913E-38
  102     0   1.6370430528216354E-37
  103     0   1.1380369478268468E-36
  104     0   4.1788020611140938E-38
  105     0   6.4985989799815699E-37
  106     0   1.5385046416413315E-38
  107     0   2.5998808328530746E-37
  108     0   1.5909932912169127E-36
  109     0   4.8735922962413446E-37
  110     0   7.8243860663228856E-37
  111     0   4.6300623176844918E-37
  112     0   4.6520418522532423E-38
  113     0   1.3646727824146979E-37
  114     0   2.4305163691826471E-37
  115     0   2.8831768368097616E-36
  116     0   5.1157034881290378E-38
  117     0   7.8186624907713201E-37
  118     0   1.0391903855090440E-37
  119     0   9.2206873882200432E-38
  120     0   5.7883088143846066E-37
  121     0   1.7875720360513611E-36
  122     0   4.1123397080938164E-37
  123     0   1.9496173608971920E-37
  124     0   4.0117995700831937E-37
  125     0   4.5332942509320773E-37
  126     0   1.5935117720793236E-37
  127     0   1.8919547138173658E-37
  128     0   5.4563199084493997E-40

    0     1   2.0607885337853228E-36
    1     1   7.3350847491310740E-36
    2     1   2.1864194925294548E-36
    3     1   1.8458934727756234E-36
    4     1   4.1300488920912203E-36
    5     1   2.4685381367268038E-36
    6     1   9.8271327728743236E-36
    7     1   4.6079378552233670E-36
    8     1   6.4887288165390270E-36
    9     1   8.4929466846910272E-36
   10     1   3.9496610187628860E-36
   11     1   6.9824364438843878E-36
   12     1   4.6317592367775970E-36
   13     1   1.4425863922492624E-36
   14     1   4.3286228298884228E-36
   15     1   1.9813521287574272E-36
   16     1   1.5605369819696177E-36
   17     1   2.7045637645713725E-36
   18     1   9.6461797716269586E-37
   19     1   6.4231760389727802E-36
   20     1   2.7930164694798713E-36
   21     1   9.1006719274039292E-36
   22     1   5.6253595443438439E-37
   23     1   1.2514521942474222E-36
   24     1   1.6157837792620887E-36
   25     1   1.2957522881798543E-36
   26     1   9.2667341173113242E-37
   27     1   2.4596766718195655E-36
   28     1   1.8912974701547823E-36
   29     1   8.0175406649095860E-37
   30     1   5.8220633961999927E-37
   31     1   8.8422288656939910E-37
   32     1   5.0656604835193162E-14
   33     1   1.8637049916686034E-14
   34     1   6.8515564109379117E-15
   35     1   2.5209834386987798E-15
   36     1   9.2729329007058503E-16
   37     1   3.4149435623143777E-16
   38     1   1.2570517377212871E-16
   39     1   4.6149264733888545E-17
   40     1   1.6975238216931481E-17
   41     1   6.2416880254289307E-18
   42     1   2.2967858762109321E-18
   43     1   8.4687885828412091E-19
   44     1   3.1191679186676715E-19
   45     1   1.1430963714710378E-19
   46     1   4.2111005433791270E-20
   47     1   1.5459730667802467E-20
   48     1   5.6891931856372202E-21
   49     1   2.1011978165147511E-21
   50     1   7.7068859412302207E-22
   51     1   2.8418255597987507E-22
   52     1   1.0415531168345523E-22
   53     1   3.8452632118025828E-23
   54     1   1.4125499388550955E-23
   55     1   5.2009323394535213E-24
   56     1   1.9068600600115452E-24
   57     1   7.0170753454657375E-25
   58     1   2.5944602743361556E-25
   59     1   9.4894089972420989E-26
   60     1   3.4910945951075602E-26
   61     1   1.2934040870263613E-26
   62     1   4.7433536360879735E-27
   63     1   1.7375436292597273E-27
   64     1   2.4907296860417702E-37
   65     1   7.5992734264749560E-37
   66     1   7.6316715563405982E-37
   67     1   9.3312054816273712E-37
   68     1   2.6547776166715169E-37
   69     1   1.0745985870654371E-37
   70     1   5.4069291806642748E-37
   71     1   3.7260023672255130E-37
   72     1   8.7605889363114866E-38
   73     1   9.9177768427760346E-37
   74     1   5.4256381328623621E-37
   75     1   3.9676231145519193E-37
