# kyz             |phi(kyz)|^2
    0   1.4777232134689707E-33
    1   3.3485325762479388E+00
    2   1.0570650219025617E+00
    3   6.3688951225936696E-01
    4   6.2443798213214641E-01
    5   2.5707874047912926E-01
    6   1.7730558254452575E-01
    7   1.5522368438191494E-01
    8   1.1574583946336879E-01
    9   9.6595362608008453E-02
   10   7.7287183448525587E-02
   11   7.0843875560570674E-02
   12   6.2584843944581373E-02
   13   5.5795756651951613E-02
   14   4.9264855290976226E-02
   15   4.0807029738449477E-02
   16   3.7256340390852953E-02
   17   3.5364868172036386E-02
   18   3.0054633795908649E-02
   19   2.9478111759725981E-02
   20   2.5769507606083927E-02
   21   2.4189117134296279E-02
   22   2.2925725315390433E-02
   23   2.0190000849411392E-02
   24   1.8930611393943062E-02
   25   1.8263190099674344E-02
   26   1.6997129425768857E-02
   27   1.5833569788865399E-02
   28   1.4708380081056701E-02
   29   1.4444795748251410E-02
   30   1.3778034757732855E-02
   31   1.2506624778395294E-02
   32   1.3040992934525222E-02
   33   1.1239371412517131E-02
   34   1.0919853564394462E-02
   35   1.0214577725732702E-02
   36   9.7587993638298363E-03
   37   9.2391503021764295E-03
   38   9.1709745078551452E-03
   39   8.4820748976351633E-03
   40   8.0663430853975988E-03
   41   8.0258871659980510E-03
   42   7.6208848458632159E-03
   43   7.4231586561580151E-03
   44   6.8980020236246728E-03
   45   6.5649401733028356E-03
   46   6.4650608457997322E-03
   47   6.2447117143067596E-03
   48   5.8384941387382037E-03
   49   5.6197846651034004E-03
   50   5.5213921383524545E-03
   51   5.3231969285180702E-03
   52   4.9869867508648578E-03
   53   4.7817192803680927E-03
   54   4.5448075728592961E-03
   55   4.3618032644403230E-03
   56   4.1222075061285611E-03
   57   4.0759071709390009E-03
   58   3.8084346366269103E-03
   59   3.5860339176616578E-03
   60   3.3482619080728343E-03
   61   2.8945764226770338E-03
   62   2.5562744758019984E-03
   63   1.9904679224600412E-03
   64   4.3983021208755999E-05
   65   2.9358644162197926E-32
   66   6.5053216857929308E-33
   67   6.6332658947712550E-33
   68   6.8883209419403042E-33
   69   6.8725415875659385E-33
   70   3.7294130334043877E-33
   71   4.7048408650177827E-33
   72   4.1402614285986300E-33
   73   5.8943281743511626E-33
   74   4.8728365685607940E-33
   75   7.0107516736130538E-33
   76   4.2182410465376658E-33
   77   5.9296742477283763E-33
   78   6.2059272416972767E-33
   79   1.0045169451945674E-32
   80   3.0591838138752825E-33
   81   1.1784223822784832E-32
   82   7.1483919810760323E-33
   83   6.2701680141130387E-33
   84   4.1167307148850794E-33
   85   5.0652188378108387E-33
   86   4.7845238424381184E-33
   87   4.2702695898469447E-33
   88   3.4992611994465424E-33
   89   5.7375397776524279E-33
   90   4.3836620782716116E-33
   91   4.3605288395250400E-33
   92   4.1412006170927249E-33
   93   5.8171177712886385E-33
   94   5.9497451761982049E-33
   95   1.1258848754651760E-32
   96   3.9442742999634800E-33
   97   7.9442928165611424E-33
   98   5.7435833482226154E-33
   99   5.2078495772458518E-33
  100   4.8896792829138342E-33
  101   4.9497234110661130E-33
  102   4.1825370204921681E-33
  103   4.4858190800428774E-33
  104   3.5599945608241145E-33
  105   4.5978769298206760E-33
  106   4.4584385633278888E-33
  107   5.8407722696629121E-33
  108   3.5248393364209159E-33
  109   5.6131457613523403E-33
  110   5.7028971823038209E-33
  111   7.0304799045167376E-33
  112   3.6432996950239396E-33
  113   8.6155598418350496E-33
  114   5.0224428532471798E-33
  115   5.5200488143328749E-33
  116   4.2995760784194789E-33
  117   7.4030626409903823E-33
  118   4.7069192851481484E-33
  119   6.6569823065288193E-33
  120   4.0719574941939004E-33
  121   5.3917700138238802E-33
  122   3.8041287161844073E-33
  123   5.5016523202951740E-33
  124   6.0189848828709929E-33
  125   8.8346789553949716E-33
  126   8.7553063446393893E-33
  127   1.9451749659707269E-32
  128   3.0493504501155157E-33
