# kyz             |phi(kyz)|^2
    0   5.5709017296958191E-34
    1   7.4048935862736920E-01
    2   8.5354726411214932E-01
    3   4.4602893895927531E-01
    4   7.6722010593552464E-02
    5   1.7291190708169196E-33
    6   2.2642358156248273E-33
    7   1.1634420033255311E-33
    8   6.1629141752390114E-34
    9   1.0644626613589751E-33
   10   2.1826678563222357E-33
   11   9.5209653643194909E-34
   12   5.6014323142505046E-34
   13   1.7855819039953438E-33
   14   2.0853413158936557E-33
   15   1.7864177811549541E-33
   16   6.1510010760649850E-34
   17   1.2213541265320735E-33
   18   1.8244791217991188E-33
   19   1.9421793321945908E-33
   20   8.1128328324886474E-34
   21   6.3015898047895981E-34
   22   1.4248276709264374E-33
   23   7.9027140850140603E-34
   24   6.9806719068222477E-34
   25   7.5720128368125505E-34
   26   1.5713780038197966E-33
   27   9.1704938155182182E-34
   28   9.1554372049573347E-34
   29   1.2701658842755052E-33
   30   5.2042414325863894E-33
   31   1.5083731773716353E-33
   32   6.3873808161230455E-34
   33   1.2545127641854222E-33
   34   2.2948186861864348E-33
   35   1.0704210814952562E-33
   36   5.3454574449267885E-34
   37   6.9217897731509406E-34
   38   1.0216008006613704E-33
   39   7.6477511262879794E-34
   40   6.2616413291512693E-34
   41   1.0722771291423402E-33
   42   6.9547822674674036E-34
   43   8.9396758624853974E-34
   44   6.9107466803934942E-34
   45   1.1076870427690661E-33
   46   1.9924565011307981E-33
   47   1.1108954365717758E-33
   48   5.4950213501727463E-34
   49   1.3800087812770909E-33
   50   2.0970605805256194E-33
   51   2.4696869503819169E-33
   52   6.7882993432550527E-34
   53   8.6874447179795199E-34
   54   7.9782548292966775E-34
   55   1.0438847224932605E-33
   56   5.0690679952849947E-34
   57   1.0174113979473896E-33
   58   8.2340122000449623E-34
   59   8.9215692408816486E-34
   60   8.2611305196121688E-34
   61   1.8433290358978216E-33
   62   4.9477584054864328E-33
   63   3.7075242910690797E-33
   64   7.9683370083843013E-34
   65   2.1955247772494253E-33
   66   3.5393734202453336E-33
   67   3.0214203099983929E-33
   68   7.8422719435950805E-34
   69   6.4719868549975344E-34
   70   1.3395775214986673E-33
   71   8.4664785206884548E-34
   72   5.6759465905913395E-34
   73   6.6253374300853642E-34
   74   1.0443856520292681E-33
   75   7.5177291332054981E-34
   76   6.2307685620380769E-34
   77   1.2883962082155149E-33
   78   2.0618078801648990E-33
   79   1.7363902557388384E-33
   80   7.1001018968099781E-34
   81   2.0204480755901325E-33
   82   2.4335221333820240E-33
   83   1.2468680443375169E-33
   84   5.8977669955944132E-34
   85   1.1047273154970755E-33
   86   7.3974608530134158E-34
   87   5.6715456886446915E-34
   88   6.0064427818290176E-34
   89   9.7515446312875498E-34
   90   1.0107069313850297E-33
   91   1.2879204111565902E-33
   92   6.8625586734221679E-34
   93   1.8151914893816755E-33
   94   2.9728556620362799E-33
   95   1.7972861093391121E-33
   96   5.3929131561747871E-34
   97   1.5609901279929301E-33
   98   4.7529665636214682E-33
   99   2.0825889420537390E-33
  100   6.6013801410857000E-34
  101   8.6766909276322471E-34
  102   8.7547323302336838E-34
  103   6.5053353303116762E-34
  104   6.4071164511686544E-34
  105   6.9446282227938464E-34
  106   9.7863103208005944E-34
  107   8.5098365856381745E-34
  108   8.8600249440214171E-34
  109   1.3524381734123699E-33
  110   2.0225817656900639E-33
  111   1.2008732928369394E-33
  112   7.2952022761308948E-34
  113   2.2275949000426131E-33
  114   1.7654211100519250E-33
  115   1.3365621332346762E-33
  116   5.3439999998983501E-34
  117   5.4933593183230583E-34
  118   7.7345488365379284E-34
  119   6.5875596642252571E-34
  120   5.5756415321551006E-34
  121   6.6214671628648181E-34
  122   9.0655473825076933E-34
  123   1.2727913692466046E-33
  124   5.6679292344156348E-34
  125   2.1758166091248770E-33
  126   6.7644233336550403E-33
  127   2.7526988093499183E-33
  128   5.6618006975084985E-34
