# kyz             |phi(kyz)|^2
    0   1.5562953916350192E-34
    1   2.4921435476399330E+00
    2   1.2751866302034351E-01
    3   4.1739571879699320E-33
    4   3.2140815182582339E-34
    5   5.3075945922674074E-33
    6   4.0193383679119088E-34
    7   1.0747144553158866E-33
    8   2.0361414753667972E-34
    9   1.7967313757323960E-33
   10   9.8145921623402057E-34
   11   1.6665585569929043E-33
   12   4.4711735783515081E-34
   13   2.1706211065561059E-33
   14   2.2406624397981153E-34
   15   5.3645607001346316E-33
   16   3.3565619638520358E-34
   17   2.3651573152752860E-33
   18   1.0738080782605632E-33
   19   1.1873469343170843E-33
   20   3.7122113753187274E-34
   21   1.3808214092758142E-33
   22   5.3385002465004678E-34
   23   1.3343670079973430E-33
   24   2.1838987014360874E-34
   25   9.6232110532616642E-34
   26   2.3363219469366804E-34
   27   1.4408850750428114E-33
   28   3.7063785746799490E-34
   29   1.3574919120398840E-33
   30   4.2892009989074466E-34
   31   2.9275730596547331E-33
   32   2.7475584964575568E-34
   33   3.0580936740447441E-33
   34   8.6380936427395066E-34
   35   9.5350969300035130E-34
   36   1.8873646435039181E-34
   37   9.4731901350772392E-34
   38   5.0069032669887405E-34
   39   1.2730412796607510E-33
   40   3.1957531651886051E-34
   41   1.0690853234870958E-33
   42   2.3044761753147049E-34
   43   1.0064287091732592E-33
   44   1.7607543015035319E-34
   45   1.3236252287598683E-33
   46   5.8136971663215263E-34
   47   7.3207433929398347E-33
   48   2.1474740342698438E-34
   49   3.1035180998509972E-33
   50   4.7264186262786114E-34
   51   1.3387017175270498E-33
   52   1.8602147667722772E-34
   53   9.7445432987785440E-34
   54   8.0276398509377760E-34
   55   1.1710317434414579E-33
   56   3.5223035251480021E-34
   57   1.2243279904443262E-33
   58   5.3340475778010405E-34
   59   1.3895202838551930E-33
   60   4.8790920326478296E-34
   61   9.2843879249236065E-34
   62   5.9282230985452986E-34
   63   5.0349274473599853E-33
   64   2.9154016121974172E-34
   65   7.9992273064630692E-33
   66   3.1206001631619434E-34
   67   8.5787092374814255E-34
   68   2.3070241005381108E-34
   69   2.0546458678224657E-33
   70   5.9509383346535919E-34
   71   9.6071391459463121E-34
   72   2.2190979786677988E-34
   73   1.4430450532365924E-33
   74   2.6989695471827822E-34
   75   9.8480016764192290E-34
   76   2.2506710759373427E-34
   77   8.7771320244641190E-34
   78   2.0761658797196767E-34
   79   4.1552859649912317E-33
   80   2.1382888382331895E-34
   81   3.8384224631797979E-33
   82   2.7814041696281134E-34
   83   1.2516554038457047E-33
   84   2.0633526861750091E-34
   85   1.5728144926318249E-33
   86   2.9358633778320238E-34
   87   1.3823083513895673E-33
   88   2.1428428238883895E-34
   89   1.6346334367157100E-33
   90   2.6000433177463912E-34
   91   1.4862386859794790E-33
   92   3.3252484169978268E-34
   93   7.7901830681690801E-34
   94   6.1200272815058204E-34
   95   6.9317488065280642E-33
   96   2.3464235995974677E-34
   97   3.2418228799530974E-33
   98   7.1379032792989617E-34
   99   7.6219572856181042E-34
  100   2.5999572309024069E-34
  101   1.3948611564472287E-33
  102   2.7355997422693202E-34
  103   5.7197861199623496E-34
  104   2.2957873315380067E-34
  105   1.6749595273203563E-33
  106   3.7303249220554826E-34
  107   7.0333218096964776E-34
  108   2.2739687306556338E-34
  109   1.1554259084334043E-33
  110   8.7433665079052299E-34
  111   2.0594364871068037E-33
  112   3.8258950488194913E-34
  113   5.4868796544772125E-33
  114   2.5694648420435410E-34
  115   1.0144852709254417E-33
  116   3.8967154293460555E-34
  117   1.1404732284921148E-33
  118   3.2086238545201866E-34
  119   1.3493135638231729E-33
  120   2.7059232609647811E-34
  121   8.5762178480915701E-34
  122   5.3621137555849875E-34
  123   7.5968562973976902E-34
  124   2.9529357457943314E-34
  125   1.2456297734190418E-33
  126   1.2263999850524956E-33
  127   1.0631289255046101E-32
  128   2.9936616974305790E-34
